dg_id,driving_acc,driving_dist,player_name,sg_app,sg_arg,sg_ott,sg_putt,sg_total
14013,0.023,-0.97,"Tringale, Cameron",0.335,0.092,-0.006,0.168,0.589
19483,-0.021,7.081,"Burns, Sam",-0.161,0.133,-0.037,0.645,0.579
23014,-0.027,5.986,"Theegala, Sahith",0.06,0.178,0.044,0.296,0.578
8825,0.055,-7.104,"Harman, Brian",0.343,0.1,0.033,0.092,0.569
25569,0.016,3.944,"Stevens, Sam",0.021,0.088,0.331,0.119,0.559
6430,-0.03,6.195,"Scott, Adam",0.296,0.108,0.134,0.018,0.556
29767,0.007,-0.749,"Gerard, Ryan",0.331,0.009,0.059,0.153,0.552
21074,0.014,0.217,"Nakajima, Keita",0.143,0.026,0.276,0.082,0.526
23504,0.044,5.132,"Hoey, Rico",0.384,-0.049,0.553,-0.364,0.524
22760,0.036,-2.418,"Hisatsune, Ryo",0.172,-0.025,0.198,0.177,0.522
15856,-0.071,0.584,"Smith, Cameron",-0.045,0.473,-0.438,0.505,0.495
18238,0.083,-5.637,"Ancer, Abraham",0.198,-0.182,0.354,0.123,0.492
26653,0.049,1.662,"Eckroat, Austin",0.115,-0.133,0.442,0.061,0.485
23505,0.07,-3.208,"McGreevy, Max",0.291,-0.052,0.381,-0.152,0.468
7649,-0.015,-1.545,"Leishman, Marc",0.343,0.192,-0.181,0.11,0.464
10104,0.026,0.605,"Power, Seamus",0.161,0.144,0.135,0.006,0.446
21891,-0.027,11.041,"Kitayama, Kurt",0.291,0.053,0.406,-0.311,0.439
7108,0.047,0.534,"Casey, Paul",0.323,0.084,0.221,-0.191,0.437
18103,0.018,-9.691,"Bezuidenhout, Christiaan",-0.048,0.281,-0.296,0.496,0.434
26850,-0.028,13.225,"Svensson, Jesper",-0.327,-0.014,0.473,0.293,0.425
20706,-0.012,3.662,"Wallace, Matt",0.132,0.326,0.057,-0.099,0.417
12577,-0.004,10.965,"Woodland, Gary",0.327,-0.221,0.393,-0.089,0.41
16283,-0.011,4.451,"Rodgers, Patrick",-0.009,0.189,0.016,0.191,0.387
17646,0.017,0.302,"Fitzpatrick, Matt",-0.11,0.032,0.126,0.323,0.371
23602,-0.046,10.478,"Hojgaard, Nicolai",0.315,-0.104,0.118,0.038,0.367
7672,0.059,-7.767,"Oosthuizen, Louis",0.246,0.047,-0.004,0.068,0.356
15575,0.013,-4.382,"Hoge, Tom",0.528,-0.073,-0.139,0.036,0.352
16602,0.003,6.706,"Varner III, Harold",0.15,0.003,0.382,-0.188,0.347
21756,-0.027,-1.721,"Cole, Eric",0.178,0.241,-0.277,0.205,0.347
15004,0.022,-0.691,"Kim, Chan",0.324,0.144,-0.021,-0.101,0.346
23465,-0.054,9.162,"Greyserman, Max",-0.075,0.07,-0.014,0.358,0.339
26745,-0.015,8.05,"Chacarra, Eugenio",0.041,-0.031,0.453,-0.132,0.331
14509,0.067,-4.678,"Dahmen, Joel",0.383,-0.071,0.316,-0.301,0.327
18586,0.042,0.187,"Smith, Jordan",0.055,-0.13,0.297,0.105,0.327
14792,0.028,-0.817,"Saddier, Adrien",0.233,-0.086,0.244,-0.072,0.319
12965,0.014,1.065,"Fowler, Rickie",0.08,-0.007,0.163,0.081,0.317
28635,0.05,-4.893,"McCarty, Matt",-0.059,0.042,0.143,0.19,0.316
25601,-0.008,2.097,"Jordan, Matthew",0.093,0.016,0.152,0.046,0.307
23838,-0.063,14.859,"Hojgaard, Rasmus",0.133,-0.047,0.044,0.176,0.306
25094,-0.022,5.688,"Fishburn, Patrick",0.065,-0.045,0.192,0.077,0.289
27183,0.012,8.93,"Salinda, Isaiah",-0.059,-0.032,0.467,-0.097,0.279
20730,0.014,0.954,"Perez, Victor",0.126,-0.105,0.121,0.123,0.264
26651,-0.056,13.468,"Young, Cameron",-0.091,0.023,0.241,0.091,0.264
15676,-0.045,19.276,"Norgaard, Niklas",-0.218,-0.315,0.57,0.221,0.258
6093,0.011,-0.153,"Rose, Justin",0.148,0.048,0.006,0.053,0.255
11657,0.046,-6.846,"Norlander, Henrik",0.518,-0.087,-0.074,-0.105,0.252
11357,-0.146,14.06,"Uihlein, Peter",0.223,0.225,-0.313,0.089,0.224
16715,0.027,-5.496,"Ryder, Sam",0.051,-0.045,-0.106,0.318,0.218
12423,0.02,-0.703,"Kirk, Chris",0.229,0.067,0.169,-0.254,0.21
7398,-0.021,-2.992,"Schwartzel, Charl",0.058,0.16,-0.327,0.316,0.207
11889,-0.069,7.547,"Fox, Ryan",0.195,0.039,-0.026,-0.005,0.203
23482,0.045,-7.21,"Sigg, Greyson",0.298,0.076,0.094,-0.28,0.188
12669,0.046,-4.741,"Lahiri, Anirban",0.034,0.145,0.17,-0.172,0.177
19396,-0.065,10.851,"Knapp, Jake",0.011,-0.083,0.066,0.181,0.175
10158,0.066,-5.77,"Luiten, Joost",0.171,-0.192,0.295,-0.109,0.165
18424,0.005,4.664,"Roy, Kevin",0.159,-0.031,0.26,-0.226,0.162
17786,-0.024,3.708,"Davis, Cam",0.163,0.159,-0.158,-0.009,0.153
16896,-0.011,-0.305,"Kruyswijk, Jacques",-0.226,0.182,0.02,0.161,0.137
17032,-0.056,13.963,"Tosti, Alejandro",0.032,0.009,0.336,-0.255,0.121
12808,0.055,-3.161,"Grillo, Emiliano",0.013,-0.288,0.253,0.137,0.115
6169,0.045,-13.33,"Kuchar, Matt",-0.029,0.214,-0.28,0.208,0.114
14704,0.066,-19.458,"Putnam, Andrew",0.27,0.236,-0.55,0.158,0.113
15310,-0.056,10.866,"Li, Haotong",0.324,-0.274,0.09,-0.034,0.106
27164,0.035,-4.797,"Phillips, Chandler",0.032,0.014,-0.022,0.072,0.095
22833,0.011,-3.954,"Echavarria, Nico",-0.024,-0.108,-0.16,0.386,0.095
21995,-0.046,8.501,"Springer, Hayden",-0.011,-0.016,0.047,0.069,0.089
27774,-0.082,16.12,"Gotterup, Chris",-0.013,-0.061,0.225,-0.071,0.081
28309,-0.024,9.387,"Coody, Pierceson",-0.254,-0.127,0.261,0.184,0.064
23656,0.073,-5.612,"Young, Carson",0.03,-0.244,0.307,-0.029,0.064
15229,-0.025,5.903,"Stone, Brandon",-0.098,-0.168,0.234,0.096,0.063
28159,-0.012,-0.957,"Meissner, Mac",0.176,0.136,-0.286,0.036,0.062
23816,0.004,-0.517,"Valimaki, Sami",0.113,-0.184,-0.139,0.272,0.062
17723,0.001,-4.528,"Lower, Justin",0.068,-0.124,-0.117,0.227,0.055
14698,-0.042,11.041,"Bramlett, Joseph",0.154,0.089,0.242,-0.433,0.052
15470,-0.039,0.931,"Hossler, Beau",-0.252,0.281,-0.386,0.4,0.043
14655,-0.007,5.824,"Murray, Grayson",0.041,-0.051,0.159,-0.108,0.041
13965,0.009,-2.133,"Hadwin, Adam",-0.026,0.144,-0.09,-0.005,0.023
5768,-0.004,2.963,"Hoffman, Charley",0.239,0.006,0.197,-0.421,0.02
20722,-0.015,7.791,"Schmid, Matti",0.016,-0.262,0.163,0.101,0.017
25908,-0.068,5.272,"Whaley, Vince",-0.304,0.14,-0.167,0.345,0.014
12422,-0.006,8.311,"Johnson, Dustin",-0.059,-0.046,0.317,-0.198,0.014
14196,-0.037,5.788,"Meronk, Adrian",-0.198,-0.149,0.067,0.291,0.011
14987,0.062,-6.668,"Laporta, Francesco",0.041,-0.031,0.135,-0.14,0.005
13764,0.035,-9.031,"Parry, John",0.115,0.057,-0.06,-0.109,0.003
13997,0.042,-6.658,"Svensson, Adam",0.074,0.147,-0.021,-0.199,0.001
15475,0.042,-6.49,"Pan, C.T.",-0.019,0.185,-0.065,-0.101,0.0
21646,0.081,-5.165,"Ferguson, Ewen",-0.004,-0.143,0.25,-0.11,-0.007
17550,-0.02,5.015,"Van Rooyen, Erik",-0.032,-0.032,0.06,-0.015,-0.019
20727,-0.03,9.246,"Coussaud, Ugo",-0.416,-0.092,0.329,0.159,-0.021
24497,-0.005,2.751,"Robinson-Thompson, Brandon",-0.229,0.017,0.012,0.166,-0.035
24342,-0.038,7.651,"Higgo, Garrick",-0.221,-0.007,0.114,0.07,-0.045
26649,-0.044,12.942,"Thorbjornsen, Michael",-0.11,-0.082,0.2,-0.057,-0.049
18770,-0.011,5.675,"Rozner, Antoine",0.3,-0.211,0.081,-0.225,-0.054
26991,0.04,-4.417,"Schaper, Jayden",-0.247,-0.023,0.059,0.137,-0.074
13508,-0.038,10.762,"Vegas, Jhonattan",0.119,-0.145,0.224,-0.274,-0.075
10201,0.001,1.995,"Guerrier, Julien",-0.391,0.036,0.092,0.185,-0.078
19840,0.018,-7.524,"Ramey, Chad",-0.114,0.005,-0.195,0.224,-0.081
18580,0.047,-5.917,"Gooch, Talor",0.113,-0.021,-0.067,-0.106,-0.081
13944,-0.055,4.564,"Pieters, Thomas",0.001,-0.006,-0.132,0.035,-0.102
18761,-0.061,11.683,"Mullinax, Trey",-0.033,-0.116,0.169,-0.124,-0.103
16333,0.029,-3.688,"Hubbard, Mark",0.077,-0.121,0.081,-0.15,-0.113
18517,-0.024,0.221,"Soderberg, Sebastian",0.194,-0.052,-0.179,-0.081,-0.118
23733,0.028,2.333,"Lacroix, Frederic",-0.06,-0.042,0.309,-0.328,-0.121
17538,-0.017,1.81,"Homa, Max",-0.287,0.183,-0.089,0.07,-0.122
20522,-0.007,5.075,"Veerman, Johannes",-0.113,-0.049,0.255,-0.218,-0.125
15330,0.013,-0.325,"Griffin, Lanto",0.05,-0.246,0.176,-0.12,-0.141
22985,0.02,-0.815,"Smotherman, Austin",0.13,-0.138,0.127,-0.264,-0.144
21362,-0.024,10.213,"Hillier, Daniel",0.076,-0.503,0.308,-0.043,-0.163
6516,0.058,-10.677,"Bland, Richard",0.048,0.03,-0.133,-0.109,-0.163
21688,-0.034,3.746,"Kim, S.H.",-0.48,0.07,-0.073,0.319,-0.164
12337,-0.002,2.496,"Kokrak, Jason",-0.093,-0.166,0.009,0.08,-0.17
24185,-0.019,8.105,"Mansell, Richard",-0.104,-0.002,0.365,-0.431,-0.173
28615,-0.029,7.912,"Bairstow, Sam",-0.319,-0.162,0.12,0.172,-0.189
12177,0.006,-9.602,"Pavan, Andrea",-0.006,0.084,-0.367,0.099,-0.19
14775,0.064,-17.038,"Bjork, Alexander",-0.047,-0.057,-0.408,0.305,-0.206
6986,0.072,-15.11,"Johnson, Zach",-0.237,0.09,-0.257,0.193,-0.211
7452,0.054,-12.811,"Na, Kevin",-0.071,0.147,-0.186,-0.122,-0.232
