Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Sam Stevens,-,-,-,MC,67,13,34,-,-,MC,15,-,-,-,-,-,-,-,-,-,-,-,-,-,7200,140/1,Bet 365,Further details,MC
Luke List,-,-,11,-,MC,25,-,MC,29,-,MC,MC,-,-,-,MC,-,-,MC,27,16,-,MC,-,7200,66/1,Bet 365,Further details,MC
Trey Mullinax,-,-,28,-,-,31,WD,61,62,-,8,MC,-,-,-,-,-,-,-,MC,8,54,-,MC,7200,140/1,Bet 365,Further details,MC
Mark Hubbard,-,-,-,MC,MC,-,20,MC,MC,42,-,35,-,-,-,-,-,-,64,MC,-,-,MC,-,7100,140/1,Bet 365,Further details,MC
Nick Hardy,-,-,-,41,-,44,41,-,MC,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,7100,125/1,Bet 365,Further details,MC
Patrick Rodgers,-,-,-,-,MC,MC,-,14,MC,-,MC,MC,-,-,-,-,-,-,MC,MC,59,MC,MC,-,7100,90/1,Bet 365,Further details,36
Seonghyeon Kim,-,-,-,12,MC,20,41,-,33,63,39,MC,-,-,-,-,-,-,-,-,-,-,-,-,7100,100/1,Bet 365,Further details,45
Adam Schenk,-,-,-,67,MC,20,37,23,50,42,31,MC,-,-,-,-,-,-,-,-,59,MC,18,MC,7100,110/1,Bet 365,Further details,2
Lee Hodges,-,-,-,-,MC,MC,-,MC,18,14,MC,MC,-,-,-,-,-,-,-,-,-,-,-,MC,7100,90/1,Bet 365,Further details,63
Martin Laird,-,-,-,-,62,MC,-,MC,MC,-,39,MC,-,5,MC,70,-,33,MC,MC,MC,-,MC,MC,7100,110/1,Bet 365,Further details,MC
Stewart Cink,-,-,-,20,41,-,-,65,MC,-,MC,MC,-,11,70,14,MC,60,MC,27,31,MC,-,7,7000,200/1,Bet 365,Further details,MC
Kevin Kisner,-,-,-,-,-,-,34,MC,MC,-,MC,75,-,-,-,-,MC,60,-,-,-,24,MC,33,7000,125/1,Bet 365,Further details,MC
Greyson Sigg,-,-,-,48,MC,-,55,57,MC,MC,61,MC,-,-,-,-,-,-,-,-,-,-,-,48,7000,175/1,Bet 365,Further details,57
David Lipsky,-,-,-,4,MC,-,MC,MC,62,-,65,MC,-,-,-,-,-,-,-,-,-,-,-,68,7000,100/1,Bet 365,Further details,36
