Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Jordan Spieth,-,-,-,-,15,-,-,-,13,MC,-,-,-,-,22,4,7,21,1,20,45,9,3,2,10600,9/1,Bet 365,Further details,63
Viktor Hovland,10,-,23,-,1,-,-,-,18,-,-,-,-,-,-,-,-,-,-,-,-,38,-,-,10300,11/1,Bet 365,Further details,13
Matthew Fitzpatrick,-,-,5,-,13,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,MC,60,-,6,10100,9/1,Bet 365,Further details,MC
Tom Hoge,MC,-,MC,-,-,1^^,-,-,3,41,32,-,-,-,-,-,MC,41,39,MC,MC,60,12,1,10000,18/1,Bet 365,Further details,48
Seamus Power,3,-,5,-,-,-,-,-,25,-,20,-,-,-,-,-,-,-,39,MC,-,38,MC,9,9800,22/1,Bet 365,Further details,15
Andrew Putnam,48,35,21,-,-,-,-,-,-,4,36,-,-,-,-,-,MC,-,-,MC,38,-,55,6,9700,28/1,Bet 365,Further details,MC
Maverick McNealy,10,27,-,-,-,10^^,-,-,-,7,-,31,-,-,-,-,-,-,-,MC,-,5,2,33,9600,18/1,Bet 365,Further details,WD
Justin Rose,MC,9,29,-,-,-,-,-,-,-,26,18,-,-,-,-,-,6,39,-,-,-,-,62,9500,25/1,Bet 365,Further details,1
Matt Kuchar,27,-,MC,-,-,3^^,-,-,-,7,-,-,-,-,-,-,-,-,MC,62,22,38,-,MC,9400,33/1,Bet 365,Further details,MC
Denny McCarthy,-,53,46,-,-,5^^,-,-,-,31,50,-,-,-,-,-,-,-,-,66,-,-,MC,12,9200,35/1,Bet 365,Further details,4
Keith Mitchell,MC,9,39,-,-,12^^,-,-,-,MC,22,-,-,-,-,-,-,-,-,47,MC,32,MC,12,9100,28/1,Bet 365,Further details,4
Joel Dahmen,3,9,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,55,-,14,60,6,9000,30/1,Bet 365,Further details,41
Taylor Pendrith,-,66,15,-,-,-,-,-,-,-,MC,61,-,-,-,-,-,-,-,-,-,-,-,49,8900,45/1,Bet 365,Further details,7
Thomas Detry,15,13,-,-,-,-,68,-,-,-,26,37,-,-,-,-,-,-,-,-,-,-,-,-,8800,45/1,Bet 365,Further details,37
Alex Smalley,-,4,5,-,-,-,-,-,-,MC,22,37,-,-,-,-,-,-,-,-,-,-,-,MC,8700,50/1,Bet 365,Further details,65
Benjamin Griffin,59,16,29,-,-,-,-,-,-,12,32,31,-,-,-,-,-,-,-,-,-,-,-,-,8600,60/1,Bet 365,Further details,MC
Kevin Kisner,-,-,29,-,19,4^^,-,-,-,-,-,-,-,MC,-,64,MC,-,10,MC,28,38,-,MC,8500,66/1,Bet 365,Further details,34
Dean Burmester,32,MC,54,-,5,7,MC,-,-,-,54,37,-,-,-,-,-,-,-,-,-,-,-,MC,8400,60/1,Bet 365,Further details,41
Taylor Moore,-,MC,MC,-,-,-,-,-,-,-,MC,11,-,-,-,-,-,-,-,-,-,-,-,16,8300,60/1,Bet 365,Further details,15
David Lipsky,10,22,WD,-,-,-,-,-,-,4,MC,-,-,-,-,-,-,-,-,-,-,-,-,24,8200,60/1,Bet 365,Further details,MC
Trey Mullinax,-,4,WD,-,-,5^^,-,-,28,-,-,31,-,-,-,-,-,-,14,47,22,-,-,28,8100,60/1,Bet 365,Further details,WD
Nick Taylor,53,MC,-,-,-,-,-,-,-,7,MC,-,-,-,-,-,MC,30,10,MC,28,1,39,14,8000,60/1,Bet 365,Further details,20
Erik van Rooyen,MC,WD,-,-,MC,71,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,8000,80/1,Bet 365,Further details,MC
Brendon Todd,53,-,MC,-,-,-,-,-,-,20,MC,-,-,9,MC,45,10,MC,MC,-,MC,-,-,16,7900,80/1,Bet 365,Further details,2
Scott Stallings,-,-,54,-,-,5^^,-,-,25,-,-,MC,-,MC,-,-,-,-,14,7,3,MC,30,MC,7900,75/1,Bet 365,Further details,15
Davis Riley,21,27,46,-,-,-,-,-,-,-,65,MC,-,-,-,-,-,-,-,-,-,-,MC,49,7800,80/1,Bet 365,Further details,MC
Robby Shelton IV,MC,52,10,-,-,-,-,-,-,MC,6,67,-,-,-,-,-,-,-,-,-,-,-,-,7800,70/1,Bet 365,Further details,20
Webb Simpson,-,-,MC,-,-,-,-,-,-,MC,-,-,-,-,26,-,-,-,MC,-,-,-,-,-,7700,100/1,Bet 365,Further details,MC
Nick Hardy,21,-,MC,-,-,-,-,-,-,41,-,44,-,-,-,-,-,-,-,-,-,-,-,MC,7700,66/1,Bet 365,Further details,41
Lanto Griffin,-,-,-,-,-,-,-,-,-,-,66^,37,-,-,-,-,-,-,-,MC,-,9,-,16,7600,70/1,Bet 365,Further details,58
SeongHyeon Kim,MC,47,MC,-,-,-,-,-,-,12,MC,20,-,-,-,-,-,-,-,-,-,-,-,-,7600,80/1,Bet 365,Further details,41
William Gordon,3,43,15,-,-,-,-,-,-,27,MC,MC,-,-,-,-,-,-,-,-,-,-,21,-,7600,75/1,Bet 365,Further details,WD
Russell Knox,48,27,21,-,-,-,-,-,-,67,54,-,-,MC,28,27,-,MC,-,15,14,MC,7,33,7500,80/1,Bet 365,Further details,41
Ryan Palmer,MC,MC,-,-,-,2^^,-,-,-,31,-,63,-,29,MC,32,MC,41,MC,-,MC,-,-,MC,7500,70/1,Bet 365,Further details,MC
Kurt Kitayama,-,-,42,-,-,-,-,-,-,73,-,MC,-,-,-,-,-,-,-,-,-,18,-,MC,7500,80/1,Bet 365,Further details,29
Beau Hossler,38,MC,21,-,-,-,-,-,-,-,50,MC,-,-,-,-,-,-,MC,43,MC,38,47,3,7400,80/1,Bet 365,Further details,11
Garrick Higgo,MC,MC,MC,-,-,-,-,-,-,-,11,53,-,-,-,-,-,-,-,-,-,-,-,-,7400,110/1,Bet 365,Further details,20
An Byeong-Hun,MC,53,MC,-,-,-,-,-,-,12,41,63,-,-,-,-,-,-,-,-,-,-,-,-,7400,125/1,Bet 365,Further details,37
Joseph Bramlett,63,9,64,-,-,-,-,-,-,54,54,13,-,40,-,-,-,-,-,-,-,18,63,MC,7400,110/1,Bet 365,Further details,7
Nate Lashley,MC,-,MC,-,-,-,-,-,-,7,MC,-,-,-,-,-,-,-,-,MC,45,WD,5,28,7300,100/1,Bet 365,Further details,WD
Greyson Sigg,42,-,15,-,-,-,-,-,-,48,MC,-,-,-,-,-,-,-,-,-,-,-,-,33,7300,100/1,Bet 365,Further details,55
Matthew NeSmith,-,53,MC,-,-,-,-,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,11,16,65,7300,90/1,Bet 365,Further details,55
