Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Henrik Norlander,34,-,MC,-,72,-,-,81,MC,28,MC,57,-,-,16,-,-,MC,-,-,-,59,-,47,6400,300/1,Bet 365,Further details,MC
James Hahn,50,-,-,-,57,-,MC,MC,35,MC,6,62,-,-,MC,57,-,-,MC,-,-,-,62,47,6400,400/1,Bet 365,Further details,MC
Kramer Hickok,MC,-,21,-,MC,-,MC,MC,69,28,MC,30,-,-,-,-,-,-,-,-,MC,51,MC,71,6400,350/1,Bet 365,Further details,MC
Matthias Schmid,MC,-,21,MC,MC,-,18,MC,MC,44,MC,20,-,-,-,-,-,-,-,-,-,-,-,-,6400,250/1,Bet 365,Further details,22
Carl Yuan,MC,-,-,-,18,-,MC,14,MC,MC,34,MC,-,-,-,-,-,-,-,-,-,-,-,-,6400,250/1,Bet 365,Further details,73
Kevin Roy,MC,-,MC^,63^,MC,-,-,MC,31,MC,20,MC,-,-,-,-,-,-,-,-,-,-,-,-,6400,500/1,Bet 365,Further details,MC
Marty Dou Zecheng,5,-,63,-,MC,-,52,17,MC,44,39,MC,-,-,-,-,-,-,-,MC,-,-,-,-,6400,300/1,Bet 365,Further details,51
Austin Smotherman,MC,-,21,-,50,-,MC,MC,51,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,MC,6400,300/1,Bet 365,Further details,27
Scott Piercy,19,-,40,-,57,-,WD,-,WD,MC,MC,WD,-,-,-,12,-,63,-,45,36,69,15,27,6300,400/1,Bet 365,Further details,45
Luke Donald,-,MC,40,38,-,-,47,52,-,MC,-,-,-,-,-,-,26,2,MC,-,MC,MC,MC,54,6300,300/1,Bet 365,Further details,22
Jason Dufner,MC,-,-,MC,52,-,MC,MC,31,24,-,20,-,7,-,-,51,22,14,66,MC,31,24,83,6300,600/1,Bet 365,Further details,MC
Erik van Rooyen,MC,-,MC,-,MC,-,MC,MC,MC,68,6,MC,-,-,-,-,-,-,-,-,-,-,37,-,6300,250/1,Bet 365,Further details,MC
