Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer,2024 Result
Adam Svensson,-,-,-,33,30,-,MC,47,MC,10,-,MC,-,-,-,-,-,-,-,-,-,-,MC,24,6400,100/1,Bet 365,Further details,MC
Brendon Todd,-,-,-,33,30,-,-,58,22,31,-,MC,-,-,MC,-,MC,-,-,-,18,57,60,39,6400,125/1,Bet 365,Further details,6
Sepp Straka,-,-,-,12,-,-,MC,26,-,MC,-,MC,-,-,-,-,-,-,-,-,MC,MC,MC,MC,6400,125/1,Bet 365,Further details,57
Andrew Putnam,-,-,-,40,10,47,-,39,MC,44,-,-,-,-,-,-,-,-,-,-,MC,4,MC,34,6300,125/1,Bet 365,Further details,8
Taylor Moore,-,-,-,25,-,-,70,47,39,31,-,-,-,-,-,-,-,-,-,-,-,-,42,39,6300,200/1,Bet 365,Further details,48
Lucas Glover,-,-,-,29,MC,-,-,58,-,35,-,35,-,MC,14,MC,27,7,49,10,MC,66,74,MC,6300,150/1,Bet 365,Further details,30
Adam Schenk,-,-,-,29,-,MC,25,47,17,MC,-,56,-,-,-,-,-,-,-,29,-,-,42,31,6200,175/1,Bet 365,Further details,MC
Sami Valimaki,-,-,-,-,MC,MC,43,-,41,-,2,MC,-,-,-,-,-,-,-,-,-,-,-,-,6200,200/1,Bet 365,Further details,MC
Justin Lower,-,-,-,-,74,39,43,-,53,-,3,MC,-,-,-,-,-,-,-,-,-,-,-,MC,6200,350/1,Bet 365,Further details,36
Mackenzie Hughes,-,-,-,25,-,-,64,71,-,31,MC,-,-,-,-,-,-,MC,54,-,-,-,-,61,6100,300/1,Bet 365,Further details,30
Seamus Power,-,-,-,50,74,-,MC,31,66,31,-,-,-,-,-,-,-,-,-,-,-,-,MC,72,6100,450/1,Bet 365,Further details,21
Nick Dunlap,-,-,-,-,-,1,-,80,-,MC,-,53,-,-,-,-,-,-,-,-,-,-,-,-,6100,250/1,Bet 365,Further details,48
Lee Hodges,-,-,-,57,-,MC,MC,58,MC,24,-,MC,-,-,-,-,-,-,-,-,-,-,MC,MC,6100,350/1,Bet 365,Further details,12
Webb Simpson,-,-,-,-,66,-,-,39,-,-,-,-,-,MC,-,43,68,MC,-,-,-,-,-,24,6000,350/1,Bet 365,Further details,30
C.T. Pan,-,-,-,-,MC,-,-,-,MC,-,3,28,-,-,-,-,-,56,41,MC,MC,MC,-,-,6000,250/1,Bet 365,Further details,51
David Ford,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,600/1,Bet 365,Further details,MC
Grayson Murray,-,-,-,-,1,MC,-,66,MC,MC,-,-,-,-,-,-,-,MC,14,-,-,-,-,-,6000,600/1,Bet 365,Further details,25
