Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Andrew Landry,MC,-,MC,MC^^,-,MC,MC,-,-,-,57,-,-,-,-,-,-,MC,-,MC,43,-,-,MC,6000,2000/1,Bet 365,Further details,67
Jim Herman,MC,-,67,MC^^,-,MC,70,-,-,-,MC,-,-,-,18,141,68,-,MC,-,71,-,25,MC,6000,2500/1,Bet 365,Further details,MC
Russell Knox,MC,-,MC,MC^^,-,MC,MC,-,72,-,MC,-,-,MC,13,61,WD,1,62,38,21,MC,MC,MC,6000,1500/1,Bet 365,Further details,49
Max McGreevy,MC,-,63,MC^^,MC,MC,MC,-,-,-,MC,MC^,-,-,-,-,-,-,-,-,-,-,-,MC,6000,2500/1,Bet 365,Further details,MC
Ryan Armour,MC,-,-,MC^^,MC,56,50,-,-,-,MC,MC,-,-,-,-,MC,-,MC,56,54,6,61,25,-,TBC,Bet 365,Further details,NR
Austin Cook,MC,-,-,MC^^,39,MC,MC,-,-,-,MC,-,-,-,-,-,-,-,-,MC,MC,54,MC,63,-,TBC,Bet 365,Further details,NR
Augusto Nunez,37,-,-,35^^,69,-,34,MC^,47^,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,NR
Harrison Endycott,MC,-,-,MC^^,MC,59,50,-,MC,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,NR
MJ Daffue,15,-,-,26^^,MC,47,MC,-,MC,MC,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,NR
Brent Grant,MC,-,-,MC^^,MC,MC,83,-,-,-,52,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,NR
Brice Garnett,60,-,-,MC^^,33,-,77,-,-,-,68,-,-,-,-,75,20,-,-,MC,MC,MC,5,MC,-,TBC,Bet 365,Further details,NR
Henrik Norlander,60,-,-,23^^,MC,47,34,-,MC,-,72,-,-,-,83,-,-,25,-,-,-,41,61,MC,-,TBC,Bet 365,Further details,NR
