Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2015,2016,2017,2018,2019,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
D.J. Trahan,MC^^,MC,-,MC,-,-,-,-,-,-,-,-,-,78,47,52,34,6,MC,MC,6300,300/1,Bet 365,Further details,MC
Max McGreevy,MC^^,MC,MC,MC,-,-,-,MC,MC^,MC,MC,MC,-,-,-,-,-,-,-,13,6200,300/1,Bet 365,Further details,52
Pedro Figueiredo,-,-,57,22,-,MC,14,-,-,26,MC,65,-,-,-,-,-,-,-,-,6200,400/1,Bet 365,Further details,MC
Jeff Overton,MC^,-,-,-,MC^,MC^,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,6200,TBC,Bet 365,Further details,MC
Kyle Stanley,MC^^,MC,-,MC,-,-,-,MC,MC^,-,MC,MC,-,23,54,-,-,-,-,-,6200,750/1,Bet 365,Further details,MC
Oliver Hundeboll Jorgensen,35,MC,MC,MC,-,MC,MC,-,-,DQ,MC,MC,-,-,-,-,-,-,-,-,6200,500/1,Bet 365,Further details,MC
Thomas Aiken,-,-,-,41,-,MC,MC,-,-,MC,49,49,-,-,35,-,-,-,-,-,6200,TBC,Bet 365,Further details,MC
Brian Stuard,MC^^,MC,-,MC,-,-,-,MC,-,-,MC,51,-,MC,-,MC,21,MC,15,MC,6200,500/1,Bet 365,Further details,33
Ted Potter Jr.,-,MC,-,MC,-,-,-,25,-,-,-,-,-,-,-,-,-,24,47,MC,6200,400/1,Bet 365,Further details,52
Derek Lamely,MC^^,66,-,MC,-,-,-,MC,-,-,-,MC,-,-,-,-,-,-,-,MC,6200,1000/1,Bet 365,Further details,MC
Ricky Barnes,MC^^,MC,-,MC,-,-,-,MC,-,-,-,MC,-,3,35,15,49,45,62,MC,6200,350/1,Bet 365,Further details,MC
Tommy Gainey,12^,MC,-,34,37^,47^,37^,MC,WD^,-,-,MC,-,MC,-,MC,MC,39,MC,MC,6200,400/1,Bet 365,Further details,16
Ben Crane,-,MC,-,MC,-,-,-,MC,-,-,-,-,-,-,44,-,-,-,MC,63,6100,500/1,Bet 365,Further details,MC
J.J. Henry,-,-,-,-,-,-,-,-,-,-,-,-,-,23,-,-,15,MC,58,74,6100,1250/1,Bet 365,Further details,MC
Jeremy Freiburghaus,-,-,MC,MC,-,79,MC,MC,-,69,MC,45,-,-,-,-,-,-,-,-,6100,750/1,Bet 365,Further details,MC
Trey Cox,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,350/1,Bet 365,Further details,MC
Wes Homan,-,-,-,-,-,MC^,-,-,-,-,-,-,-,36,MC,MC,-,-,-,-,6100,750/1,Bet 365,Further details,MC
John Parry,61,MC,MC,MC,-,77,29,-,-,MC,57,MC,-,-,-,-,-,-,-,-,6100,400/1,Bet 365,Further details,MC
Manu Gandas,-,MC,MC,41,-,MC,MC,-,-,43,MC,MC,-,-,-,-,-,-,-,-,6100,750/1,Bet 365,Further details,MC
Brian Davis,-,MC,-,-,-,-,-,-,MC^,-,MC^,-,-,MC,-,-,68,MC,-,MC,6100,TBC,Bet 365,Further details,MC
Robert Garrigus,MC^^,-,-,MC,-,-,-,-,-,-,-,-,-,MC,11,10,66,64,31,MC,6100,600/1,Bet 365,Further details,MC
Derek Ernst,MC^^,60,-,MC,-,-,-,MC,-,-,-,MC,-,MC,80,-,-,MC,37,MC,6100,750/1,Bet 365,Further details,MC
Bo Van Pelt,MC^,MC^,-,MC,MC^,MC^,MC^,-,MC^,MC^,MC^,-,-,MC,-,-,-,-,31,27,6000,600/1,Bet 365,Further details,44
David Hearn,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,20,27,MC,45,20,68,6000,1000/1,Bet 365,Further details,MC
