Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer,2024 Result
Beau Hossler,-,-,-,-,-,-,-,-,47,6,14,41,-,-,-,-,-,-,MC,15,-,-,48,MC,7000,80/1,Bet 365,Further details,24
Emiliano Grillo,-,-,-,-,-,-,43,7,-,20,14,22,-,-,-,-,-,-,-,-,MC,MC,21,67,6900,110/1,Bet 365,Further details,44
Kurt Kitayama,-,-,-,-,-,-,29,24,-,-,39,8,-,-,-,-,-,-,-,-,-,-,-,MC,6900,125/1,Bet 365,Further details,39
Brendon Todd,28,-,-,-,-,-,33,30,-,-,58,22,-,-,35,14,MC,-,-,-,56,MC,-,MC,6800,90/1,Bet 365,Further details,31
Taylor Montgomery,8,-,-,-,-,-,-,13,61,13,39,39,-,-,-,-,-,-,-,-,-,-,-,MC,6800,100/1,Bet 365,Further details,MC
Patrick Rodgers,-,-,16,-,-,-,14,24,-,9,79,-,-,-,-,-,MC,22,26,15,30,12,MC,MC,6800,110/1,Bet 365,Further details,MC
Tom Hoge,-,-,-,-,-,-,38,MC,17,56,6,17,-,-,-,39,-,-,53,MC,-,52,MC,14,6700,125/1,Bet 365,Further details,8
Adam Schenk,19,-,-,-,-,-,29,-,MC,25,47,17,-,-,-,-,-,-,53,MC,47,-,MC,50,6700,100/1,Bet 365,Further details,MC
Christiaan Bezuidenhout,-,9,17,3,-,-,-,-,2,MC,20,28,-,-,-,-,-,-,-,-,-,-,MC,58,6700,125/1,Bet 365,Further details,24
Adam Svensson,5,-,-,-,-,-,33,30,-,MC,47,MC,-,-,-,-,-,-,-,-,-,-,-,9,6600,125/1,Bet 365,Further details,10
Luke List,19,-,-,-,-,-,22,66,-,50,26,MC,-,-,-,-,20,MC,26,15,30,MC,MC,29,6600,100/1,Bet 365,Further details,2
Andrew Putnam,-,-,-,-,-,-,40,10,47,-,39,MC,-,-,-,49,-,-,-,MC,MC,32,48,MC,6600,100/1,Bet 365,Further details,44
Tiger Woods,-,-,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,15,68,-,-,45,6500,200/1,Bet 365,Further details,WD
Taylor Moore,-,-,-,-,-,-,25,-,-,70,47,39,-,-,-,-,-,-,-,-,-,-,21,MC,6500,175/1,Bet 365,Further details,31
Lucas Glover,-,-,12,-,-,-,29,MC,-,-,58,-,-,MC,MC,MC,MC,-,MC,-,-,MC,-,MC,6500,150/1,Bet 365,Further details,35
Matt Kuchar,53,-,-,-,-,-,-,MC,MC,-,39,MC,-,38,MC,-,8,22,26,28,2,MC,67,8,6400,125/1,Bet 365,Further details,MC
Benjamin Griffin,8,-,-,-,-,-,-,30,9,MC,58,28,-,-,-,-,-,-,-,-,-,-,-,-,6400,175/1,Bet 365,Further details,37
Nick Dunlap,-,-,-,-,-,-,-,-,1,-,80,-,-,-,-,-,-,-,-,-,-,-,-,-,6400,250/1,Bet 365,Further details,MC
Mackenzie Hughes,2,-,-,-,-,-,25,-,-,64,71,-,-,-,-,-,-,MC,-,MC,-,32,MC,50,6300,250/1,Bet 365,Further details,31
Kevin Yu,MC,-,-,-,-,-,-,MC,3,6,58,MC,-,-,-,-,-,-,-,-,-,-,-,-,6300,175/1,Bet 365,Further details,MC
