Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Rory Sabbatini,-,-,16,-,-,-,-,-,-,MC,-,-,-,47,MC,88,10,-,MC,20,6,14,67,52,6000,500/1,Bet 365,Further details,MC
Cody Gribble,7,-,7,50,-,-,-,MC^^,55,-,MC,-,-,-,-,-,MC,-,41,MC,-,-,-,-,6000,500/1,Bet 365,Further details,63
Harrison Endycott,-,MC,65,58,MC,-,-,MC^^,MC,59,50,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,600/1,Bet 365,Further details,MC
Kyle Westmoreland,39,-,MC,50,MC,-,-,MC^^,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,1500/1,Bet 365,Further details,MC
Paul Haley II,21,-,MC,35,MC,-,-,MC^^,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,1000/1,Bet 365,Further details,5
Tyson Alexander,MC,MC,65,26,-,-,-,MC^^,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,1000/1,Bet 365,Further details,MC
Erik Compton,-,-,-,29,-,-,-,-,-,-,-,-,-,MC,73,-,33,-,-,-,-,-,20,MC,6000,1000/1,Bet 365,Further details,63
Kramer Hickok,-,44,45,46,MC,-,72,MC^^,-,40,MC,-,-,-,-,-,-,MC,-,-,MC,MC,14,MC,6000,400/1,Bet 365,Further details,21
C.T. Pan,-,-,-,MC^,-,-,MC,-,-,MC,4,-,-,-,-,-,-,-,MC,20,3,MC,32,52,-,TBC,Bet 365,Further details,NR
Matthias Schwab,-,54,MC,8,MC,-,MC,9^^,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,57,-,TBC,Bet 365,Further details,70
Charley Hoffman,MC,-,MC,MC,22,-,-,19^^,55,-,MC,-,-,13,18,51,10,42,24,52,13,MC,3,66,-,TBC,Bet 365,Further details,NR
Brent Grant,40,-,MC,8,MC,-,-,MC^^,MC,MC,83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,NR
Cameron Percy,MC,-,16,68,-,-,-,MC^^,60,-,MC,-,-,-,-,-,-,-,MC,-,-,-,MC,-,-,TBC,Bet 365,Further details,NR
Chris Stroud,15,-,-,38,-,-,-,MC^^,MC,-,50,-,-,13,7,14,MC,13,41,WD,48,-,-,-,-,TBC,Bet 365,Further details,NR
Martin Laird,39,MC,MC,-,MC,-,MC,-,MC,MC,34,-,-,-,54,30,43,MC,MC,MC,53,-,-,-,-,TBC,Bet 365,Further details,NR
Ryan Armour,61,MC,45,-,MC,-,-,MC^^,MC,56,50,-,-,-,-,-,-,-,-,14,MC,-,-,-,-,TBC,Bet 365,Further details,NR
Sean O'Hair,61,-,19,29,-,-,-,7^^,MC,-,50,-,-,-,MC,63,MC,34,2,MC,-,-,-,-,-,TBC,Bet 365,Further details,NR
Doug Ghim,-,MC,27,16,MC,-,54,MC^^,MC,27,19,-,-,-,-,-,-,-,-,-,MC,MC,14,MC,-,TBC,Bet 365,Further details,NR
