Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2011,2012,2013,2014,2015,2016,2017,2018,2019,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Matt Kuchar,-,MC,49,-,MC,-,-,MC^^,MC,34,-,17,-,MC,34,2,4,7,9,32,MC,4,-,20,6800,Further details,100/1,Bet 365,Further details
Seonghyeon Kim,MC,MC,61,45,14,-,36,MC^^,4,50,63,61,-,-,-,-,-,-,-,-,-,-,-,25,6800,Further details,90/1,Bet 365,Further details
Eric Cole,21,MC,33,-,MC,52,33,MC^^,-,68,MC,MC,-,-,-,-,-,-,-,-,-,-,-,6,6800,Further details,90/1,Bet 365,Further details
Kevin Tway,32,-,MC,-,37^,-,3,11^^,9,43,-,24,-,MC,-,-,MC,-,-,48,17,44,-,MC,6700,Further details,90/1,Bet 365,Further details
KyoungHoon Lee,-,MC,9,31,MC,-,40,11^^,59,-,WD,32,-,-,-,-,-,-,-,-,-,-,-,-,6700,Further details,125/1,Bet 365,Further details
C.T. Pan,51,42,-,-,51,-,-,28^^,WD,MC,MC,37,-,-,-,-,-,-,-,14,-,-,-,3,6700,Further details,150/1,Bet 365,Further details
Greyson Sigg,-,MC,45,45,MC,-,9,8^^,MC,13,-,MC,-,-,-,-,-,-,-,-,-,-,MC,38,6600,Further details,110/1,Bet 365,Further details
Michael Kim,23,MC,33,64,MC,-,14,11^^,MC,20,-,MC,-,-,-,-,-,-,49,MC,-,-,-,43,6600,Further details,125/1,Bet 365,Further details
Chan Kim,61,68,67,53,14,-,6,28^^,MC,40,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6600,Further details,125/1,Bet 365,Further details
Benjamin Silverman,42,MC,MC,36,81,-,MC,MC^^,MC,16,-,32,-,-,-,-,MC,-,-,-,71,20,-,MC,6500,Further details,110/1,Bet 365,Further details
Mac Meissner,23,-,26,MC,10,-,MC,23^^,MC,13,-,5,-,-,-,-,-,-,-,-,-,-,-,-,6500,Further details,150/1,Bet 365,Further details
Joseph Bramlett,-,MC,17,36,MC,-,MC,-,MC,26,-,37,-,MC,-,-,-,-,-,-,-,-,MC,-,6500,Further details,125/1,Bet 365,Further details
Andrew Novak,-,MC,17,53,58,-,-,23^^,30,54,-,MC,-,-,-,-,-,-,-,-,-,-,64,9,6500,Further details,140/1,Bet 365,Further details
Justin Lower,36,MC,WD,28,25,-,4,28^^,24,MC,-,MC,-,-,-,-,-,-,-,-,-,-,35,25,6400,Further details,140/1,Bet 365,Further details
Chesson Hadley,-,MC,MC,MC,MC,-,-,8^^,MC,10,-,MC,-,-,-,-,-,72,43,-,-,-,-,43,6400,Further details,110/1,Bet 365,Further details
Bud Cauley,-,-,MC,45,39,-,MC,-,MC,-,-,-,-,13,4,MC,-,-,49,-,-,MC,-,-,6400,Further details,100/1,Bet 365,Further details
Nate Lashley,MC,13,-,21,39,-,MC,38^^,MC,-,-,MC,-,-,-,-,-,-,-,-,-,MC,-,17,6400,Further details,140/1,Bet 365,Further details
