,Events,Av Score,M17,U17,O17,P17,M18,U18,O18,P18,M19,P19,U19,O19,P20,U20,M20,M21,P21,U21,O21,M22,P22,U22,O22,M23,P23,2023 DraftKings,2023 Odds,Bookmaker,2023 Result
Nicolas Echavarria,1,74.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,6500,1000/1,Bet 365,MC
Preston Summerhays,1,74.50,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,6100,2500/1,Bet 365,MC
Wilco Nienaber,1,74.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,68,-,-,-,-,-,-,-,6400,750/1,Bet 365,MC
Paul Barjon,2,74.75,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,MC,-,-,-,-,-,-,-,6400,2000/1,Bet 365,MC
Pablo Larrazabal,5,74.92,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,MC,-,65,6600,250/1,Bet 365,MC
David Horsey,1,75.00,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6400,2500/1,Bet 365,MC
Michael Thorbjornsen,2,75.00,-,-,-,-,-,-,-,-,-,-,79,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,6200,600/1,Bet 365,MC
Aldrich Potgieter,2,75.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,-,6100,2500/1,Bet 365,64
Mateo Fernandez De Oliveira,1,75.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,6200,2500/1,Bet 365,MC
Matt Mcclean,1,75.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,6200,2500/1,Bet 365,MC
Nick Dunlap,1,76.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,6000,2500/1,Bet 365,MC
Gordon Sargent,1,76.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,6100,350/1,Bet 365,39
Jens Dantorp,1,79.00,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6700,2500/1,Bet 365,MC
Alejandro Del Rey,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6300,1500/1,Bet 365,MC
Alex Schaake,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,2500/1,Bet 365,MC
Alexander Yang,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,2500/1,Bet 365,MC
Andrew Svoboda,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6200,2500/1,Bet 365,MC
Austen Truslow,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6400,2500/1,Bet 365,MC
Bastien Amat,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,2000/1,Bet 365,MC
Berry Henson,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6300,2500/1,Bet 365,MC
Brendan Valdes,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,2500/1,Bet 365,MC
Brent Grant,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6300,1500/1,Bet 365,MC
Carson Young,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6900,600/1,Bet 365,MC
Christian Cavaliere,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,2500/1,Bet 365,MC
Corey Pereira,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,2500/1,Bet 365,MC
David Nyfjall,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,2500/1,Bet 365,MC
David Puig,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6500,1500/1,Bet 365,39
Deon Germishuys,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6300,1500/1,Bet 365,MC
