,Events,Av Score,M18,U18,O18,P18,M19,P19,U19,O19,P20,U20,M20,M21,P21,U21,O21,M22,P22,U22,O22,M23,P23,U23,O23,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer,2024 Result
Adam Hadwin,16,72.32,24,MC,35,MC,-,29,-,57,58,54,MC,-,64,40,MC,-,71,7,-,-,40,59,-,6600,200/1,Bet 365,Further details,53
Kurt Kitayama,12,72.32,-,-,-,-,-,64,-,MC,51,MC,-,-,MC,-,MC,-,-,MC,72,MC,4,MC,60,6400,150/1,Bet 365,Further details,35
Danny Willett,19,72.33,MC,MC,24,MC,MC,41,12,6,MC,MC,25,MC,64,-,33,12,-,-,53,MC,MC,-,68,6300,500/1,Bet 365,Further details,45
Thorbjorn Olesen,10,72.37,-,MC,12,56,21,64,MC,57,-,-,-,-,-,-,-,-,-,MC,-,-,MC,-,MC,6500,150/1,Bet 365,Further details,58
Nick Taylor,7,72.44,-,-,-,-,-,-,43,-,MC,-,29,-,-,-,-,-,-,MC,-,-,MC,MC,MC,7000,160/1,Bet 365,Further details,MC
Zach Johnson,20,72.45,36,12,17,19,58,54,58,MC,MC,8,51,MC,MC,MC,-,MC,MC,-,MC,34,58,-,55,6100,750/1,Bet 365,Further details,MC
Cameron Davis,6,72.50,-,-,39,-,-,-,-,-,-,-,-,-,59,-,-,46,48,-,-,-,4,MC,-,6900,250/1,Bet 365,Further details,12
Stephan Jaeger,2,72.50,-,-,-,-,-,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-,50,-,-,7100,150/1,Bet 365,Further details,MC
Phil Mickelson,21,72.56,36,48,24,MC,18,71,52,MC,71,MC,55,21,1,62,MC,-,-,MC,MC,2,58,MC,MC,7000,200/1,Bet 365,Further details,43
Charl Schwartzel,14,72.59,MC,MC,MC,42,MC,-,-,-,58,-,25,26,MC,19,-,10,60,-,-,50,-,-,MC,6300,350/1,Bet 365,Further details,MC
Max Homa,16,72.67,-,-,-,-,-,64,-,-,MC,MC,MC,MC,MC,MC,40,48,13,47,MC,43,55,MC,10,8300,55/1,Bet 365,Further details,3
Bubba Watson,17,72.68,5,MC,MC,MC,12,MC,MC,51,71,31,57,26,80,50,-,39,30,-,-,MC,-,-,-,6400,200/1,Bet 365,Further details,MC
JT Poston,11,72.79,-,-,-,-,-,60,-,-,75,MC,MC,-,MC,40,-,-,-,-,MC,34,40,MC,41,6800,225/1,Bet 365,Further details,30
Sergio Garcia,20,72.83,MC,MC,MC,MC,MC,MC,52,67,MC,MC,-,MC,MC,19,19,23,MC,MC,68,MC,-,27,-,6800,90/1,Bet 365,Further details,MC
Adam Schenk,5,72.86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,24,-,-,MC,MC,MC,6200,250/1,Bet 365,Further details,12
Taylor Moore,4,73.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,72,MC,MC,6400,250/1,Bet 365,Further details,20
Akshay Bhatia,1,73.50,-,-,-,-,-,-,-,-,-,-,-,-,-,57,-,-,-,-,-,-,-,-,-,7200,80/1,Bet 365,Further details,35
