Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer,2024 Result
Garrick Higgo,-,-,80,MC,MC,-,49,-,60,16,32,WD,-,-,-,-,-,-,-,-,-,-,-,58,6400,125/1,Bet 365,Further details,NR
Gary Woodland,-,-,MC,-,MC,-,MC,39,-,MC,-,72,-,29,MC,8,MC,42,58,MC,MC,MC,21,45,6300,150/1,Bet 365,Further details,MC
Alex Smalley,-,-,MC,21,MC,75,-,MC,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,MC,27,6300,150/1,Bet 365,Further details,MC
Greyson Sigg,-,-,66,17,MC,-,MC,-,19,56,-,MC,-,-,-,-,-,-,-,-,-,-,48,57,6300,150/1,Bet 365,Further details,45
Robert MacIntyre,-,-,52,MC,MC,-,MC,-,6,60,32,MC,-,-,-,-,-,-,-,-,-,-,-,-,6300,125/1,Bet 365,Further details,33
Carson Young,-,-,MC,17,56,-,41,-,8,56,-,MC,-,-,-,-,-,-,-,-,-,-,-,MC,6300,150/1,Bet 365,Further details,54
Dylan Wu,-,-,42,MC,50,-,MC,-,24,MC,-,19,-,-,-,-,-,-,-,-,-,-,MC,58,6200,150/1,Bet 365,Further details,26
Brice Garnett,-,-,-,-,MC^,MC^,51^,-,-,-,1,35,-,-,-,-,MC,-,-,31,MC,-,27,MC,6200,200/1,Bet 365,Further details,MC
Ryan Moore,-,-,MC,MC,MC,-,MC,-,60,MC,-,45,-,MC,MC,-,5,3,18,MC,MC,39,-,MC,6200,140/1,Bet 365,Further details,5
J.J Spaun,-,-,MC,-,MC,54,MC,MC,MC,-,-,64,-,-,-,-,-,-,MC,-,-,MC,27,-,6200,200/1,Bet 365,Further details,MC
Chan Kim,-,-,MC,14,MC,-,-,-,8,28,61,68,-,-,-,-,-,-,-,-,-,-,-,-,6200,150/1,Bet 365,Further details,67
Samuel Stevens,-,-,24,65,43,-,28,-,MC,MC,18,MC,-,-,-,-,-,-,-,-,-,-,-,MC,6200,150/1,Bet 365,Further details,64
Ben Martin,-,-,MC,56,37,-,MC,-,-,MC,42,31,-,-,-,MC,-,-,52,46,-,-,-,45,6100,175/1,Bet 365,Further details,67
Sami Valimaki,-,-,MC,MC,43,-,41,-,2,MC,MC,54,-,-,-,-,-,-,-,-,-,-,-,-,6100,150/1,Bet 365,Further details,45
Hayden Springer,-,-,-,MC,33,-,-,-,38,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,200/1,Bet 365,Further details,72
Jhonattan Vegas,-,-,MC,MC,MC,-,22,-,60,-,-,-,-,MC,-,-,MC,-,-,-,-,48,27,MC,6100,150/1,Bet 365,Further details,MC
Joseph Bramlett,-,-,52,MC,25,-,MC,-,38,41,-,MC,-,-,-,-,-,-,-,-,-,63,48,36,6100,150/1,Bet 365,Further details,17
Seonghyeon Kim,-,-,30,MC,50,31,28,-,MC,67,MC,MC,-,-,-,-,-,-,-,-,-,-,-,45,6100,175/1,Bet 365,Further details,61
Matthias Schmid,-,-,MC,MC,MC,-,MC,-,MC,MC,10,26,-,-,-,-,-,-,-,-,-,-,-,MC,6000,175/1,Bet 365,Further details,17
Christopher Gotterup,-,-,-,MC,50,-,MC,-,WD,35,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,150/1,Bet 365,Further details,61
Vincent Whaley,-,-,MC,34,MC,-,MC,-,MC,-,18,-,-,-,-,-,-,-,-,-,-,29,MC,-,6000,175/1,Bet 365,Further details,54
Zach Johnson,-,-,MC,25,-,-,60,-,-,21,-,-,-,46,MC,-,-,-,-,16,24,29,MC,MC,6000,175/1,Bet 365,Further details,MC
Michael Kim,-,-,42,6,37,-,MC,-,MC,MC,23,MC,-,-,-,-,-,MC,52,MC,MC,MC,-,45,6000,175/1,Bet 365,Further details,33
Scott Stallings,-,-,42,MC,25,-,MC,-,MC,MC,-,MC,-,MC,MC,MC,MC,MC,68,31,9,29,16,-,6000,175/1,Bet 365,Further details,12
Aaron Wise,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,68,-,-,MC,-,5900,175/1,Bet 365,Further details,NR
Jacob Bridgeman,-,-,MC,39,70,-,-,-,MC,28,23,-,-,-,-,-,-,-,-,-,-,-,-,-,5900,200/1,Bet 365,Further details,MC
Parker Coody,-,-,74,MC,25,-,-,-,24,47,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,5900,200/1,Bet 365,Further details,67
Ricky Castillo,-,-,-,MC^,20^,5^,7^,-,-,13^,5^,-,-,-,-,-,-,-,-,-,-,-,-,-,5900,200/1,Bet 365,Further details,MC
Stewart Cink,-,-,24,5^,MC,-,MC,-,-,-,7^,-,-,70,14,MC,60,MC,27,31,MC,-,7,MC,5900,175/1,Bet 365,Further details,33
