Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Daniel Berger,28,-,-,MC,MC,-,MC,45,-,-,50,MC^^,-,-,-,-,10,-,-,-,23,3,-,-,7400,Further details,110/1,Bet 365,Further details
Greyson Sigg,MC,-,19,56,-,MC,45,45,MC,-,9,8^^,-,-,-,-,-,-,-,-,-,-,MC,MC,7400,Further details,100/1,Bet 365,Further details
C.T. Pan,MC,-,3,28,51,42,-,-,51,-,-,28^^,-,-,-,-,-,-,MC,32,35,-,-,4,7300,Further details,90/1,Bet 365,Further details
Nate Lashley,MC,-,MC,MC,MC,13,-,21,39,-,MC,38^^,-,-,-,-,-,-,-,32,29,MC,17,23,7300,Further details,100/1,Bet 365,Further details
Garrick Higgo,49,-,60,16,32,WD,-,69,33,-,MC,4^^,-,-,-,-,-,-,-,-,-,-,-,30,7300,Further details,100/1,Bet 365,Further details
Taylor Montgomery,39,MC,-,60,-,11,MC,MC,WD,-,-,MC^^,-,-,-,-,-,-,-,-,-,-,-,50,7300,Further details,110/1,Bet 365,Further details
Joseph Bramlett,MC,-,38,41,-,MC,17,36,MC,-,MC,-,-,-,-,-,-,-,-,-,-,7,51,19,7200,Further details,100/1,Bet 365,Further details
Chad Ramey,MC,-,33,35,-,MC,MC,17,MC,-,50,2^^,-,-,-,-,-,-,-,-,-,-,-,50,7200,Further details,125/1,Bet 365,Further details
Bud Cauley,65,-,-,21,-,-,MC,45,39,-,MC,-,-,-,-,MC,-,4,5,-,43,-,-,-,7200,Further details,125/1,Bet 365,Further details
Matthias Schmid,MC,-,MC,MC,10,26,17,21,69,-,11,MC^^,-,-,-,-,-,-,-,-,-,-,-,MC,7200,Further details,100/1,Bet 365,Further details
Michael Kim,MC,-,MC,MC,23,MC,33,64,MC,-,14,11^^,-,-,-,-,-,34,40,MC,MC,67,-,MC,7200,Further details,125/1,Bet 365,Further details
Ryan Palmer,-,-,52,MC,-,-,54,74,MC,-,55,19^^,-,9,33,22,10,MC,27,MC,43,47,5,8,7100,Further details,140/1,Bet 365,Further details
Matt Kuchar,MC,MC,-,MC,-,MC,49,-,MC,-,-,MC^^,-,15,33,7,39,3,9,MC,-,17,12,43,7100,Further details,125/1,Bet 365,Further details
Seonghyeon Kim,28,-,MC,67,MC,MC,61,45,14,-,36,MC^^,-,-,-,-,-,-,-,-,-,-,-,50,7100,Further details,110/1,Bet 365,Further details
Alejandro Tosti,-,-,MC,MC,MC,-,75,2,MC,-,33,MC^^,-,-,-,-,-,-,-,-,-,-,-,-,7100,Further details,100/1,Bet 365,Further details
Max Greyserman,-,-,WD,47,15,-,33,7,MC,-,40,4^^,-,-,-,-,-,-,-,-,-,-,-,-,7100,Further details,125/1,Bet 365,Further details
Robert MacIntyre,MC,-,6,60,32,MC,33,MC,-,-,-,8^^,-,-,-,-,-,-,-,-,-,-,-,-,7100,Further details,110/1,Bet 365,Further details
Chesson Hadley,MC,-,24,35,-,MC,MC,MC,MC,-,-,8^^,-,-,-,-,-,MC,-,-,-,MC,69,MC,7100,Further details,140/1,Bet 365,Further details
Vincent Norrman,MC,-,MC,47,-,MC,-,83,45,-,-,39^^,-,-,-,-,-,-,-,-,-,-,-,8,7000,Further details,125/1,Bet 365,Further details
Parker Coody,-,-,24,47,MC,-,67,MC,58,-,6,MC^^,-,-,-,-,-,-,-,-,-,-,-,64,7000,Further details,125/1,Bet 365,Further details
Jacob Bridgeman,-,-,MC,28,23,-,MC,21,MC,-,23,19^^,-,-,-,-,-,-,-,-,-,-,-,-,7000,Further details,110/1,Bet 365,Further details
Sam Ryder,MC,MC,-,21,-,16,33,64,MC,-,43,MC^^,-,-,-,-,-,-,-,42,-,MC,MC,-,7000,Further details,125/1,Bet 365,Further details
Ben Martin,MC,-,-,MC,42,31,67,-,7,-,55,MC^^,-,-,-,-,-,-,-,MC,-,26,-,-,7000,Further details,150/1,Bet 365,Further details
Sami Valimaki,41,-,2,MC,MC,54,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7000,Further details,125/1,Bet 365,Further details
J.J Spaun,MC,MC,MC,-,-,64,MC,36,51,-,-,MC^^,-,-,-,-,-,-,74,3,59,47,38,-,7000,Further details,125/1,Bet 365,Further details
Ryo Hisatsune,MC,-,48,MC,18,MC,33,-,78,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7000,Further details,125/1,Bet 365,Further details
Kevin Tway,MC^,-,-,-,32,-,MC,-,37^,-,3,11^^,-,-,-,MC,-,-,20,9,53,MC,MC,11,6900,Further details,150/1,Bet 365,Further details
Cameron Champ,MC,-,24,MC,MC,-,26,45,MC,-,-,MC^^,-,-,-,-,-,-,-,-,-,55,38,50,6900,Further details,150/1,Bet 365,Further details
Jhonattan Vegas,22,-,60,-,-,-,MC,36,MC,-,23,MC^^,-,69,-,78,69,49,35,-,-,9,59,-,6900,Further details,140/1,Bet 365,Further details
Jimmy Stanger,-,-,38,35,6,35,MC,-,MC,-,23,MC^^,-,-,-,-,-,-,-,-,-,-,-,-,6900,Further details,125/1,Bet 365,Further details
Chandler Phillips,-,-,24,WD,MC,-,3,45,MC,-,55,19^^,-,-,-,-,-,-,-,-,-,-,-,-,6900,Further details,125/1,Bet 365,Further details
Matt Wallace,53,-,33,MC,-,MC,17,MC,-,-,-,36^^,-,-,-,-,-,-,-,-,-,-,MC,-,6900,Further details,125/1,Bet 365,Further details
Nick Hardy,66,MC,-,MC,-,MC,MC,57,25,-,MC,28^^,-,-,-,-,-,-,-,-,-,-,-,-,6900,Further details,150/1,Bet 365,Further details
Nick Dunlap,-,MC,-,53,48,MC,-,11,-,MC,69,-,-,-,-,-,-,-,-,-,-,-,-,-,6900,Further details,150/1,Bet 365,Further details
Martin Laird,53,-,-,9,10,54,-,31,51,-,-,MC^^,-,-,-,-,MC,-,-,MC,35,61,MC,34,6800,Further details,140/1,Bet 365,Further details
Brice Garnett,51^,-,-,-,1,35,MC,-,-,-,18,11^^,-,-,-,29,-,MC,-,-,-,47,15,77,6800,Further details,160/1,Bet 365,Further details
