Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Brian Harman,-,-,12,2,MC,-,25,MC,12,-,-,47,-,-,40,MC,-,13,71,MC,58,MC,34,MC,7500,Further details,110/1,Bet 365,Further details
Rickie Fowler,-,41,36,68,-,-,MC,30,18,-,-,43,-,19,3,30,33,5,12,36,MC,8,23,MC,7400,Further details,110/1,Bet 365,Further details
Nicolai Hojgaard,52,-,MC,MC,-,-,75,16,MC,MC^^,-,-,-,-,-,-,-,-,-,-,-,-,MC,50,7400,Further details,150/1,Bet 365,Further details
Russell Henley,-,41,4,MC,-,-,4,39,12,-,-,10,-,MC,MC,12,22,71,50,-,37,71,60,MC,7300,Further details,90/1,Bet 365,Further details
Adam Scott,-,-,MC,45,-,-,14,22,-,-,30,29,-,5,15,MC,18,61,3,8,22,MC,MC,29,7300,Further details,110/1,Bet 365,Further details
Alexander Noren,-,9,-,19,-,11,14,-,23,-,3,24,-,MC,-,-,49,67,MC,54,22,55,MC,MC,7200,Further details,110/1,Bet 365,Further details
Akshay Bhatia,-,MC,-,MC,17,11,1,35,18,-,-,42,-,-,-,-,-,-,-,-,-,-,-,-,7200,Further details,125/1,Bet 365,Further details
Keegan Bradley,-,-,36,MC,MC,-,-,22,55,-,-,21,-,19,MC,61,42,33,42,29,MC,17,48,29,7100,Further details,175/1,Bet 365,Further details
Stephan Jaeger,3,MC,44,MC,-,1,-,MC,18,-,20,21,-,-,-,-,-,-,-,-,-,-,-,50,7100,Further details,110/1,Bet 365,Further details
Adam Schenk,-,56,MC,19,33,-,5,12,49,-,13,64,-,-,-,-,-,-,-,-,-,-,41,MC,7000,Further details,150/1,Bet 365,Further details
Dean Burmester,31^,15^^,8^^,-,-,-,1^^,-,-,3^^,14^^,-,-,-,-,-,-,-,-,-,-,59,MC,54,7000,Further details,110/1,Bet 365,Further details
Chris Kirk,-,28,44,26,-,-,-,16,10,-,-,43,-,57,MC,-,MC,MC,31,-,-,MC,5,29,6900,Further details,175/1,Bet 365,Further details
Justin Rose,-,64,MC,MC,-,-,-,MC,44,-,-,52,-,33,24,4,22,MC,19,29,9,8,13,9,6900,Further details,225/1,Bet 365,Further details
Matthieu Pavon,-,28,52,MC,5,-,-,12,49,30,-,67,-,-,-,-,-,-,-,-,-,-,-,-,6800,Further details,200/1,Bet 365,Further details
Tiger Woods,-,-,-,-,-,-,-,60,-,-,-,-,-,40,MC,MC,-,-,2,MC,37,-,WD,-,6800,Further details,200/1,Bet 365,Further details
Adrian Meronk,-,6^^,15^^,-,-,-,17^^,MC,-,26^^,10^^,-,-,-,-,-,-,-,-,-,-,-,-,40,6700,Further details,175/1,Bet 365,Further details
Aaron Rai,19,-,23,35,MC,7,58,-,MC,23^^,4,-,-,-,-,-,-,-,-,-,-,MC,-,-,6700,Further details,150/1,Bet 365,Further details
Christiaan Bezuidenhout,-,MC,44,13,9,-,25,-,28,3,-,16,-,-,-,-,-,-,-,-,MC,30,MC,MC,6600,Further details,125/1,Bet 365,Further details
Cameron Davis,-,-,18,MC,-,21,-,12,49,-,-,38,-,-,-,-,-,-,-,-,-,59,48,4,6600,Further details,125/1,Bet 365,Further details
Keith Mitchell,19,9,-,73,17,MC,14,-,-,28^^,20,-,-,-,-,-,-,-,-,MC,43,-,34,58,6600,Further details,150/1,Bet 365,Further details
Kurt Kitayama,-,-,MC,19,-,36,-,35,33,23^^,-,34,-,-,-,-,-,-,-,64,51,MC,-,4,6500,Further details,175/1,Bet 365,Further details
Harris English,-,-,21,19,-,-,MC,22,28,-,-,34,-,61,MC,48,60,-,-,-,19,64,-,MC,6500,Further details,150/1,Bet 365,Further details
JT Poston,-,66,55,45,-,-,-,30,5,-,-,60,-,-,-,-,-,-,-,60,75,MC,-,40,6500,Further details,150/1,Bet 365,Further details
Ryan Fox,MC,35,-,MC,MC,78,MC,39,-,4^^,MC,4,-,-,-,-,-,54,27,MC,-,-,54,23,6400,Further details,200/1,Bet 365,Further details
Tom Hoge,-,28,12,54,-,14,-,-,18,MC^^,41,38,-,-,-,-,-,-,-,-,58,64,9,58,6400,Further details,225/1,Bet 365,Further details
Eric Cole,-,MC,21,MC,33,-,MC,52,33,MC^^,-,68,-,-,-,-,-,-,-,-,-,-,-,15,6400,Further details,175/1,Bet 365,Further details
Denny McCarthy,-,MC,48,35,-,-,2,45,28,-,-,6,-,-,-,-,-,-,-,-,58,59,48,29,6300,Further details,150/1,Bet 365,Further details
Adam Hadwin,-,-,52,MC,5,-,-,53,42,10^^,-,52,-,-,-,-,-,MC,MC,29,58,64,71,40,6300,Further details,200/1,Bet 365,Further details
Jake Knapp,1,4,57,45,-,MC,-,55,62,-,8,58,-,-,-,-,-,-,-,-,-,-,-,-,6300,Further details,175/1,Bet 365,Further details
Taylor Moore,-,-,48,31,12,2,-,20,58,MC^^,-,38,-,-,-,-,-,-,-,-,-,-,-,72,6200,Further details,200/1,Bet 365,Further details
Billy Horschel,-,9,-,MC,12,7,MC,-,1,MC^^,-,52,-,MC,58,25,79,48,35,23,43,23,68,MC,6200,Further details,150/1,Bet 365,Further details
Thomas Detry,MC,MC,-,62,17,2,-,-,28,8^^,MC,-,-,-,-,-,-,-,-,-,-,MC,-,40,6200,Further details,200/1,Bet 365,Further details
Lucas Glover,-,35,30,MC,11,-,25,20,33,-,-,16,-,MC,-,-,-,33,-,16,MC,-,23,-,6100,Further details,200/1,Bet 365,Further details
Nick Taylor,-,-,12,26,64,-,-,MC,49,10^^,-,43,-,-,-,68,-,-,-,-,MC,-,-,MC,6100,Further details,225/1,Bet 365,Further details
Phil Mickelson,-,6^^,52^^,-,-,-,47^^,43,-,38^^,22^^,-,-,72,2,18,33,MC,MC,71,71,1,-,58,6100,Further details,250/1,Bet 365,Further details
Taylor Pendrith,MC,MC,-,MC,MC,36,MC,-,11,11^^,1,10,-,-,-,-,-,-,-,-,-,-,-,29,6000,Further details,225/1,Bet 365,Further details
Gary Woodland,-,MC,-,72,MC,21,-,MC,64,MC^^,-,38,-,74,MC,-,MC,22,6,8,58,38,34,MC,6000,Further details,350/1,Bet 365,Further details
Lucas Herbert,10^,22^^,15^^,3^,-,-,-,-,-,14^^,27^^,-,-,-,-,-,-,-,-,71,MC,71,13,40,6000,Further details,200/1,Bet 365,Further details
Robert MacIntyre,6,60,32,MC,33,MC,-,-,-,8^^,MC,13,-,-,-,-,-,-,-,-,66,49,77,MC,5900,Further details,225/1,Bet 365,Further details
Keita Nakajima,-,MC,-,-,29,1,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5900,Further details,300/1,Bet 365,Further details
Maverick McNealy,13,41,-,9,45,-,58,-,-,MC^^,41,-,-,-,-,-,-,-,-,-,-,MC,75,MC,5900,Further details,275/1,Bet 365,Further details
Beau Hossler,-,28,-,MC,MC,57,78,-,-,MC^^,52,4,-,-,-,-,-,-,MC,36,-,-,69,40,5800,Further details,275/1,Bet 365,Further details
Mackenzie Hughes,MC,-,30,26,3,14,-,-,39,-,41,6,-,-,-,-,-,MC,-,-,58,MC,MC,MC,5800,Further details,175/1,Bet 365,Further details
Nick Dunlap,-,53,48,MC,-,11,-,MC,69,-,30,24,-,-,-,-,-,-,-,-,-,-,-,-,5800,Further details,250/1,Bet 365,Further details
David Puig,10^,15^^,34^^,2^,-,-,39^^,-,5^,40^^,27^^,-,-,-,-,-,-,-,-,-,-,-,-,-,5800,Further details,300/1,Bet 365,Further details
Erik van Rooyen,8,2,25,MC,-,-,MC,55,33,-,-,4,-,-,-,-,-,-,-,8,51,MC,MC,-,5700,Further details,275/1,Bet 365,Further details
Benjamin Griffin,-,MC,55,MC,17,36,39,-,14,MC^^,13,16,-,-,-,-,-,-,-,-,-,-,-,MC,5700,Further details,300/1,Bet 365,Further details
Matt Wallace,33,MC,-,MC,17,MC,-,-,-,36^^,4,20,-,-,-,-,-,-,19,3,77,55,-,65,5700,Further details,350/1,Bet 365,Further details
Victor Perez,52,16,3,-,MC,17,45,-,43,MC^^,-,46,-,-,-,-,-,-,-,-,22,MC,-,12,5700,Further details,300/1,Bet 365,Further details
Brendon Todd,-,MC,6,MC,33,-,5,-,58,-,-,60,-,-,72,MC,-,-,-,-,17,MC,-,MC,5700,Further details,275/1,Bet 365,Further details
Austin Eckroat,38,1,36,45,-,-,33,MC,17,11^^,-,63,-,-,-,-,-,-,-,-,-,-,-,-,5700,Further details,300/1,Bet 365,Further details
Sebastian Soderberg,-,-,-,-,21,2,-,-,-,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,5700,Further details,300/1,Bet 365,Further details
Adrian Otaegui,4,24,-,-,MC,26,-,-,-,30,1,-,-,-,-,-,-,-,65,MC,-,-,-,MC,5700,Further details,300/1,Bet 365,Further details
Rasmus Hojgaard,-,MC,49,-,29,WD,-,-,-,MC^^,-,-,-,-,-,-,-,-,-,-,-,79,-,MC,5700,Further details,350/1,Bet 365,Further details
Patrick Rodgers,6,-,25,MC,MC,74,WD,-,5,-,-,29,-,-,-,-,-,MC,-,-,-,-,-,29,5600,Further details,300/1,Bet 365,Further details
Andrew Putnam,-,-,8,53,MC,-,14,-,18,MC^^,-,29,-,-,-,-,-,-,59,78,MC,-,-,MC,5600,Further details,300/1,Bet 365,Further details
Emiliano Grillo,33,-,8,54,-,-,-,MC,64,-,-,64,-,-,-,61,13,MC,31,23,66,38,-,MC,5600,Further details,350/1,Bet 365,Further details
KyoungHoon Lee,MC,4,-,MC,9,31,MC,-,40,11^^,59,-,-,-,-,-,-,-,-,-,-,MC,41,29,5600,Further details,300/1,Bet 365,Further details
Mark Hubbard,48,64,-,31,-,31,25,-,36,3^^,52,-,-,-,-,-,-,-,-,-,51,-,-,75,5600,Further details,350/1,Bet 365,Further details
Luke List,-,MC,56,MC,-,MC,-,39,-,19^^,30,-,-,-,-,-,-,MC,MC,6,51,-,41,-,5600,Further details,300/1,Bet 365,Further details
Takumi Kanaya,7^,-,-,48^,-,1^,-,-,-,11,6^,-,-,-,-,-,-,-,-,-,-,MC,MC,-,5600,Further details,400/1,Bet 365,Further details
Tim Widing,-,26^,20^,-,-,-,MC^,-,1^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5600,Further details,400/1,Bet 365,Further details
Ryo Hisatsune,48,MC,18,MC,33,-,78,MC,-,-,13,MC,-,-,-,-,-,-,-,-,-,-,-,-,5600,Further details,400/1,Bet 365,Further details
Thorbjorn Olesen,46,MC,-,-,MC,MC,14,58,-,36^^,MC,16,-,40,30,-,MC,44,56,64,-,-,-,MC,5500,Further details,275/1,Bet 365,Further details
Lee Hodges,-,MC,12,35,26,-,MC,MC,58,MC^^,-,24,-,-,-,-,-,-,-,-,-,-,-,55,5500,Further details,400/1,Bet 365,Further details
Thriston Lawrence,19,10,2,-,65,-,-,-,MC,MC^^,-,36,-,-,-,-,-,-,-,-,-,-,-,62,5500,Further details,500/1,Bet 365,Further details
