Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer,2024 Result
Justin Lower,-,-,-,74,39,43,-,53,-,3,MC,36,-,-,-,-,-,-,-,-,-,-,-,MC,5700,400/1,Bet 365,Further details,MC
Thomas Detry,-,-,-,-,MC,20,4,28,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,5700,275/1,Bet 365,Further details,62
Brandon Wu,-,-,-,18,MC,-,47,MC,-,13,MC,42,-,-,-,-,-,-,-,-,-,-,-,19,5600,350/1,Bet 365,Further details,MC
Garrick Higgo,-,-,-,80,MC,MC,-,49,-,60,16,32,-,-,-,-,-,-,-,-,-,-,MC,44,5600,350/1,Bet 365,Further details,WD
Sam Ryder,-,-,-,-,62,MC,31,MC,MC,-,21,-,-,-,-,-,-,-,-,-,MC,MC,60,44,5600,400/1,Bet 365,Further details,16
Robert MacIntyre,-,-,-,52,MC,MC,-,MC,-,6,60,32,-,-,-,-,-,-,-,-,-,MC,-,-,5600,400/1,Bet 365,Further details,MC
C.T. Pan,-,-,-,MC,-,-,-,MC,-,3,28,51,-,-,-,-,-,-,-,46,72,MC,MC,-,5600,400/1,Bet 365,Further details,42
Charley Hoffman,-,-,-,42,MC,56,-,2,50,MC,-,-,-,MC,37,38,30,MC,30,MC,MC,17,MC,-,5600,400/1,Bet 365,Further details,MC
Vincent Norrman,-,-,59,MC,-,56,-,MC,-,MC,47,-,-,-,-,-,-,-,-,-,-,-,-,-,5600,350/1,Bet 365,Further details,MC
Jimmy Stanger,-,-,-,MC,14,MC,-,-,-,38,35,6,-,-,-,-,-,-,-,-,-,-,-,-,5500,400/1,Bet 365,Further details,35
Benjamin Silverman,-,-,-,18,MC,56,-,-,-,13,16,42,-,-,-,-,-,-,-,-,-,-,-,-,5500,400/1,Bet 365,Further details,MC
Carson Young,-,-,-,MC,17,56,-,41,-,8,56,-,-,-,-,-,-,-,-,-,-,-,-,-,5500,350/1,Bet 365,Further details,MC
Sami Valimaki,-,-,-,MC,MC,43,-,41,-,2,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,5500,350/1,Bet 365,Further details,54
Greyson Sigg,-,-,-,66,17,MC,-,MC,-,19,56,-,-,-,-,-,-,-,-,-,-,-,-,MC,5500,350/1,Bet 365,Further details,MC
Joseph Bramlett,-,-,-,52,MC,25,-,MC,-,38,41,-,-,-,-,-,-,-,-,-,-,-,MC,MC,5500,400/1,Bet 365,Further details,MC
Matt Wallace,-,-,40,52,MC,MC,-,53,-,33,MC,-,-,-,-,-,-,-,-,-,30,-,MC,MC,5500,350/1,Bet 365,Further details,MC
Gary Woodland,-,-,-,MC,-,MC,-,MC,39,-,MC,-,-,MC,-,11,MC,28,75,MC,30,MC,MC,54,5400,400/1,Bet 365,Further details,72
Alex Smalley,-,-,-,MC,21,MC,75,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,65,5400,400/1,Bet 365,Further details,MC
Michael Kim,-,-,-,42,6,37,-,MC,-,MC,MC,23,-,-,-,-,-,-,60,MC,MC,-,-,-,5400,400/1,Bet 365,Further details,MC
Martin Laird,-,-,-,MC,MC,MC,-,53,-,-,9,10,-,2,5,MC,-,MC,MC,57,MC,69,MC,MC,5400,500/1,Bet 365,Further details,54
Lee Hodges,-,-,57,-,MC,MC,58,MC,24,-,MC,12,-,-,-,-,-,-,-,-,-,-,70,MC,5400,400/1,Bet 365,Further details,35
Nicolas Echavarria,-,-,25,66,65,MC,-,MC,-,24,21,15,-,-,-,-,-,-,-,-,-,-,-,MC,5400,500/1,Bet 365,Further details,MC
Matt Kuchar,-,-,-,MC,MC,-,39,MC,MC,-,MC,-,-,1,48,17,MC,3,82,17,26,MC,MC,MC,5400,250/1,Bet 365,Further details,MC
Chad Ramey,-,-,-,MC,MC,78,-,MC,-,33,35,-,-,-,-,-,-,-,-,-,-,-,-,27,5300,500/1,Bet 365,Further details,MC
Tyler Duncan,-,-,-,65,34,MC,-,53,-,MC,MC,23,-,-,-,-,-,-,-,-,74,MC,-,54,5300,500/1,Bet 365,Further details,64
Nate Lashley,-,-,-,MC,MC,3,-,MC,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,71,-,60,5300,500/1,Bet 365,Further details,13
Brice Garnett,-,-,-,-,-,MC^,MC^,51^,-,-,-,1,-,-,-,-,MC,-,-,41,35,MC,50,-,5300,500/1,Bet 365,Further details,35
Ben Kohles,-,-,-,52,47,MC,-,MC,-,WD,MC,3,-,-,-,-,-,-,-,-,-,-,-,-,5300,350/1,Bet 365,Further details,MC
Samuel Stevens,-,-,-,24,65,43,-,28,-,MC,MC,18,-,-,-,-,-,-,-,-,-,-,-,-,5300,400/1,Bet 365,Further details,MC
Nick Hardy,-,-,47,42,-,37,47,66,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,5300,400/1,Bet 365,Further details,MC
Seonghyeon Kim,-,-,-,30,MC,50,31,28,-,MC,67,MC,-,-,-,-,-,-,-,-,-,-,-,MC,5300,500/1,Bet 365,Further details,MC
Ben Martin,-,-,-,MC,56,37,-,MC,-,-,MC,42,-,-,-,-,4,MC,30,MC,-,-,-,54,5200,500/1,Bet 365,Further details,31
Scott Stallings,-,-,-,42,MC,25,-,MC,-,MC,MC,-,-,MC,MC,65,75,-,-,MC,MC,MC,42,69,5200,500/1,Bet 365,Further details,MC
Aaron Baddeley,-,-,-,-,MC,37,-,28,-,24,MC,23,-,MC,MC,MC,MC,MC,41,-,MC,-,-,72,5200,500/1,Bet 365,Further details,MC
David Skinns,-,-,-,MC,MC,MC,-,-,-,MC,4,67,-,-,-,-,-,-,-,-,-,-,-,-,5200,600/1,Bet 365,Further details,MC
Steve Stricker,-,-,-,-,3^,-,-,-,7^,-,-,32^,-,MC,37,13,38,-,41,23,-,MC,-,-,5200,400/1,Bet 365,Further details,MC
Troy Merritt,-,-,-,24,MC,MC,-,MC,-,58,47,23,-,-,-,-,72,MC,MC,-,MC,MC,46,MC,5200,500/1,Bet 365,Further details,MC
J.J Spaun,-,-,-,MC,-,MC,54,MC,MC,MC,-,-,-,-,-,-,-,-,-,MC,WD,-,MC,MC,5200,500/1,Bet 365,Further details,64
Peter Malnati,-,-,-,MC,MC,MC,14,MC,-,-,9,-,-,-,-,-,-,MC,MC,-,-,MC,46,MC,5200,600/1,Bet 365,Further details,68
Dylan Wu,-,-,-,42,MC,50,-,MC,-,24,MC,-,-,-,-,-,-,-,-,-,-,-,-,35,5100,600/1,Bet 365,Further details,19
Joel Dahmen,-,-,-,72,MC,MC,-,41,-,-,MC,49,-,-,-,-,-,-,-,-,12,MC,33,60,5100,600/1,Bet 365,Further details,11
Francesco Molinari,-,-,-,5,MC,73,-,-,-,MC,MC,-,-,MC,MC,6,-,7,6,MC,56,MC,42,60,5100,750/1,Bet 365,Further details,54
Matthias Schmid,-,-,-,MC,MC,MC,-,MC,-,MC,MC,10,-,-,-,-,-,-,-,-,-,-,-,-,5100,600/1,Bet 365,Further details,26
Grayson Murray,-,-,-,1,MC,-,66,MC,MC,-,-,25,-,-,-,-,-,-,79,30,MC,-,-,-,5100,500/1,Bet 365,Further details,42
Carl Yuan,-,-,-,4,MC,MC,-,WD,-,52,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,5100,600/1,Bet 365,Further details,MC
Davis Riley,-,-,52,MC,MC,MC,78,-,-,MC,62,-,-,-,-,-,-,-,-,-,-,-,-,MC,5100,750/1,Bet 365,Further details,MC
Matthew NeSmith,-,-,-,80,56,MC,-,71,-,MC,MC,-,-,-,-,-,-,-,-,-,-,MC,MC,MC,5100,750/1,Bet 365,Further details,26
Robby Shelton IV,-,-,-,57,MC,25,-,60,-,60,MC,-,-,-,-,-,-,-,-,-,-,MC,-,MC,5100,600/1,Bet 365,Further details,MC
Harry Hall,-,-,-,42,MC,MC,-,41,-,33,MC,49,-,-,-,-,-,-,-,-,-,-,-,-,5000,750/1,Bet 365,Further details,MC
Benjamin Taylor,-,-,-,MC,MC,64,-,MC,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,5000,2500/1,Bet 365,Further details,MC
Ryan Moore,-,-,-,MC,MC,MC,-,MC,-,60,MC,-,-,46,MC,26,MC,MC,53,30,20,35,-,-,5000,750/1,Bet 365,Further details,45
Zac Blair,-,-,-,30,62,73,-,49,-,-,MC,-,-,-,-,-,-,49,MC,-,-,-,-,-,5000,750/1,Bet 365,Further details,54
Camilo Villegas,-,-,50,MC,62,-,-,MC,-,-,67,MC,-,MC,-,MC,MC,70,-,-,-,-,-,-,5000,1000/1,Bet 365,Further details,MC
Kevin Streelman,-,-,-,MC,MC,WD,-,-,-,-,MC,32,-,51,2,MC,MC,74,72,MC,MC,MC,22,MC,5000,750/1,Bet 365,Further details,MC
Callum Tarren,-,-,-,MC,MC,MC,-,MC,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,5000,1000/1,Bet 365,Further details,MC
Chez Reavie,-,-,-,MC,52,MC,-,MC,-,MC,-,-,-,MC,-,-,-,MC,56,30,MC,MC,MC,MC,5000,1000/1,Bet 365,Further details,MC
David Lipsky,-,-,-,MC,MC,MC,-,MC,-,MC,41,-,-,-,-,-,-,-,-,-,-,-,-,MC,5000,1500/1,Bet 365,Further details,42
Hayden Buckley,-,-,-,MC,MC,MC,77,28,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,66,MC,5000,750/1,Bet 365,Further details,MC
Tyson Alexander,-,-,-,WD,MC,56,-,53,-,MC,16,-,-,-,-,-,-,-,-,-,-,-,-,MC,5000,2000/1,Bet 365,Further details,MC
Alexander Bjork,-,-,-,MC,11,70,-,-,-,MC,47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,NR
Parker Coody,-,-,-,74,MC,25,-,-,-,24,47,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 366,Further details,NR
