Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Eric Cole,MC,45,MC,48,6,7,46,31,-,-,7,18,-,-,-,-,-,-,-,-,-,-,-,25,6500,Further details,100/1,Bet 365,Further details
Tom Hoge,-,45,MC,3,-,-,MC,72,MC,-,-,46,-,-,-,-,-,-,-,-,65,49,48,21,6400,Further details,100/1,Bet 365,Further details
Max Homa,-,22,MC,61,-,-,70,43,-,-,-,70,-,-,-,-,-,-,-,61,59,63,23,5,6400,Further details,100/1,Bet 365,Further details
Austin Eckroat,-,39,74,27,-,-,MC,66,MC,-,6,18,-,-,-,-,-,-,-,-,-,-,-,-,6300,Further details,100/1,Bet 365,Further details
Max Greyserman,MC,-,21,-,31,26,21,13,2,-,2,33,-,-,-,-,-,-,-,-,-,-,-,-,6300,Further details,110/1,Bet 365,Further details
Cameron Davis,-,50,MC,48,1,-,26,-,19,-,MC,40,-,-,-,-,-,-,-,-,-,29,35,40,6200,Further details,110/1,Bet 365,Further details
Adam Hadwin,MC,3,MC,27,-,-,34,MC,MC,-,28,50,-,-,-,-,-,40,19,43,40,-,44,44,6200,Further details,125/1,Bet 365,Further details
JT Poston,-,22,32,55,-,30,-,MC,MC,-,MC,33,-,-,-,-,-,-,-,16,59,-,35,22,6100,Further details,150/1,Bet 365,Further details
Chris Kirk,-,MC,26,63,44,-,-,31,-,-,-,50,-,24,36,60,10,-,41,-,-,48,61,29,6100,Further details,140/1,Bet 365,Further details
Stephan Jaeger,-,MC,21,31,MC,-,-,MC,-,26,MC,40,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,150/1,Bet 365,Further details
Matthieu Pavon,-,MC,5,16,-,-,MC,50,-,58,-,46,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,200/1,Bet 365,Further details
