Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Maxwell Ford,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,TBC,Bet 365,Further details,MC
Ricky Barnes,-,-,-,MC,-,-,MC,-,-,-,-,MC,-,MC,-,-,25,MC,MC,MC,20,-,-,-,6000,2500/1,Bet 365,Further details,36
Tommy Gainey,MC^,-,-,MC,-,-,51,MC,-,-,-,MC,-,1,MC,32,MC,MC,MC,MC,MC,-,-,-,6000,TBC,Bet 365,Further details,53
Nick Watney,-,-,-,MC,-,-,MC,MC,-,-,MC,80,-,-,-,85,-,-,MC,23,14,MC,MC,MC,6000,2500/1,Bet 365,Further details,MC
Michael Gligic,-,-,-,MC,-,-,62,MC,-,-,MC,MC,-,-,-,-,-,-,-,-,MC,MC,29,MC,6000,1500/1,Bet 365,Further details,MC
Matt Atkins,MC^,-,-,48^,MC^,-,-,-,-,-,-,-,-,-,-,-,63,-,MC,-,MC,-,-,-,6000,TBC,Bet 365,Further details,38
Ted Potter Jr.,-,-,-,MC,-,-,75,-,-,-,-,65,-,MC,36,-,-,-,13,46,MC,MC,-,-,-,TBC,Bet 365,Further details,NR
Sangmoon Bae,-,-,-,52,-,-,31^,-,-,-,25^,6^,-,-,-,-,-,-,-,59,MC,-,-,-,-,TBC,Bet 365,Further details,NR
Derek Ernst,-,-,-,MC,-,-,-,-,-,-,-,MC,-,-,-,54,MC,MC,-,-,MC,-,-,-,-,TBC,Bet 365,Further details,NR
Derek Lamely,-,-,-,MC,-,-,-,-,-,-,-,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,NR
Greg Chalmers,-,-,-,MC,-,-,MC,-,-,-,-,MC,-,-,10,-,MC,-,MC,-,-,-,-,-,-,TBC,Bet 365,Further details,MC
Scott Brown,MC^,-,-,MC,-,-,MC,-,-,-,-,MC,-,20,4,MC,18,-,MC,32,14,MC,-,MC,-,TBC,Bet 365,Further details,NR
