Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Denny McCarthy,53,46,-,-,5^^,-,-,-,31,50,-,4,-,-,-,-,-,-,-,-,33,59,MC,MC,7200,110/1,Bet 365,Further details,MC
Brendon Todd,-,MC,-,-,-,-,-,-,20,MC,-,2,-,MC,-,-,-,56,-,-,-,-,22,26,7100,140/1,Bet 365,Further details,MC
Adam Hadwin,7,-,-,-,-,-,-,-,-,18,44,-,-,-,-,-,MC,17,12,43,44,40,50,26,7100,110/1,Bet 365,Further details,10
Joel Dahmen,9,5,-,-,-,-,-,-,-,-,-,41,-,-,-,-,-,-,-,-,MC,WD,MC,62,7100,150/1,Bet 365,Further details,50
Trey Mullinax,4,WD,-,-,5^^,-,-,28,-,-,31,WD,-,-,-,-,-,-,-,-,15,MC,-,-,7100,200/1,Bet 365,Further details,61
Davis Thompson,43,MC,-,-,-,-,-,-,54,2,69,-,-,-,-,-,-,-,-,-,-,-,-,-,7100,175/1,Bet 365,Further details,MC
Christiaan Bezuidenhout,5,-,3,-,26,-,-,-,MC,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7100,125/1,Bet 365,Further details,MC
Francesco Molinari,47,MC,-,-,-,-,-,-,-,5,MC,-,-,-,-,-,22,-,-,40,-,-,-,43,7000,140/1,Bet 365,Further details,MC
Webb Simpson,-,MC,-,-,-,-,-,-,MC,-,-,MC,-,8,-,10,-,14,2,MC,20,1,42,-,7000,225/1,Bet 365,Further details,57
Taylor Moore,MC,MC,-,-,-,-,-,-,-,MC,11,15,-,-,-,-,-,-,-,-,-,-,-,-,7000,160/1,Bet 365,Further details,14
Kurt Kitayama,-,42,-,-,-,-,-,-,73,-,MC,29,-,-,-,-,-,-,-,-,-,-,-,-,7000,125/1,Bet 365,Further details,23
Harris English,39,29,-,-,3^^,-,-,-,73,MC,MC,-,-,15,57,9,40,3,57,MC,MC,16,MC,-,7000,160/1,Bet 365,Further details,MC
