Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
MJ Daffue,-,-,21,64,-,19,29,15,-,-,26^^,MC,-,-,-,-,-,-,-,-,-,-,-,-,6700,275/1,Bet 365,Further details,47
Lucas Glover,39,MC,-,MC,51,36,-,45,-,MC,-,MC,-,1,MC,27,MC,28,8,52,MC,31,MC,MC,6700,400/1,Bet 365,Further details,MC
Austin Smotherman,MC,MC,-,-,35,36,-,MC,-,67,MC^^,5,-,-,-,-,-,-,-,-,-,-,-,25,6600,350/1,Bet 365,Further details,MC
Benjamin Taylor,-,58,5,53,-,MC,-,MC,-,MC,MC^^,8,-,-,-,-,-,-,-,-,-,-,-,-,6600,400/1,Bet 365,Further details,MC
Cameron Champ,MC,MC,-,-,-,MC,-,MC,MC,MC,-,8,-,-,-,-,-,-,-,-,-,MC,-,-,6600,350/1,Bet 365,Further details,MC
Michael Kim,-,-,MC,5,-,45,26,46,-,-,19^^,30,-,-,-,-,-,-,69,-,-,-,MC,-,6600,300/1,Bet 365,Further details,7
James Hahn,32,MC,-,-,MC,71,-,MC,-,41,-,49,-,-,-,50,MC,73,1,59,MC,-,MC,9,6600,750/1,Bet 365,Further details,MC
Matthew NeSmith,MC,MC,-,39,MC,-,-,MC,-,59,4^^,-,-,-,-,-,-,-,-,-,-,-,58,31,6600,400/1,Bet 365,Further details,35
Davis Thompson,MC,MC,-,53,68,-,31,-,-,63,MC^^,-,-,-,-,-,-,-,-,-,-,-,-,-,6600,275/1,Bet 365,Further details,MC
Kevin Streelman,MC,50,-,MC,MC,27,-,46,-,51,-,MC,-,-,-,6,14,9,MC,MC,MC,45,26,MC,6600,300/1,Bet 365,Further details,18
Alejandro Tosti,MC^,-,-,-,-,-,25^,7^,-,10^,22^,10,-,-,-,-,-,-,-,-,-,-,-,-,6500,750/1,Bet 365,Further details,47
Jimmy Walker,MC,-,49,-,-,MC,-,22,-,25,MC^^,15,-,68,48,22,MC,-,-,-,-,45,72,-,6500,500/1,Bet 365,Further details,14
Adam Long,42,50,MC,-,MC,19,MC,MC,-,59,-,18,-,-,-,-,-,-,-,-,-,45,MC,MC,6500,400/1,Bet 365,Further details,MC
Chez Reavie,MC,MC,-,MC,MC,MC,-,6,-,11,-,49,-,45,MC,MC,-,-,-,42,-,18,MC,15,6500,300/1,Bet 365,Further details,MC
Austin Eckroat,-,-,MC,MC,-,MC,5,MC,-,-,MC^^,49,-,-,-,-,-,-,-,-,-,-,-,-,6500,400/1,Bet 365,Further details,64
Michael Thompson,MC,45,-,-,MC,19,-,39,-,29,MC^^,-,-,64,MC,-,11,28,MC,MC,42,MC,MC,64,6500,300/1,Bet 365,Further details,MC
Pierceson Coody,MC^,-,63,14,-,MC,MC^,53,-,15^,8^,-,-,-,-,-,-,-,-,-,-,-,-,-,6500,350/1,Bet 365,Further details,MC
Tyler Duncan,MC,33,3,-,54,MC,3,58,-,MC,34^^,-,-,-,-,-,-,-,-,-,84,MC,MC,MC,6500,400/1,Bet 365,Further details,MC
Doug Ghim,MC,62,-,-,MC,27,16,MC,-,54,MC^^,MC,-,-,-,-,-,-,-,-,-,-,-,MC,6500,350/1,Bet 365,Further details,27
Greyson Sigg,57,MC,MC,61,MC,57,-,MC,-,MC,MC^^,18,-,-,-,-,-,-,-,-,-,-,-,MC,6400,400/1,Bet 365,Further details,MC
Ryan Gerard,3^,-,4,11,-,71,MC,56,-,-,MC^^,33,-,-,-,-,-,-,-,-,-,-,-,-,6400,500/1,Bet 365,Further details,MC
