Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Michael Block,-,-,-,-,-,-,-,-,-,15,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,750/1,Bet 365,Further details,MC
Peter Kuest,-,-,MC,-,-,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,TBC,Bet 365,Further details,57
Taylor Durham,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,TBC,Bet 365,Further details,MC
Brian Stuard,MC,MC,MC,-,-,MC^^,MC,-,MC,-,-,-,-,69,-,-,75,-,22,MC,MC,37,-,MC,6100,1000/1,Bet 365,Further details,MC
David Hearn,-,MC,-,-,-,-,-,-,-,-,-,-,-,MC,34,71,44,53,3,MC,MC,61,MC,MC,6100,2500/1,Bet 365,Further details,MC
Johnny Travale,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,6100,1000/1,Bet 365,Further details,MC
Camilo Villegas,-,64,25^,-,MC^,MC^,MC,-,-,MC^,23^,46^,-,65,MC,61,52,WD,22,49,54,-,-,MC,6100,750/1,Bet 365,Further details,MC
Andrew Landry,45,-,MC,-,MC,MC^^,-,MC,MC,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,6000,1000/1,Bet 365,Further details,57
Daniel Kim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,TBC,Bet 365,Further details,MC
Derek Ernst,-,MC,-,-,-,MC^^,60,-,MC,-,-,-,-,-,-,-,MC,70,MC,76,-,-,-,-,6000,750/1,Bet 365,Further details,MC
Drew Nesbitt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,MC,-,6000,TBC,Bet 365,Further details,MC
Sebastian Szirmak,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,TBC,Bet 365,Further details,MC
Ryan Hall,-,-,-,-,-,-,-,-,-,-,16^,MC^,-,-,-,-,-,-,-,-,-,-,-,-,6000,TBC,Bet 365,Further details,MC
Max Mcgreevy,MC,50,MC,-,63,MC^^,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,6000,1000/1,Bet 365,Further details,MC
Mike Weir,31^,26^,-,MC,-,-,28^,-,15^,-,37^,-,-,MC,WD,MC,49,66,-,MC,MC,MC,MC,MC,6000,1000/1,Bet 365,Further details,52
Ricky Barnes,-,7,MC,-,-,MC^^,MC,-,MC,-,-,-,-,37,-,48,MC,43,11,5,42,17,MC,MC,6000,1000/1,Bet 365,Further details,MC
Wesley Bryan,MC,MC,-,-,MC,33^^,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,DQ,-,MC,6000,1500/1,Bet 365,Further details,MC
Ben Crane,-,58,-,-,-,-,MC,-,MC,-,-,-,-,-,29,-,-,34,48,9,54,MC,44,63,-,TBC,Bet 365,Further details,MC
Arjun Atwal,-,MC,-,-,-,11^,MC,-,-,-,49^,-,-,75,MC,28,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,NR
D.J. Trahan,-,MC,-,-,-,MC^^,MC,-,MC,-,-,-,-,-,-,MC,MC,-,-,-,-,-,63,-,-,TBC,Bet 365,Further details,NR
Derek Lamely,-,MC^,-,-,-,MC^^,66,-,MC,-,-,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,MC
Kyle Stanley,MC,-,71,-,-,MC^^,MC,-,MC,-,-,-,-,-,-,61,12,12,-,MC,-,-,-,-,-,TBC,Bet 365,Further details,MC
D.A. Points,-,38,-,-,-,MC^^,MC,-,MC,-,-,-,-,MC,-,MC,-,53,56,MC,MC,MC,-,MC,-,TBC,Bet 365,Further details,NR
George McNeill,-,62,-,-,-,-,MC,-,MC,-,-,-,-,-,MC,WD,DQ,-,-,WD,-,-,60,MC,-,TBC,Bet 365,Further details,MC
SangMoon Bae,-,72,-,-,56^,MC^^,14,-,43,-,-,-,-,-,-,-,31,MC,MC,-,-,-,27,MC,-,TBC,Bet 365,Further details,MC
Scott Brown,-,64,-,-,30^,MC^^,MC,-,MC,MC^,MC^,15^,-,-,-,MC,61,20,-,MC,MC,MC,31,MC,-,TBC,Bet 365,Further details,65
Tommy Gainey,-,MC,MC^,-,-,12^,MC,-,34,37^,47^,37^,-,-,17,48,52,MC,-,-,-,-,-,MC,-,TBC,Bet 365,Further details,MC
