Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025 Odds,Bookmaker,New Account Offer
Keegan Bradley,15,65,-,34,-,-,5,20,-,-,47,MC,-,-,-,-,44,-,-,-,-,-,48,55,66/1,Bet 365,Further details
Jake Knapp,32,33,44,17,25,6,-,12,MC,27,MC,-,-,-,-,-,-,-,-,-,-,-,-,62,TBC,Bet 365,Further details
Cameron Young,-,72,12,MC,-,MC,MC,61,MC,-,18,MC,-,-,-,-,-,-,-,-,-,3,51,62,200/1,Bet 365,Further details
Shane Lowry,MC,2,-,39,-,11,7,20,8,-,-,42,-,-,-,-,44,-,3,MC,9,3,67,64,22/1,Bet 365,Further details
Gary Woodland,-,22,21,MC,-,MC,-,MC,47,2,40,-,-,-,-,-,-,-,-,62,-,-,31,64,150/1,Bet 365,Further details
An Byeong-Hun,-,22,73,MC,-,MC,8,52,16,-,-,21,-,-,-,-,-,-,MC,MC,-,-,-,67,66/1,Bet 365,Further details
Nick Dunlap,-,58,57,17,-,-,MC,MC,-,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,69,300/1,Bet 365,Further details
Daniel Berger,MC,-,2,12,-,25,15,20,-,-,30,21,-,-,72,-,-,-,33,3,13,21,-,-,40/1,Bet 365,Further details
Viktor Hovland,-,22,-,MC,-,-,MC,MC,1,-,-,21,-,-,-,-,-,-,-,21,-,-,59,-,30/1,Bet 365,Further details
Aaron Rai,MC,40,-,37,4,-,11,14,-,MC,-,27,-,-,-,-,-,-,-,-,-,-,48,-,66/1,Bet 365,Further details
Michael Kim,MC,-,2,13,13,6,4,MC,28,32,-,27,-,-,-,76,MC,77,MC,MC,WD,-,-,-,66/1,Bet 365,Further details
Brian Campbell,MC,-,-,-,1,48,MC,MC,MC,-,-,32,-,-,-,-,-,-,-,-,-,-,-,-,300/1,Bet 365,Further details
Maverick McNealy,52,40,9,2,-,-,MC,MC,-,32,3,32,-,-,-,-,-,-,-,58,4,26,MC,-,50/1,Bet 365,Further details
Max Greyserman,48,WD,49,24,-,11,22,MC,-,MC,-,32,-,-,-,-,-,-,-,-,-,-,-,-,150/1,Bet 365,Further details
Davis Thompson,-,58,36,13,-,MC,MC,10,-,27,-,46,-,-,-,-,-,-,-,-,-,-,63,-,66/1,Bet 365,Further details
MinWoo Lee,-,17,12,48,-,11,MC,20,-,1,-,49,-,-,-,-,-,-,-,-,-,-,MC,-,50/1,Bet 365,Further details
J.J Spaun,15,33,WD,34,-,2,31,2,-,MC,-,50,-,-,-,-,6,MC,28,MC,-,MC,MC,-,60/1,Bet 365,Further details
Nicolas Echavarria,-,77,MC,34,-,MC,-,MC,16,32,-,51,-,-,-,-,-,-,-,-,-,-,MC,-,TBC,Bet 365,Further details
Andrew Novak,3,13,MC,13,-,MC,34,MC,42,MC,3,-,-,-,-,-,-,-,-,-,-,-,-,-,125/1,Bet 365,Further details
Benjamin Griffin,MC,69,36,44,4,4,45,MC,MC,18,40,-,-,-,-,-,-,-,-,-,-,-,31,-,TBC,Bet 365,Further details
Bud Cauley,-,-,21,-,-,56,MC,6,4,-,5,-,-,-,-,-,9,23,39,MC,-,-,-,-,66/1,Bet 365,Further details
Jacob Bridgeman,MC,-,MC,-,34,2,15,50,3,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,125/1,Bet 365,Further details
Karl Vilips,-,-,-,-,72,39,1,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,400/1,Bet 365,Further details
Ryan Gerard,15,-,-,-,17,25,MC,42,57,9,2,-,-,-,-,-,-,-,-,-,-,-,-,-,150/1,Bet 365,Further details
Ryo Hisatsune,MC,-,MC,-,10,MC,-,MC,4,47,5,-,-,-,-,-,-,-,-,-,-,-,-,-,200/1,Bet 365,Further details
Sami Valimaki,15,-,MC,-,34,48,-,69,36,4,12,-,-,-,-,-,-,-,-,-,-,-,-,-,300/1,Bet 365,Further details
Samuel Stevens,2,17,44,31,MC,-,40,MC,64,18,MC,-,-,-,-,-,-,-,-,-,-,-,MC,-,150/1,Bet 365,Further details
Adam Scott,-,22,-,37,-,-,36,MC,57,-,-,MC,-,-,-,-,-,-,-,-,-,-,31,-,150/1,Bet 365,Further details
Billy Horschel,-,9,MC,MC,-,25,MC,42,4,-,-,MC,-,68,51,54,MC,5,45,MC,25,21,MC,-,100/1,Bet 365,Further details
Jhonattan Vegas,42,40,-,-,-,61,-,60,MC,MC,-,MC,-,-,MC,-,-,-,-,17,-,-,-,-,TBC,Bet 365,Further details
Joe Highsmith,MC,-,MC,-,17,1,MC,20,22,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,175/1,Bet 365,Further details
Robert MacIntyre,-,40,6,MC,-,-,11,9,9,-,-,MC,-,-,-,-,-,-,-,-,59,-,-,-,45/1,Bet 365,Further details
Taylor Pendrith,7,9,-,50,-,MC,MC,38,-,5,-,MC,-,-,-,-,-,-,-,-,-,-,MC,-,80/1,Bet 365,Further details
