Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Henrik Norlander,MC,57,MC,-,-,-,-,-,MC,-,-,2,-,-,-,-,MC,-,-,-,MC,58,65,MC,6600,140/1,Bet 365,Further details,35
Russell Knox,47,53,MC,-,-,-,-,-,30,-,-,28,-,13,30,3,38,-,72,-,48,MC,MC,MC,6600,250/1,Bet 365,Further details,MC
Jimmy Walker,-,MC,MC,-,-,-,-,-,30,-,-,43,-,10,12,4,50,MC,MC,-,-,MC,24,MC,6600,200/1,Bet 365,Further details,MC
Charley Hoffman,31,MC,12,-,-,-,-,-,MC,-,-,MC,-,MC,4,MC,MC,MC,18,-,74,MC,44,MC,6600,175/1,Bet 365,Further details,MC
Ryan Moore,MC,MC,MC,-,-,-,-,-,45,-,-,MC,-,1,9,MC,43,15,51,36,13,-,MC,28,6500,175/1,Bet 365,Further details,13
Adam Long,MC,37,MC,-,-,-,-,-,MC,-,-,35,-,-,-,-,-,-,-,-,-,-,MC,-,6500,200/1,Bet 365,Further details,35
Doc Redman,MC,30,MC,-,-,-,-,-,MC,-,-,56,-,-,-,-,-,-,-,-,42,MC,MC,-,6500,250/1,Bet 365,Further details,66
Brandt Snedeker,MC,53,45,-,-,-,-,-,-,-,-,65,-,-,-,10,MC,-,-,-,48,43,MC,-,6500,250/1,Bet 365,Further details,52
Kramer Hickok,MC,30,MC,-,-,-,-,-,MC,-,-,35,-,-,-,-,-,-,-,23,MC,-,-,MC,6500,200/1,Bet 365,Further details,MC
Benjamin Taylor,-,71,MC,-,-,-,-,-,30,-,-,73,-,-,-,-,-,-,-,-,29,-,-,MC,6500,275/1,Bet 365,Further details,28
Zac Blair,-,13,MC,-,-,-,-,-,52,-,-,MC,-,-,-,75,MC,MC,MC,-,MC,MC,-,MC,6500,225/1,Bet 365,Further details,42
Austin Smotherman,MC,MC,27,-,-,-,-,-,MC,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,60,6400,200/1,Bet 365,Further details,35
Kelly Kraft,MC,WD,33,-,-,-,-,-,25,-,-,16,-,-,-,-,MC,WD,47,66,-,-,WD,-,6400,275/1,Bet 365,Further details,23
Brice Garnett,MC,53,MC,-,-,-,-,-,52,-,-,MC,-,-,53,63,-,-,MC,MC,-,51,MC,-,6400,250/1,Bet 365,Further details,NR
Robert Streb,39,MC,14,-,-,-,-,-,MC,-,-,35,-,-,-,10,-,36,MC,4,-,-,27,MC,6400,350/1,Bet 365,Further details,MC
Scott Harrington,MC,MC,MC,-,-,-,-,-,30,-,-,35,-,-,-,-,-,-,-,-,-,MC,-,MC,6400,250/1,Bet 365,Further details,MC
James Hahn,6,62,MC,-,-,-,-,-,45,-,-,-,-,-,MC,MC,-,15,77,28,68,5,MC,MC,6400,200/1,Bet 365,Further details,68
Kevin Tway,MC,MC,MC,-,-,-,-,-,MC,-,-,MC,-,-,-,54,-,MC,32,23,29,MC,MC,MC,6400,200/1,Bet 365,Further details,MC
Tano Goya,55,MC,MC,-,-,-,-,-,MC,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,56,6300,250/1,Bet 365,Further details,61
Harrison Endycott,MC,MC,MC,-,-,-,-,-,MC,-,-,28,-,-,-,-,-,-,-,-,-,-,-,69,6300,250/1,Bet 365,Further details,56
Matthias Schwab,MC,64,MC,-,-,-,-,-,11,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,75,6300,400/1,Bet 365,Further details,63
Trevor Cone,66,64,MC,-,-,-,-,-,MC,-,-,73,-,-,-,-,-,-,-,-,-,-,-,-,6300,300/1,Bet 365,Further details,MC
Richy Werenski,MC,MC,71,-,-,-,-,-,66,-,-,65,-,-,-,-,-,MC,51,23,-,MC,47,MC,6300,400/1,Bet 365,Further details,MC
Austin Cook,60,MC,MC,-,-,-,-,-,56,-,-,68,-,-,-,-,-,-,20,MC,MC,2,-,MC,6300,400/1,Bet 365,Further details,MC
Augusto Nunez,50,72,MC,-,-,-,-,-,MC,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,MC,6300,300/1,Bet 365,Further details,MC
Kevin Roy,20,MC,MC,-,MC^,-,-,-,MC,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,MC,6300,350/1,Bet 365,Further details,MC
Scott Piercy,MC,WD,45,-,-,-,-,-,MC,-,-,MC,-,6,MC,7,25,24,32,10,MC,19,MC,MC,6300,250/1,Bet 365,Further details,42
Tyson Alexander,MC,20,MC,-,-,-,-,-,30,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,64,6200,400/1,Bet 365,Further details,MC
Brent Grant,44,MC,MC,-,-,-,-,-,MC,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,MC,6200,400/1,Bet 365,Further details,35
Ryan Armour,-,MC,MC,-,-,-,-,-,MC,-,-,MC,-,-,-,MC,-,-,20,-,MC,MC,-,MC,6200,350/1,Bet 365,Further details,MC
Andrew Landry,-,MC,MC,-,-,-,-,-,45,-,-,56,-,-,-,-,-,-,MC,-,MC,27,MC,73,6100,600/1,Bet 365,Further details,MC
Trevor Werbylo,55,WD,MC,-,-,-,-,-,MC,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,77,6100,1000/1,Bet 365,Further details,56
Kyle Westmoreland,47,MC,45,MC^,MC^,MC^,-,-,MC,-,-,56,-,-,-,-,-,-,-,-,-,-,MC,-,6100,500/1,Bet 365,Further details,MC
Lin Yuxin,55^,MC^,-,29^,-,MC^,-,-,26^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,500/1,Bet 365,Further details,52
Nicolas Echavarria,MC,MC,MC,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,350/1,Bet 365,Further details,MC
Lexi Thompson,MC^,-,-,MC^,-,MC^,MC^,19^,-,-,8^,5^,-,-,-,-,-,-,-,-,-,-,-,-,6100,2500/1,Bet 365,Further details,MC
Dylan Frittelli,MC,MC,MC,-,-,-,-,-,MC,-,-,56,-,-,-,-,-,-,-,-,MC,34,MC,MC,6100,500/1,Bet 365,Further details,MC
Jason Dufner,-,20,MC,-,-,-,-,-,19,-,-,MC,-,-,-,-,MC,-,-,MC,-,MC,-,MC,6100,300/1,Bet 365,Further details,66
Paul Haley II,MC,43,MC,-,-,-,-,-,MC,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,MC,6100,750/1,Bet 365,Further details,MC
Ryan Brehm,MC,MC,22,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,27,-,-,MC,-,-,MC,6100,500/1,Bet 365,Further details,MC
Jim Herman,-,72,71,-,-,-,-,-,MC,-,-,77,-,-,57,18,MC,MC,-,-,MC,-,MC,44,6000,1000/1,Bet 365,Further details,WD
Tommy Gainey,MC,MC^,MC,-,-,MC^,-,-,MC,-,-,51,-,MC,MC,72,-,MC,-,-,-,-,-,-,6000,1000/1,Bet 365,Further details,MC
Craig Hocknull,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,6000,4000/1,Bet 365,Further details,MC
Brian Stuard,MC,MC,MC,-,-,-,-,-,MC,-,-,MC,-,-,15,MC,-,MC,57,MC,4,MC,MC,-,6000,1000/1,Bet 365,Further details,MC
Michael Gligic,50,MC,67,-,MC^,-,-,-,MC,-,-,62,-,-,-,-,-,-,-,-,-,27,-,MC,6000,750/1,Bet 365,Further details,MC
Brandon Matthews,MC,MC,MC,-,-,-,-,-,MC,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,MC,6000,750/1,Bet 365,Further details,NR
Max Mcgreevy,MC,30,51,MC^,-,-,-,-,MC,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,MC,6000,1000/1,Bet 365,Further details,MC
Nick Watney,MC,MC,MC,-,-,-,-,-,MC,-,-,MC,-,10,48,16,11,MC,MC,28,MC,MC,56,MC,6000,2000/1,Bet 365,Further details,MC
Cameron Percy,-,MC,MC,-,-,-,-,-,MC,-,-,43,-,-,-,72,-,-,-,-,MC,-,-,-,-,TBC,Bet 365,Further details,NR
Harry Higgs,MC,MC,MC,-,-,-,-,-,MC,-,-,68,-,-,-,-,-,-,-,-,MC,MC,27,-,-,TBC,Bet 365,Further details,MC
Andrew Novak,MC,MC,33,-,-,-,-,-,MC,-,-,MC,-,-,-,-,-,-,-,-,MC,-,-,-,-,TBC,Bet 365,Further details,MC
Dylan Wu,-,5,51,-,-,-,-,-,14,-,-,MC,-,-,-,-,-,-,-,-,MC,-,-,-,-,TBC,Bet 365,Further details,MC
Jonathan Byrd,-,MC,MC,-,-,-,-,-,MC,-,-,MC,-,-,57,33,MC,MC,MC,-,-,-,-,-,-,TBC,Bet 365,Further details,NR
Martin Trainer,31,MC,-,-,-,-,-,-,30,-,-,MC,-,-,-,-,-,-,-,MC,MC,MC,MC,-,-,TBC,Bet 365,Further details,NR
Satoshi Kodaira,MC,MC,-,-,-,MC^,36^,-,30,-,-,MC,-,-,-,-,-,-,-,41,MC,MC,-,-,-,TBC,Bet 365,Further details,NR
Nicholas Lindheim,-,-,27,10^,23^,-,-,-,-,37^,-,43,-,-,-,-,-,WD,WD,-,-,-,-,MC,-,TBC,Bet 365,Further details,28
