Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer,2024 Result
Doug Ghim,-,-,15,MC,MC,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,MC,5,59,MC,7000,150/1,Bet 365,Further details,MC
Maverick McNealy,-,-,MC,-,58,-,-,-,-,-,-,57,-,-,-,-,-,-,MC,-,37,71,-,-,6900,200/1,Bet 365,Further details,MC
Alexander Bjork,MC,MC,-,10,36,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6900,175/1,Bet 365,Further details,11
Cameron Champ,59,-,45,-,58,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,21,MC,MC,-,6900,150/1,Bet 365,Further details,MC
Vincent Whaley,-,-,59,8,13,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,29,MC,40,-,6900,175/1,Bet 365,Further details,34
Carl Yuan,-,-,MC,4,68,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,MC,6900,175/1,Bet 365,Further details,MC
William Gordon,21,-,15,-,36,-,-,-,-,-,-,42,-,-,-,-,-,-,-,-,-,64,-,MC,6900,175/1,Bet 365,Further details,67
Ryan Moore,-,-,38,5,8,-,-,-,-,-,-,MC,-,-,-,WD,-,-,-,-,6,MC,MC,MC,6900,150/1,Bet 365,Further details,MC
Harry Hall,21,-,MC,MC,-,-,-,-,-,-,-,42,-,-,-,-,-,-,-,-,-,47,-,41,6800,200/1,Bet 365,Further details,MC
Joseph Bramlett,-,-,-,-,-,-,-,-,-,-,-,52,-,-,-,-,-,-,-,-,MC,MC,33,54,6800,225/1,Bet 365,Further details,MC
Robert MacIntyre,26,6,-,58,18,33,MC,-,-,-,-,52,-,-,-,-,-,-,-,-,-,-,-,-,6800,175/1,Bet 365,Further details,MC
Alejandro Tosti,-,-,-,-,MC^,-,-,-,-,-,-,70,-,-,-,-,-,-,-,-,-,-,-,-,6800,175/1,Bet 365,Further details,MC
Jake Knapp,-,-,-,-,-,-,-,-,-,-,-,70,-,-,-,-,-,-,-,-,-,-,-,-,6800,175/1,Bet 365,Further details,MC
Christopher Gotterup,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6800,175/1,Bet 365,Further details,MC
Taiga Semikawa,73,-,3^,MC^,2^,10^,1^,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,MC,6800,200/1,Bet 365,Further details,MC
Robby Shelton IV,4,-,59,-,MC,-,-,-,-,-,-,57,-,-,-,-,-,-,-,-,MC,MC,-,6,6700,225/1,Bet 365,Further details,MC
Tyler Duncan,-,-,MC^,-,3,-,-,-,-,-,-,65,-,-,-,-,-,-,MC,51,-,56,MC,41,6700,200/1,Bet 365,Further details,34
Benjamin Silverman,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,77,MC,-,-,-,-,6700,350/1,Bet 365,Further details,MC
Scott Stallings,-,-,-,-,MC,-,-,-,-,-,-,42,-,4,58,64,WD,8,MC,MC,55,MC,MC,-,6700,250/1,Bet 365,Further details,MC
Seamus Power,-,-,-,-,-,-,-,-,-,-,50,74,-,-,-,-,-,21,11,MC,-,-,14,-,6700,200/1,Bet 365,Further details,NR
Adrien Dumont de Chassart,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6700,300/1,Bet 365,Further details,MC
Charley Hoffman,-,-,MC,45,13,-,-,-,-,-,-,42,-,10,9,2,MC,MC,-,MC,61,WD,-,MC,6700,250/1,Bet 365,Further details,MC
Matthew NeSmith,15,-,-,-,28,-,-,-,-,-,-,80,-,-,-,-,-,-,-,-,17,MC,MC,MC,6700,275/1,Bet 365,Further details,56
Davis Riley,31,-,MC,45,-,-,-,-,-,-,52,MC,-,-,-,-,-,-,-,-,-,-,59,65,6600,250/1,Bet 365,Further details,MC
Joel Dahmen,59,-,-,-,-,-,-,-,-,-,-,72,-,-,-,-,-,MC,MC,-,-,MC,-,-,6600,300/1,Bet 365,Further details,MC
Lanto Griffin,-,-,54,53,MC,-,-,-,-,-,-,72,-,-,-,-,-,-,MC,-,-,MC,3,-,6600,275/1,Bet 365,Further details,39
Chad Ramey,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,MC,-,6600,225/1,Bet 365,Further details,MC
Jacob Bridgeman,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6600,300/1,Bet 365,Further details,39
Adam Long,-,-,23,13,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,MC,69,MC,MC,6600,200/1,Bet 365,Further details,MC
Jhonattan Vegas,-,-,-,22^,-,MC,17,-,-,-,-,MC,-,MC,84,MC,MC,34,11,69,55,-,MC,MC,6600,200/1,Bet 365,Further details,MC
Nate Lashley,41,-,10,-,MC,-,-,-,-,-,-,MC,-,-,-,-,-,-,29,12,WD,MC,MC,MC,6600,275/1,Bet 365,Further details,MC
Nick Dunlap,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6500,300/1,Bet 365,Further details,1
Patrick Fishburn,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6500,300/1,Bet 365,Further details,MC
Camilo Villegas,-,-,2,1,58,-,-,-,-,-,50,MC,-,47,33,-,MC,MC,MC,-,-,MC,33,-,6500,300/1,Bet 365,Further details,62
Joe Highsmith,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6500,350/1,Bet 365,Further details,34
Sami Valimaki,MC,1,-,26,38,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6500,300/1,Bet 365,Further details,MC
Troy Merritt,-,-,65,72,MC,-,-,-,-,-,-,24,-,-,MC,48,MC,MC,MC,-,68,MC,MC,MC,6500,350/1,Bet 365,Further details,MC
Zac Blair,38,-,MC,-,MC,-,-,-,-,-,-,30,-,-,-,MC,MC,34,MC,-,55,-,-,MC,6500,350/1,Bet 365,Further details,62
Nicolas Echavarria,-,-,31,76,44,-,-,-,-,-,25,66,-,-,-,-,-,-,-,-,-,-,-,MC,6500,400/1,Bet 365,Further details,65
Callum Tarren,31,-,MC,-,MC,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,MC,MC,6500,300/1,Bet 365,Further details,MC
Justin Lower,41,-,23,20,MC,-,-,-,-,-,-,74,-,-,-,-,-,-,-,-,-,-,MC,41,6400,350/1,Bet 365,Further details,39
Norman Xiong,-,-,-,-,MC^,-,-,-,-,-,-,79,-,-,-,-,-,-,-,-,-,-,-,-,6400,400/1,Bet 365,Further details,MC
Mac Meissner,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6400,500/1,Bet 365,Further details,MC
Hayden Buckley,72,-,59,-,MC,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,MC,-,6400,300/1,Bet 365,Further details,MC
Kevin Streelman,-,-,-,-,MC,-,-,-,-,-,-,MC,-,10,-,41,11,MC,29,34,MC,MC,MC,-,6400,350/1,Bet 365,Further details,MC
Max Greyserman,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6400,300/1,Bet 365,Further details,56
Ben Martin,-,-,MC,27,MC,-,-,-,-,-,-,MC,-,-,MC,-,34,MC,57,-,29,56,-,MC,6400,350/1,Bet 365,Further details,56
Chez Reavie,-,-,72,-,-,-,-,-,-,-,-,MC,-,-,-,MC,17,12,36,28,MC,MC,MC,MC,6400,400/1,Bet 365,Further details,52
David Lipsky,51,-,MC,13,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,14,MC,6400,350/1,Bet 365,Further details,MC
Zach Johnson,-,-,-,-,MC,-,-,-,-,-,-,MC,-,23,3,MC,MC,MC,20,28,MC,62,14,41,6300,500/1,Bet 365,Further details,25
Aaron Baddeley,21,-,-,-,64,-,21,-,-,-,-,-,-,27,MC,-,42,75,-,18,MC,MC,-,50,6300,350/1,Bet 365,Further details,MC
