Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2015,2016,2017,2018,2019,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Ryan Moore,-,-,MC,MC,-,69,60,-,-,-,44,MC,-,-,-,-,-,-,-,54,14,7400,Further details,66/1,Bet 365,Further details
Cameron Champ,-,MC^^,MC,-,-,-,MC,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,7400,Further details,60/1,Bet 365,Further details
Tyler Duncan,MC,-,-,-,-,56,24,-,-,-,MC,MC,-,-,-,-,49,MC,MC,13,MC,7400,Further details,90/1,Bet 365,Further details
Filippo Celli,-,42,50,-,-,48,WD,-,-,10,10,9,-,-,-,-,-,-,-,-,-,7300,Further details,80/1,Bet 365,Further details
Gavin Green,-,MC,35,-,-,MC,34,39,-,23,55,44,-,-,-,-,-,-,-,MC,-,7300,Further details,90/1,Bet 365,Further details
Zac Blair,-,4^^,MC,-,53,MC,24,-,26,-,MC,46,-,32,73,27,15,-,-,-,-,7300,Further details,110/1,Bet 365,Further details
Henrik Norlander,36,19^^,64,20,-,-,MC,MC,-,23,MC,61,-,-,47,-,-,-,5,MC,28,7300,Further details,110/1,Bet 365,Further details
Kevin Tway,3,11^^,9,43,-,24,68,-,-,-,MC,MC,-,-,-,-,-,-,26,50,44,7300,Further details,90/1,Bet 365,Further details
Trace Crowe,11,MC^^,MC,32,-,22^,27,42^,-,-,MC,44,-,-,-,MC,-,-,-,-,-,7200,Further details,90/1,Bet 365,Further details
Justin Suh,MC,MC^^,MC,50,-,MC,MC,-,-,-,MC,73,-,-,-,-,-,-,-,-,-,7200,Further details,100/1,Bet 365,Further details
Kelly Kraft,-,11^^,13,MC,-,-,42,-,-,-,MC,MC,-,-,54,-,-,2,-,MC,40,7200,Further details,90/1,Bet 365,Further details
Chad Ramey,50,2^^,MC,MC,-,MC,24,-,-,-,MC,MC,-,-,-,-,-,-,-,-,44,7200,Further details,110/1,Bet 365,Further details
Andrea Pavan,-,MC,35,-,-,24,51,-,-,4,5,MC,-,-,-,-,-,-,-,-,-,7200,Further details,80/1,Bet 365,Further details
Garrick Higgo,MC,4^^,MC,MC,-,MC,42,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,7200,Further details,80/1,Bet 365,Further details
Kevin Dougherty,MC,MC^^,30,MC,-,-,MC,-,-,-,MC,46,-,-,-,-,-,-,-,-,-,7100,Further details,90/1,Bet 365,Further details
Adrien Saddier,-,MC,50,-,-,13,MC,12,-,-,42,MC,-,-,-,-,-,-,-,-,3,7100,Further details,100/1,Bet 365,Further details
Joe Highsmith,MC,MC^^,MC,MC,-,-,MC,-,-,MC^,57,MC,-,-,-,-,-,-,-,-,-,7100,Further details,90/1,Bet 365,Further details
Lanto Griffin,36,-,MC,66,-,MC^,51,-,-,-,MC,MC,-,-,-,-,49,-,-,-,-,7100,Further details,90/1,Bet 365,Further details
Parker Coody,6,MC^^,MC,36,-,61,MC,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,7100,Further details,100/1,Bet 365,Further details
Paul Waring,-,MC,3,-,-,10,MC,33,-,68,-,MC,-,-,-,-,-,-,-,-,-,7100,Further details,90/1,Bet 365,Further details
Carl Yuan,MC,MC^^,MC,68,-,MC,WD,-,-,-,20,MC,-,-,-,-,-,-,-,-,MC,7100,Further details,70/1,Bet 365,Further details
David Micheluzzi,-,-,-,-,-,57,MC,-,-,MC,10,2,-,-,-,-,-,-,-,-,-,7000,Further details,100/1,Bet 365,Further details
Manuel Elvira,-,11,35,-,-,48,60,-,-,44,42,44,-,-,-,-,-,-,-,-,-,7000,Further details,100/1,Bet 365,Further details
Adrien Dumont de Chassart,23,MC^^,30,40,-,MC,51,-,-,-,MC,46,-,-,-,-,-,-,-,-,-,7000,Further details,100/1,Bet 365,Further details
Matthew NeSmith,43,MC^^,MC,54,-,24,MC,-,-,-,MC,75,-,-,-,-,-,-,-,-,-,7000,Further details,100/1,Bet 365,Further details
Ryan Palmer,55,19^^,MC,-,-,MC,35,-,-,-,34^,75,-,-,-,-,-,-,-,-,-,7000,Further details,110/1,Bet 365,Further details
Aaron Baddeley,-,-,41,MC,-,-,MC,-,-,-,72,-,-,10,1,-,MC,-,MC,41,-,7000,Further details,110/1,Bet 365,Further details
Jayden Trey Schaper,-,-,-,-,-,41,13,MC,-,44,MC,MC,-,-,-,-,-,-,-,-,16,7000,Further details,90/1,Bet 365,Further details
Andy Sullivan,-,MC,56,-,-,MC,34,4,-,-,MC,MC,-,-,-,-,-,-,-,-,MC,7000,Further details,110/1,Bet 365,Further details
Thomas Aiken,-,-,-,-,-,-,-,-,-,7,55,17,-,-,35,-,-,-,-,-,MC,6900,Further details,150/1,Bet 365,Further details
David Lipsky,MC,23^^,MC,MC,-,9,MC,-,-,-,WD,61,-,-,-,-,-,-,-,-,-,6900,Further details,125/1,Bet 365,Further details
Roger Sloan,MC,MC^^,MC,40,-,-,MC,-,-,-,31,61,-,48,-,-,-,-,31,MC,-,6900,Further details,125/1,Bet 365,Further details
Marcus Kinhult,-,MC,56,-,-,MC,-,MC,-,2,63,-,-,-,-,-,-,-,-,-,14,6900,Further details,100/1,Bet 365,Further details
Marty Dou Zecheng,50,MC^^,MC,46,10^,48^,38^,MC^,54^,31^,-,MC,-,-,-,-,WD,-,-,-,44,6900,Further details,125/1,Bet 365,Further details
Brandon Wu,59,28^^,MC,MC,-,MC,62,-,70,-,44,MC,-,-,-,-,-,-,-,-,-,6900,Further details,100/1,Bet 365,Further details
Seung-yul Noh,14^,-,59,32,36^,MC^,-,MC^,17^,31^,68^,MC,-,-,-,18,-,-,-,41,-,6900,Further details,125/1,Bet 365,Further details
Tom Vaillant,-,7,56,-,-,41,18,-,-,29,33,MC,-,-,-,-,-,-,-,-,-,6900,Further details,110/1,Bet 365,Further details
Andrew Johnston,-,-,-,-,-,-,MC,-,-,MC,33,32,-,-,-,-,-,-,-,-,-,6800,Further details,150/1,Bet 365,Further details
Fabrizio Zanotti,-,MC,23,-,-,65,MC,-,-,-,50,32,-,-,-,-,-,-,-,-,-,6800,Further details,150/1,Bet 365,Further details
Bill Haas,18,-,MC,MC,-,-,-,6^,MC^,-,-,52,-,-,-,-,-,11,MC,MC,-,6800,Further details,150/1,Bet 365,Further details
Casey Jarvis,-,18,63,-,-,MC,60,-,MC,15,67,57,-,-,-,-,-,-,-,-,-,6800,Further details,125/1,Bet 365,Further details
