Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2019,2020,2021,2022,2023 DraftKings,New Account Offer,2023 Odds,Bookmaker,New Account Offer,2023 Result
Chez Reavie,MC,-,40,40,58,25,-,4,29,35,-,55,-,-,-,11,49,7300,Further details,100/1,Bet 365,Further details,MC
Sam Stevens,47,34,72,29,41,-,43,MC,74,MC,-,39,-,-,-,-,-,7300,Further details,90/1,Bet 365,Further details,10
Brandon Wu,-,23,MC,-,MC,9,-,MC,MC,-,MC,-,-,-,-,-,-,7300,Further details,75/1,Bet 365,Further details,57
KyoungHoon Lee,8,50,29,57,MC,-,MC,MC,-,MC,72,MC,-,MC,66,6,-,7300,Further details,80/1,Bet 365,Further details,MC
Greyson Sigg,MC,MC,-,MC,-,38,-,19,56,13,-,MC,-,-,-,-,7,7200,Further details,125/1,Bet 365,Further details,MC
Ryan Palmer,35,8,-,MC,-,-,-,33,33,MC,-,MC,-,-,-,-,31,7200,Further details,90/1,Bet 365,Further details,MC
Nick Hardy,68,-,MC,48,MC,-,20,38,MC,21,-,63,-,-,-,-,58,7200,Further details,90/1,Bet 365,Further details,13
Taylor Montgomery,MC,50,65,-,41,-,MC,-,-,MC,MC,-,-,-,-,-,-,7200,Further details,75/1,Bet 365,Further details,MC
Sam Bennett,-,-,-,-,63,20,43,MC,29,-,-,MC,-,-,-,-,-,7200,Further details,100/1,Bet 365,Further details,MC
Nate Lashley,27,23,-,MC,-,17,-,MC,56,21,-,-,-,MC,-,MC,MC,7200,Further details,90/1,Bet 365,Further details,57
Matthew NeSmith,35,30,23,48,MC,-,-,MC,MC,35,-,28,-,-,MC,MC,72,7100,Further details,110/1,Bet 365,Further details,MC
MJ Daffue,47,MC,-,MC,MC,38,-,-,24,35,16,34,-,-,-,51,-,7100,Further details,110/1,Bet 365,Further details,43
Davis Thompson,MC,70,MC,-,56,-,MC,MC,24,31,-,-,-,-,-,-,-,7100,Further details,110/1,Bet 365,Further details,MC
Kevin Yu,-,-,-,-,-,-,-,49,MC,6,MC,-,-,-,-,-,-,7100,Further details,110/1,Bet 365,Further details,37
William Gordon,MC,70,-,52,MC,18,-,MC,74,MC,25,-,-,-,MC,MC,-,7100,Further details,100/1,Bet 365,Further details,MC
Benjamin Griffin,MC,MC,MC,52,MC,-,-,MC,33,-,25,MC,-,-,-,-,-,7100,Further details,100/1,Bet 365,Further details,20
Billy Horschel,-,-,MC,40,MC,-,43,MC,-,-,65,MC,-,-,-,-,-,7100,Further details,90/1,Bet 365,Further details,13
Callum Tarren,64,-,29,MC,-,43,-,33,29,MC,MC,-,-,-,-,-,7,7000,Further details,125/1,Bet 365,Further details,13
Stewart Cink,67,34,-,3^,60,-,MC,MC,-,-,7^,23,-,-,46,MC,24,7000,Further details,200/1,Bet 365,Further details,37
Matt Wallace,MC,-,65,MC,48,-,-,MC,78,-,42,MC,-,-,-,-,26,7000,Further details,100/1,Bet 365,Further details,43
Kevin Streelman,18,-,-,9,MC,-,49,MC,-,51,MC,-,-,34,-,-,-,7000,Further details,110/1,Bet 365,Further details,2
Luke List,MC,34,-,57,16,-,MC,33,WD,-,35,-,-,MC,32,58,-,7000,Further details,110/1,Bet 365,Further details,NR
Mackenzie Hughes,MC,14,MC,-,MC,MC,49,WD,-,-,MC,-,-,66,-,-,-,7000,Further details,100/1,Bet 365,Further details,30
Ben Martin,MC,-,-,57,-,MC,-,63,MC,MC,42,-,-,-,MC,MC,MC,7000,Further details,125/1,Bet 365,Further details,MC
Dylan Wu,21,MC,-,MC,-,25,32,MC,24,MC,MC,-,-,-,-,-,MC,7000,Further details,125/1,Bet 365,Further details,5
Chesson Hadley,MC,MC,-,-,-,43,-,24,33,MC,-,6,-,MC,MC,58,10,6900,Further details,125/1,Bet 365,Further details,27
C.T. Pan,MC,4,-,-,-,3,-,MC,-,-,MC,-,-,-,-,-,31,6900,Further details,125/1,Bet 365,Further details,70
Troy Merritt,MC,MC,-,MC,MC,-,-,MC,17,17,MC,50,-,7,MC,39,49,6900,Further details,200/1,Bet 365,Further details,MC
Andrew Novak,-,67,-,40,-,9,-,MC,MC,42,33,MC,-,-,-,-,54,6900,Further details,125/1,Bet 365,Further details,MC
Chad Ramey,35,50,-,12,MC,MC,-,38,17,42,44,17,-,-,-,-,-,6900,Further details,150/1,Bet 365,Further details,53
Michael Kim,7,MC,-,6,-,43,MC,38,-,MC,MC,MC,-,MC,MC,39,-,6900,Further details,110/1,Bet 365,Further details,MC
Seonghyeon Kim,MC,50,-,MC,41,25,-,MC,74,MC,MC,MC,-,-,-,-,-,6900,Further details,110/1,Bet 365,Further details,27
Justin Lower,MC,43,-,57,MC,25,-,MC,8,-,44,MC,-,-,-,-,MC,6900,Further details,200/1,Bet 365,Further details,43
James Hahn,MC,50,-,-,-,57,-,MC,MC,35,MC,6,-,-,-,MC,4,6800,Further details,150/1,Bet 365,Further details,62
Peter Malnati,-,-,-,29,MC,43,-,MC,9,MC,52,MC,-,46,MC,MC,11,6800,Further details,225/1,Bet 365,Further details,MC
Adam Long,MC,50,-,MC,MC,57,-,MC,MC,MC,16,MC,-,MC,2,25,16,6800,Further details,140/1,Bet 365,Further details,37
Ryan Gerard,MC,MC,-,MC^,-,43,56,-,56,26,MC,5,-,-,-,-,-,6800,Further details,150/1,Bet 365,Further details,57
Joel Dahmen,MC,-,69,68,MC,-,MC,MC,MC,MC,-,10,-,-,-,67,-,6800,Further details,100/1,Bet 365,Further details,MC
Carson Young,MC,14,-,21,-,43,MC,15,52,MC,-,43,-,-,-,-,-,6800,Further details,175/1,Bet 365,Further details,MC
Trevor Cone,MC,23,-,MC^,MC^,68,-,-,40,MC,3,66,-,-,-,-,-,6800,Further details,400/1,Bet 365,Further details,64
Harry Hall,MC,83,-,3,-,34,-,56,MC,-,60,MC,-,-,-,-,-,6800,Further details,125/1,Bet 365,Further details,MC
Patton Kizzire,MC,30,-,48,-,38,-,MC,MC,MC,62,-,-,34,46,39,38,6700,Further details,150/1,Bet 365,Further details,MC
Charley Hoffman,-,MC,-,-,-,-,49,MC,64,-,MC,31,-,MC,MC,-,-,6700,Further details,225/1,Bet 365,Further details,MC
Carl Yuan,-,MC,-,-,-,18,-,MC,14,MC,MC,34,-,-,-,-,-,6700,Further details,200/1,Bet 365,Further details,MC
David Lipsky,MC,MC,-,16,12,MC,-,56,MC,MC,-,34,-,-,-,-,-,6700,Further details,150/1,Bet 365,Further details,43
Marty Dou Zecheng,-,5,-,63,-,MC,-,52,17,MC,44,39,-,-,-,-,-,6700,Further details,250/1,Bet 365,Further details,MC
Lanto Griffin,MC,-,-,-,64,MC,-,MC,MC,51,-,-,-,-,-,MC,-,6700,Further details,200/1,Bet 365,Further details,MC
Sam Ryder,MC,-,MC,MC,56,-,-,MC,40,MC,MC,-,-,34,MC,25,MC,6700,Further details,150/1,Bet 365,Further details,7
Ryan Moore,MC,MC,-,-,-,25,-,MC,64,MC,14,MC,-,MC,12,MC,MC,6700,Further details,225/1,Bet 365,Further details,MC
Scott Piercy,MC,19,-,40,-,57,-,WD,-,WD,MC,MC,-,15,MC,71,4,6600,Further details,200/1,Bet 365,Further details,WD
Tyler Duncan,MC,MC,-,MC,-,MC,-,MC,47,61,MC,-,-,83,-,MC,45,6600,Further details,250/1,Bet 365,Further details,20
David Lingmerth,47,-,MC,MC,MC,WD,-,MC,MC,MC,3,68,-,MC,MC,28,70,6600,Further details,275/1,Bet 365,Further details,NR
Erik van Rooyen,MC,MC,-,MC,-,MC,-,MC,MC,MC,68,6,-,-,MC,58,-,6600,Further details,200/1,Bet 365,Further details,MC
Russell Knox,MC,MC,-,72,-,MC,-,49,47,57,33,47,-,-,MC,MC,-,6600,Further details,300/1,Bet 365,Further details,53
Trey Mullinax,47,MC,MC,-,MC,-,-,MC,MC,MC,-,MC,-,MC,-,-,-,6600,Further details,200/1,Bet 365,Further details,50
Doc Redman,MC,30,-,-,-,MC,-,MC,MC,MC,9,MC,-,MC,MC,-,MC,6600,Further details,200/1,Bet 365,Further details,30
Kevin Tway,MC,11,-,MC,-,MC,-,52,47,MC,44,MC,-,-,-,MC,MC,6600,Further details,250/1,Bet 365,Further details,MC
Austin Smotherman,MC,MC,-,21,-,50,-,MC,MC,51,MC,MC,-,-,-,-,24,6500,Further details,225/1,Bet 365,Further details,MC
Brice Garnett,-,77,-,-,-,68,-,-,47,MC,33,MC,-,23,26,16,31,6500,Further details,350/1,Bet 365,Further details,53
Aaron Baddeley,-,23,-,21,-,MC,-,-,MC,31,MC,MC,-,-,23,51,49,6500,Further details,250/1,Bet 365,Further details,7
Tano Goya,-,50,-,MC^,MC^,-,-,-,MC,26,40,55,-,-,-,-,-,6500,Further details,350/1,Bet 365,Further details,MC
Jimmy Walker,14,74,MC,40,-,-,-,MC,MC,42,MC,-,-,74,-,11,-,6500,Further details,300/1,Bet 365,Further details,MC
Robby Shelton IV,MC,43,-,29,MC,MC,-,MC,70,MC,MC,-,-,-,3,MC,-,6500,Further details,250/1,Bet 365,Further details,MC
Frankie Capan,-,-,MC^,MC^,6^,-,MC,62^,4^,-,-,MC^,-,-,-,-,-,6500,Further details,250/1,Bet 365,Further details,62
Martin Laird,MC,34,-,-,-,MC,-,MC,70,MC,-,20,-,42,-,-,MC,6500,Further details,300/1,Bet 365,Further details,2
Henrik Norlander,47,34,-,MC,-,72,-,-,81,MC,28,MC,-,-,23,-,MC,6500,Further details,300/1,Bet 365,Further details,57
Robert Streb,MC,67,-,-,-,MC,-,MC,56,42,MC,39,-,34,MC,MC,11,6400,Further details,500/1,Bet 365,Further details,MC
Kelly Kraft,MC,79,-,-,-,MC,-,38,40,MC,40,MC,-,MC,-,-,11,6400,Further details,500/1,Bet 365,Further details,WD
Cameron Percy,-,MC,-,-,-,52,-,-,MC,MC,16,-,-,-,MC,34,26,6400,Further details,350/1,Bet 365,Further details,MC
Kevin Roy,-,MC,-,MC^,63^,MC,-,-,MC,31,MC,20,-,-,-,-,-,6400,Further details,400/1,Bet 365,Further details,MC
Augusto Nunez,-,34,MC^,47^,-,MC,-,-,MC,MC,MC,50,-,-,-,-,-,6400,Further details,250/1,Bet 365,Further details,72
Matthias Schmid,-,MC,-,21,MC,MC,-,18,MC,MC,44,MC,-,-,-,-,-,6400,Further details,350/1,Bet 365,Further details,20
Ryan Armour,56,50,-,-,-,MC,MC,-,MC,MC,16,-,-,42,MC,6,MC,6400,Further details,400/1,Bet 365,Further details,MC
Harry Higgs,-,MC,-,MC,-,12,-,-,52,57,MC,MC,-,-,MC,MC,MC,6400,Further details,300/1,Bet 365,Further details,MC
Kramer Hickok,40,MC,-,21,-,MC,-,MC,MC,69,28,MC,-,42,58,-,MC,6400,Further details,275/1,Bet 365,Further details,30
Hank Lebioda,-,-,-,MC^,-,MC,MC,-,64,MC,MC,-,-,34,26,WD,16,6300,Further details,500/1,Bet 365,Further details,MC
Ryan Brehm,-,64,-,-,-,MC,-,MC,81,MC,24,MC,-,-,MC,51,31,6300,Further details,750/1,Bet 365,Further details,MC
Brent Grant,MC,83,-,-,-,52,MC,21^,MC,MC,-,44,-,-,-,-,-,6300,Further details,400/1,Bet 365,Further details,MC
Preston Summerhays,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,6300,Further details,500/1,Bet 365,Further details,MC
Zac Blair,47,-,-,MC,-,-,-,2,MC,MC,MC,-,-,-,-,-,-,6300,Further details,400/1,Bet 365,Further details,13
Harrison Endycott,59,50,-,MC,-,12,-,-,MC,66,MC,MC,-,-,-,-,-,6300,Further details,400/1,Bet 365,Further details,MC
Jason Dufner,MC,MC,-,-,MC,52,-,MC,MC,31,24,-,-,66,32,28,MC,6300,Further details,500/1,Bet 365,Further details,20
Cody Gribble,-,MC,-,63,-,34,-,-,MC,42,52,MC,-,MC,-,-,MC,6300,Further details,500/1,Bet 365,Further details,MC
Richy Werenski,MC,11,-,MC,-,65,-,MC,MC,42,58,MC,-,46,3,MC,MC,6300,Further details,400/1,Bet 365,Further details,MC
Jonathan Byrd,-,43,-,-,-,12,-,-,MC,MC,MC,-,-,-,MC,34,58,6200,Further details,400/1,Bet 365,Further details,MC
Satoshi Kodaira,-,43,-,MC^,WD^,-,52^,-,40,57,MC,MC,-,58,-,MC,64,6200,Further details,400/1,Bet 365,Further details,MC
Benjamin Taylor,MC,-,69,MC,MC,-,-,MC,MC,MC,73,-,-,-,MC,MC,-,6200,Further details,400/1,Bet 365,Further details,71
Brandt Snedeker,-,-,-,-,41,MC,-,-,MC,MC,-,MC,-,-,-,11,-,6200,Further details,400/1,Bet 365,Further details,53
Nicolas Echavarria,MC,-,MC,-,MC,-,MC,MC,MC,MC,-,MC,-,-,-,-,-,6200,Further details,300/1,Bet 365,Further details,MC
Austin Cook,MC,MC,-,-,-,MC,-,-,MC,MC,MC,60,-,MC,56,MC,MC,6200,Further details,600/1,Bet 365,Further details,MC
Andrew Landry,MC,MC,-,-,-,57,-,67,64,61,MC,-,-,MC,-,MC,MC,6200,Further details,600/1,Bet 365,Further details,MC
Brian Stuard,-,MC,-,-,-,MC,-,-,MC,51,33,MC,-,-,-,6,MC,6200,Further details,1000/1,Bet 365,Further details,MC
Sean O'Hair,-,50,-,-,-,MC,-,-,MC,MC,MC,MC,-,-,-,MC,MC,6200,Further details,400/1,Bet 365,Further details,MC
Michael Gligic,-,MC,-,-,-,MC,-,-,MC,MC,62,50,-,-,26,49,16,6100,Further details,750/1,Bet 365,Further details,MC
Matthias Schwab,MC,MC,-,70,-,MC,-,MC,83,MC,MC,MC,-,-,32,-,72,6100,Further details,750/1,Bet 365,Further details,64
Trevor Werbylo,-,MC,-,-,-,MC,-,-,MC,MC,MC,55,-,-,-,-,-,6100,Further details,1000/1,Bet 365,Further details,WD
Caleb VanArragon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,Further details,500/1,Bet 365,Further details,MC
Jim Herman,MC,70,-,-,-,MC,-,MC,-,63,MC,-,-,-,-,-,-,6100,Further details,600/1,Bet 365,Further details,72
Paul Haley II,MC,MC,-,5,-,MC,MC,MC,83,MC,MC,MC,-,-,-,-,-,6100,Further details,600/1,Bet 365,Further details,43
Derek Hitchner,-,-,-,-,-,-,-,27^,40^,-,6^,MC^,-,-,-,-,-,6100,Further details,750/1,Bet 365,Further details,MC
Dylan Frittelli,MC,MC,-,MC,-,-,-,-,MC,MC,MC,MC,-,46,18,MC,MC,6100,Further details,750/1,Bet 365,Further details,MC
Max Mcgreevy,MC,MC,-,-,-,MC,MC^,MC,MC,MC,52,MC,-,-,-,-,MC,6100,Further details,750/1,Bet 365,Further details,30
Nick Watney,MC,MC,-,-,-,MC,-,MC,56,MC,MC,MC,-,MC,12,34,MC,6100,Further details,1500/1,Bet 365,Further details,MC
Kyle Westmoreland,-,MC,-,MC,5^,MC,-,-,78,MC,MC,47,-,-,-,-,-,6000,Further details,750/1,Bet 365,Further details,MC
Chad Collins,-,-,-,MC^,MC^,-,-,WD^,MC,MC,-,-,-,MC,-,-,-,6000,Further details,2500/1,Bet 365,Further details,MC
Eric Rolland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,2500/1,Bet 365,Further details,MC
Thomas Lehman,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,2500/1,Bet 365,Further details,MC
Scott Harrington,-,50,-,-,37^,MC,-,-,MC,MC,44,MC,-,-,MC,MC,-,6000,Further details,600/1,Bet 365,Further details,MC
Tyson Alexander,MC,MC,-,MC,-,MC,-,MC,MC,MC,33,MC,-,-,-,-,-,6000,Further details,750/1,Bet 365,Further details,20
Martin Trainer,-,MC,-,-,-,72,-,-,MC,MC,62,31,-,MC,MC,58,MC,6000,Further details,750/1,Bet 365,Further details,MC
Brian Gay,21^,44^,-,MC^,-,52,-,MC,WD^,-,-,-,-,56,MC,MC,MC,6000,Further details,750/1,Bet 365,Further details,MC
David Hearn,-,-,-,-,-,MC,-,-,-,-,MC,-,-,58,MC,58,MC,6000,Further details,2000/1,Bet 365,Further details,MC
Brandon Matthews,-,MC,-,-,-,MC,-,-,MC,68,MC,MC,-,-,-,-,MC,6000,Further details,750/1,Bet 365,Further details,MC
Seung-yul Noh,-,74,-,-,-,38,-,-,70,63,WD,28,-,-,WD,-,38,-,Further details,TBC,Bet 365,Further details,69
Ricky Barnes,-,MC,-,-,-,MC,-,-,-,MC,MC,MC,-,-,MC,MC,45,-,Further details,TBC,Bet 365,Further details,NR
Grayson Murray,-,MC,1^,MC^,3^,MC,-,41^,32^,6,7,MC,-,-,-,WD,64,-,Further details,TBC,Bet 365,Further details,57
Kevin Chappell,-,MC,-,-,-,MC,-,-,-,MC,MC,44,-,-,-,-,69,-,Further details,TBC,Bet 365,Further details,64
Jonas Blixt,-,MC,-,-,-,MC,-,-,MC^,17,MC,MC,-,MC,-,-,72,-,Further details,TBC,Bet 365,Further details,NR
William McGirt,-,64,-,-,MC,MC,-,-,-,MC,30,44,-,-,-,-,-,-,Further details,TBC,Bet 365,Further details,NR
Wesley Bryan,-,MC,-,-,-,MC,-,-,-,MC,24,31,-,-,-,-,MC,-,Further details,TBC,Bet 365,Further details,NR
Chris Stroud,-,50,-,-,-,MC,-,-,MC,63,MC,MC,-,MC,WD,-,MC,-,Further details,TBC,Bet 365,Further details,MC
Sunghoon Kang,-,14,-,-,-,57,12^,WD^,-,MC,67,MC,-,MC,-,70,MC,-,Further details,TBC,Bet 365,Further details,NR
