Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
David Horsey,-,-,-,-,-,MC,MC,28,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,6400,2500/1,Bet 365,Further details,MC
Ross Fisher,40,-,-,-,-,-,67,50,-,70,MC,-,-,-,-,-,-,-,MC,48,-,-,-,-,6400,1500/1,Bet 365,Further details,MC
Paul Barjon,MC^,-,-,MC^,-,53^,-,-,66^,23^,MC^,-,-,-,-,-,-,-,-,-,-,MC,MC,-,6400,2000/1,Bet 365,Further details,MC
Alejandro Del Rey,17,-,-,-,-,-,47,67,-,39,39,-,-,-,-,-,-,-,-,-,-,-,-,-,6300,1500/1,Bet 365,Further details,MC
Deon Germishuys,58,23^,-,-,9,61,MC,15,-,3,66,-,-,-,-,-,-,-,-,-,-,-,-,-,6300,1500/1,Bet 365,Further details,MC
Berry Henson,6^,-,-,63^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6300,2500/1,Bet 365,Further details,MC
Brent Grant,8,MC,-,-,MC^^,MC,MC,83,-,-,-,52,-,-,-,-,-,-,-,-,-,-,-,-,6300,1500/1,Bet 365,Further details,MC
Kyle Mueller,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,6300,2500/1,Bet 365,Further details,MC
Paul Haley II,35,MC,-,-,MC^^,MC,MC,MC,-,5,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6300,1500/1,Bet 365,Further details,MC
Gunn Charoenkul,45^,-,-,16^,-,-,-,-,MC^,36^,MC^,-,-,-,-,-,-,-,-,-,-,-,-,-,6300,2500/1,Bet 365,Further details,MC
Ryo Ishikawa,-,3^,-,31^,31,4^,-,-,-,18^,MC^,MC^,-,MC,-,-,MC,-,-,-,-,51,MC,-,6300,2500/1,Bet 365,Further details,63
Roger Sloan,31^,36^,-,21^,36^,MC^,-,79,-,MC^,MC^,34,-,-,-,-,-,-,-,-,-,-,-,MC,6300,2000/1,Bet 365,Further details,MC
Andrew Svoboda,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,6200,2500/1,Bet 365,Further details,MC
JJ Grey,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6200,2500/1,Bet 365,Further details,MC
Mateo Fernandez de Oliveira,-,-,MC,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6200,2500/1,Bet 365,Further details,MC
Matt McClean,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6200,2500/1,Bet 365,Further details,MC
Olin Browne Jr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6200,2500/1,Bet 365,Further details,MC
