Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Jonathan Byrd,MC,-,MC,MC,-,-,-,-,-,MC,-,-,-,-,-,25,39,35,MC,39,54,MC,-,-,6100,350/1,Bet 365,Further details,MC
Scott Brown,MC,-,MC^,-,WD^,MC^,MC^,-,-,MC,-,-,-,5,-,MC,-,-,-,-,39,MC,-,-,6100,750/1,Bet 365,Further details,MC
Jim Herman,MC,-,72,71,-,-,-,-,-,MC,-,-,-,-,9,51,-,-,-,MC,MC,MC,-,MC,6100,750/1,Bet 365,Further details,77
Brandon Matthews,MC,MC,MC,MC,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,39,6000,750/1,Bet 365,Further details,MC
Brian Stuard,33,MC,MC,MC,-,-,-,-,-,MC,-,-,-,-,-,-,39,-,4,MC,28,MC,MC,61,6000,1000/1,Bet 365,Further details,MC
Nick Watney,MC,MC,MC,MC,-,-,-,-,-,MC,-,-,-,-,-,MC,-,-,-,-,-,MC,2,73,6000,1500/1,Bet 365,Further details,MC
Ford Clegg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,4000/1,Bet 365,Further details,77
Greg Sonnier,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,MC,-,MC,-,6000,4000/1,Bet 365,Further details,MC
Fred Biondi,-,MC^,MC^,-,MC^,MC^,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,1000/1,Bet 365,Further details,MC
Ricky Barnes,MC,MC,-,-,-,-,-,-,-,MC,-,-,-,-,MC,-,33,-,10,MC,67,-,-,-,6000,1500/1,Bet 365,Further details,MC
Trevor Werbylo,MC,55,WD,MC,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,6000,750/1,Bet 365,Further details,MC
Sangmoon Bae,MC,-,-,-,-,-,-,-,-,52,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,TBC,Bet 365,Further details,NR
"Ted Potter, Jr.",-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,WD,MC,-,-,-,TBC,Bet 365,Further details,75
Arjun Atwal,38^,-,MC^,-,-,-,-,-,-,MC,3^,-,-,67,WD,-,MC,MC,MC,-,MC,-,-,-,-,TBC,Bet 365,Further details,NR
D.A. Points,MC,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,MC,MC,MC,-,-,-,MC,-,-,-,TBC,Bet 365,Further details,NR
Derek Ernst,MC,MC,-,-,-,-,-,-,-,MC,-,-,-,-,-,MC,20,MC,34,68,MC,-,-,-,-,TBC,Bet 365,Further details,NR
Derek Lamely,MC,-,-,-,-,-,-,-,-,MC,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,NR
Greg Chalmers,66,MC,-,-,-,-,-,-,-,MC,-,-,-,-,58,69,-,50,68,-,-,MC,-,-,-,TBC,Bet 365,Further details,MC
Kyle Stanley,MC,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,MC,MC,-,-,-,MC,MC,-,-,-,TBC,Bet 365,Further details,NR
Tommy Gainey,16,MC,MC^,MC,-,-,MC^,-,-,MC,-,-,-,31,-,MC,74,65,MC,-,36,-,-,-,-,TBC,Bet 365,Further details,51
Fabian Gomez,-,36^,-,-,WD^,51^,MC^,-,-,MC^,MC^,-,-,-,35,14,-,-,72,70,18,MC,-,-,-,TBC,Bet 365,Further details,NR
