Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer,2024 Result
Patton Kizzire,46,-,-,15,37,44,-,-,-,-,-,-,-,-,-,-,MC,-,1,13,MC,7,42,76,6800,150/1,Bet 365,Further details,13
Doug Ghim,MC,-,-,15,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,-,-,6800,100/1,Bet 365,Further details,MC
Garrick Higgo,46,WD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6800,125/1,Bet 365,Further details,80
Webb Simpson,46,-,-,-,-,MC,-,-,-,-,-,-,-,20,-,13,13,13,4,-,3,4,61,MC,6800,110/1,Bet 365,Further details,66
Stewart Cink,MC,-,-,MC,7,44,-,-,-,-,-,-,-,MC,20,37,42,36,32,20,-,19,36,21,6700,150/1,Bet 365,Further details,24
Greyson Sigg,28,-,-,MC,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,48,6700,150/1,Bet 365,Further details,66
Jake Knapp,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6700,150/1,Bet 365,Further details,70
Matthieu Pavon,1,9,47,-,15,5,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6700,150/1,Bet 365,Further details,7
Takumi Kanaya,27^,31,-,8^,3^,37^,7^,2^,-,-,-,-,-,-,-,-,-,-,-,MC,-,MC,MC,-,6700,150/1,Bet 365,Further details,MC
Matthias Schmid,26,2,-,38,3,MC,-,17,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,6700,100/1,Bet 365,Further details,MC
Ryan Moore,13,-,-,38,5,8,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,MC,MC,6700,125/1,Bet 365,Further details,MC
Hayden Buckley,64,72,-,59,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,2,6600,125/1,Bet 365,Further details,MC
David Lipsky,MC,51,-,MC,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,4,6600,150/1,Bet 365,Further details,MC
Alejandro Tosti,-,-,-,-,-,MC^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6600,150/1,Bet 365,Further details,70
Jhonattan Vegas,-,-,-,-,22^,-,MC,17,-,-,-,-,-,-,-,44,-,-,-,-,-,-,-,-,6600,125/1,Bet 365,Further details,MC
Brandon Wu,-,51,-,54,30,58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,6600,175/1,Bet 365,Further details,18
