Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer,2024 Result
Satoshi Kodaira,-,-,-,-,-,MC^,38^,MC^,WD^,-,-,MC^,-,-,-,-,-,-,-,-,MC,49,35,-,5700,150/1,Bet 365,Further details,MC
Scott Brown,-,-,-,-,-,-,-,-,-,-,-,-,-,5,1,64,10,5,17,10,67,53,41,33,5600,250/1,Bet 365,Further details,MC
Jackson Van Paris,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5600,150/1,Bet 365,Further details,10
Lin Yuxin,-,-,-,-,-,56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5600,150/1,Bet 365,Further details,MC
Brian Stuard,-,-,-,-,-,MC^,-,-,-,-,-,-,-,-,4,43,-,MC,-,-,-,-,22,MC,5600,750/1,Bet 365,Further details,68
SangMoon Bae,-,-,-,-,-,-,-,-,-,9^,MC^,-,-,-,67,-,-,-,-,MC,35,MC,50,MC,5600,350/1,Bet 365,Further details,61
Angel Ayora,-,33,-,-,-,-,-,12^,MC^,-,13^,-,-,-,-,-,-,-,-,-,-,-,-,-,5500,140/1,Bet 365,Further details,72
Robert Streb,-,-,-,-,MC,-,-,52^,MC^,-,-,-,-,-,11,14,-,-,-,59,27,-,-,-,5500,225/1,Bet 365,Further details,MC
Russell Knox,-,-,-,-,-,-,27^,MC^,MC^,-,-,-,-,MC,39,-,-,-,-,-,-,-,-,-,5500,175/1,Bet 365,Further details,MC
Pierceson Coody,-,-,-,-,MC,MC,MC,-,-,-,WD,MC,-,-,-,-,-,-,-,-,-,-,-,-,5500,150/1,Bet 365,Further details,32
Ryan Brehm,-,-,-,-,MC,MC,20,-,MC,-,MC,MC,-,-,-,-,-,-,MC,-,35,11,1,-,5500,200/1,Bet 365,Further details,55
Kyle Stanley,-,-,-,-,-,MC^,20^,MC^,MC^,-,-,MC^,-,-,-,-,-,MC,-,-,3,-,16,54,5500,2000/1,Bet 365,Further details,61
Bill Haas,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,30,41,11,5400,350/1,Bet 365,Further details,MC
