Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020*,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Dylan Frittelli,MC,MC,-,MC,-,WD,26^^,MC,MC,MC,-,MC,-,-,-,-,-,-,-,-,MC,22,MC,-,6100,1500/1,Bet 365,Further details,NR
Kevin Kisner,75,MC,31,-,MC,WD,-,-,-,-,MC,MC,-,-,46,8,MC,6,74,41,-,MC,-,-,6100,750/1,Bet 365,Further details,MC
Peter Malnati,MC,MC,-,22,-,MC,-,MC,-,-,-,29,-,-,-,-,MC,-,-,17,65,-,MC,MC,6100,750/1,Bet 365,Further details,MC
Justin Lower,MC,MC,MC,70,-,71,MC^^,-,MC,43,-,57,-,-,MC,-,-,-,-,-,-,-,-,MC,6100,750/1,Bet 365,Further details,MC
David Lingmerth,6,27,-,MC,-,-,MC^^,-,47,-,MC,MC,-,57,49,1,27,15,29,41,-,MC,MC,48,6000,1000/1,Bet 365,Further details,MC
Aldrich Potgieter,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,750/1,Bet 365,Further details,MC
Kazuki Higa,-,-,-,MC,MC,-,MC,MC,MC,-,76,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,1000/1,Bet 365,Further details,MC
Nicolas Echavarria,MC,MC,-,28,-,MC,-,66,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,1000/1,Bet 365,Further details,MC
Thriston Lawrence,-,14,52,-,-,28^,32^,-,MC,-,62,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,750/1,Bet 365,Further details,MC
K.J. Choi,-,7^,53^,-,-,-,48^,48^,41^,-,19^,26^,-,21,28,MC,52,67,MC,71,-,MC,MC,-,6000,TBC,Bet 365,Further details,MC
Luke Donald,-,MC,-,46,-,67,23^^,-,MC,-,MC,40,-,21,49,-,68,MC,-,57,MC,-,-,MC,6000,1000/1,Bet 365,Further details,38
Jason Dufner,-,36,58,60,-,MC,MC^^,-,MC,MC,-,-,-,-,19,24,33,1,MC,7,56,44,37,MC,6000,2500/1,Bet 365,Further details,MC
William McGirt,-,-,MC,-,-,-,MC^^,MC,-,64,-,-,-,37,MC,40,1,67,MC,-,-,68,MC,MC,6000,2500/1,Bet 365,Further details,MC
Bo Hoag,-,-,MC^,MC^,-,MC^,53^,-,-,-,37^,MC^,-,-,-,-,-,-,-,-,MC,62,13,MC,6000,2500/1,Bet 365,Further details,MC
Aaron Rai,19,-,-,28,-,48,13^^,MC,MC,MC,-,12,-,-,-,-,-,-,-,-,-,-,-,26,-,TBC,Bet 365,Further details,MC
Martin Laird,MC,MC,-,MC,-,MC,-,MC,MC,34,-,-,-,53,MC,MC,-,52,23,-,-,-,53,37,-,TBC,Bet 365,Further details,NR
C.T. Pan,-,-,MC^,-,-,MC,-,-,MC,4,-,-,-,-,-,-,-,40,-,-,48,44,57,53,-,TBC,Bet 365,Further details,NR
Michael Kim,-,45,26,46,-,-,19^^,30,7,MC,-,6,-,-,MC,-,-,MC,-,MC,MC,-,-,-,-,TBC,Bet 365,Further details,NR
Ben Martin,54,45,8,10,-,41,MC^^,46,MC,-,-,57,-,-,49,MC,38,35,-,-,-,-,-,-,-,TBC,Bet 365,Further details,NR
Callum Tarren,MC,-,-,MC,-,MC,MC^^,MC,64,-,29,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,NR
Tyler Duncan,54,MC,3,58,-,MC,34^^,-,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,68,MC,-,-,TBC,Bet 365,Further details,NR
Tyson Alexander,MC,65,26,-,-,-,MC^^,MC,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,NR
Russell Knox,MC,MC,58,MC,-,MC,MC^^,-,MC,MC,-,72,-,-,MC,18,64,65,44,27,MC,-,57,MC,-,TBC,Bet 365,Further details,NR
Nate Lashley,60,MC,-,MC,-,31,-,39,27,23,-,MC,-,-,-,-,-,-,-,-,MC,-,-,MC,-,TBC,Bet 365,Further details,NR
