Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Alejandro Tosti,MC,-,33,MC^^,MC,63,73,17,-,-,-,-,-,-,-,-,-,-,6600,Further details,100/1,Bet 365,Further details
Jackson Koivun,-,-,-,-,-,-,-,-,-,52,-,-,-,-,-,-,-,-,6600,Further details,80/1,Bet 365,Further details
Jhonattan Vegas,MC,-,23,MC^^,MC,-,-,-,27,-,-,-,-,-,-,-,49,-,6600,Further details,100/1,Bet 365,Further details
Michael Kim,MC,-,14,11^^,MC,20,-,MC,14,-,-,-,-,MC,MC,MC,-,-,6600,Further details,90/1,Bet 365,Further details
Luke List,-,39,-,19^^,30,-,MC,MC,MC,-,-,MC,-,MC,21,-,MC,WD,6600,Further details,100/1,Bet 365,Further details
Justin Lower,25,-,4,28^^,24,MC,-,MC,MC,-,50,-,-,-,-,-,30,8,6500,Further details,125/1,Bet 365,Further details
Greyson Sigg,MC,-,9,8^^,MC,13,-,MC,MC,-,56,-,-,-,-,-,MC,56,6500,Further details,125/1,Bet 365,Further details
Nate Lashley,39,-,MC,38^^,MC,-,-,MC,42,-,-,-,-,1,MC,MC,57,56,6500,Further details,100/1,Bet 365,Further details
Matthias Schmid,69,-,11,MC^^,MC,MC,-,MC,MC,-,-,15,-,-,-,-,-,MC,6500,Further details,110/1,Bet 365,Further details
Webb Simpson,45,-,42,-,-,24,-,50,-,-,MC,48,-,-,8,MC,69,MC,6500,Further details,110/1,Bet 365,Further details
J.J Spaun,51,-,-,MC^^,MC,26,-,MC,MC,-,-,-,-,13,30,32,8,33,6400,Further details,110/1,Bet 365,Further details
Seonghyeon Kim,14,-,36,MC^^,4,50,63,61,MC,-,56,-,-,-,-,-,-,74,6400,Further details,100/1,Bet 365,Further details
Jake Knapp,-,55,62,-,8,58,MC,-,-,MC,MC,48,-,-,-,-,-,-,6400,Further details,110/1,Bet 365,Further details
KyoungHoon Lee,MC,-,40,11^^,59,-,WD,32,MC,-,-,-,-,MC,45,MC,-,-,6400,Further details,100/1,Bet 365,Further details
Mac Meissner,10,-,MC,23^^,MC,13,-,5,57,-,MC,-,-,-,-,-,-,-,6400,Further details,110/1,Bet 365,Further details
Troy Merritt,MC,-,67,MC^^,9,40,-,45,MC,-,-,-,-,MC,8,2,14,17,6300,Further details,125/1,Bet 365,Further details
Chesson Hadley,MC,-,-,8^^,MC,10,-,MC,51,-,MC,-,-,MC,MC,52,MC,33,6300,Further details,150/1,Bet 365,Further details
Chan Kim,14,-,6,28^^,MC,40,-,MC,MC,-,-,-,-,-,-,-,-,-,6300,Further details,140/1,Bet 365,Further details
Jacob Bridgeman,MC,-,23,19^^,MC,46,-,-,14,MC^,-,-,-,-,-,-,-,-,6300,Further details,110/1,Bet 365,Further details
Neal Shipley,-,53,-,-,-,-,-,-,-,-,26,-,-,-,-,-,-,-,6300,Further details,150/1,Bet 365,Further details
Alex Smalley,MC,-,6,MC^^,13,20,MC,WD,-,-,-,-,-,-,-,-,MC,47,6200,Further details,125/1,Bet 365,Further details
