Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer,2024 Result
Adam Schenk,-,19,-,-,-,-,-,29,-,MC,25,47,-,-,-,-,-,-,-,55,MC,MC,MC,23,7200,90/1,Bet 365,Further details,17
Kurt Kitayama,-,-,-,-,-,-,-,29,24,-,-,39,-,-,-,-,-,-,-,-,-,-,-,23,7200,90/1,Bet 365,Further details,8
Lucas Glover,45,-,-,12,-,-,-,29,MC,-,-,58,-,54,MC,53,-,36,43,MC,-,58,37,39,7200,125/1,Bet 365,Further details,NR
Nick Taylor,-,-,-,-,-,-,-,52,7,MC,-,71,-,-,-,59,65,MC,52,MC,49,MC,MC,2,7200,110/1,Bet 365,Further details,1
Ryan Fox,51,34,-,-,-,-,-,-,14,31,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,7200,100/1,Bet 365,Further details,41
Aaron Rai,10,-,-,-,-,-,-,-,57,MC,33,-,-,-,-,-,-,-,-,-,-,-,-,42,7100,110/1,Bet 365,Further details,MC
Billy Horschel,-,MC,-,-,-,-,-,-,18,MC,MC,-,-,11,MC,30,24,24,43,39,9,53,6,32,7100,100/1,Bet 365,Further details,41
Erik van Rooyen,-,-,-,-,32,-,-,22,52,25,-,20,-,-,-,-,-,-,-,-,-,MC,-,50,7100,100/1,Bet 365,Further details,MC
Luke List,20,19,-,-,-,-,-,22,66,-,50,26,-,MC,-,-,MC,MC,26,MC,25,30,53,MC,7100,100/1,Bet 365,Further details,MC
Michael Kim,-,-,-,-,-,-,-,-,42,6,37,-,-,-,-,-,45,24,MC,MC,-,58,-,-,7100,125/1,Bet 365,Further details,MC
Adam Svensson,-,5,-,-,-,-,-,33,30,-,MC,47,-,-,-,-,-,-,-,-,-,-,-,MC,7000,125/1,Bet 365,Further details,MC
Austin Eckroat,-,8,-,-,-,-,-,-,42,25,37,-,-,-,-,-,-,-,-,-,-,-,64,-,7000,125/1,Bet 365,Further details,MC
Benjamin Griffin,37,8,-,-,-,-,-,-,30,9,MC,58,-,-,-,-,-,-,-,-,-,-,-,-,7000,150/1,Bet 365,Further details,28
Chesson Hadley,-,38,-,-,-,-,-,-,-,56,25,-,-,-,-,MC,60,-,5,20,59,-,MC,23,7000,100/1,Bet 365,Further details,MC
Gary Woodland,-,-,-,-,-,-,-,-,MC,-,MC,-,-,16,37,MC,33,MC,1,7,40,MC,MC,42,7000,150/1,Bet 365,Further details,MC
Matt Kuchar,-,53,-,-,-,-,-,-,MC,MC,-,39,-,-,-,30,-,9,5,4,16,42,MC,32,7000,80/1,Bet 365,Further details,MC
Davis Thompson,-,53,-,-,-,-,-,-,57,21,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,6900,150/1,Bet 365,Further details,15
Jake Knapp,-,-,-,-,-,-,-,-,70,MC,3,-,-,-,-,-,-,-,-,-,-,-,-,-,6900,125/1,Bet 365,Further details,28
Kyounghoon Lee,-,58,-,-,-,-,-,-,30,25,MC,-,-,-,-,-,-,-,-,-,MC,2,38,42,6900,125/1,Bet 365,Further details,MC
Matt Wallace,15,2,-,-,-,-,-,40,52,MC,MC,-,-,-,-,-,-,-,-,-,-,-,MC,MC,6900,150/1,Bet 365,Further details,53
