Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer,2024 Result
Nick Dunlap,-,-,1,-,80,-,MC,-,53,48,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,5800,200/1,Bet 365,Further details,11
J.J Spaun,-,MC,-,MC,54,MC,MC,MC,-,-,64,MC,-,-,-,-,-,-,44,-,73,-,46,-,5800,175/1,Bet 365,Further details,36
Rico Hoey,-,MC,MC,MC,-,-,-,MC,56,32,-,54,-,-,-,-,-,-,-,-,-,-,-,-,5700,300/1,Bet 365,Further details,MC
Harry Hall,-,42,MC,MC,-,41,-,33,MC,49,MC,67,-,-,-,-,-,-,-,-,-,-,-,39,5700,275/1,Bet 365,Further details,28
Parker Coody,-,74,MC,25,-,-,-,24,47,MC,-,67,-,-,-,-,-,-,-,-,-,-,-,-,5700,200/1,Bet 365,Further details,MC
Henrik Norlander,-,-,-,-,-,20^,-,13,-,15,-,-,-,-,65,-,-,-,-,-,45,MC,67,MC,5700,175/1,Bet 365,Further details,MC
Tyler Duncan,-,65,34,MC,-,53,-,MC,MC,23,64,MC,-,-,-,-,-,-,-,52,MC,MC,29,MC,5700,200/1,Bet 365,Further details,NR
Zac Blair,-,30,62,73,-,49,-,-,MC,-,54,MC,-,-,-,-,MC,38,8,-,28,-,-,MC,5700,350/1,Bet 365,Further details,MC
Callum Tarren,-,MC,MC,MC,-,MC,-,MC,MC,-,MC,72,-,-,-,-,-,-,-,-,-,-,-,26,5600,350/1,Bet 365,Further details,69
Bronson Burgoon,-,-,14,50,-,-,-,MC,-,-,-,75,-,-,-,-,-,-,-,24,13,MC,35,-,5600,250/1,Bet 365,Further details,MC
Brandon Wu,-,18,MC,-,47,MC,-,13,MC,42,MC,-,-,-,-,-,-,-,-,-,17,-,-,62,5600,175/1,Bet 365,Further details,MC
Sam Bennett,-,-,-,9^,21^,MC^,-,-,18^,61^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5600,225/1,Bet 365,Further details,72
Davis Riley,52,MC,MC,MC,78,-,-,MC,62,-,MC,MC,-,-,-,-,-,-,-,-,-,-,29,27,5600,160/1,Bet 365,Further details,14
Jhonattan Vegas,-,MC,MC,MC,-,22,-,60,-,-,-,MC,-,47,-,72,55,19,15,87,MC,44,26,-,5600,175/1,Bet 365,Further details,36
Mac Meissner,-,-,MC,MC,-,-,-,MC,53,23,-,26,-,-,-,-,-,-,-,-,-,-,-,-,5500,500/1,Bet 365,Further details,MC
Norman Xiong,-,79,MC,MC,-,-,-,MC,MC,9,-,54,-,-,-,-,-,-,-,-,-,-,-,-,5500,400/1,Bet 365,Further details,MC
David Skinns,-,MC,MC,MC,-,-,-,MC,4,67,MC,75,-,-,-,-,-,-,-,-,-,-,-,-,5500,300/1,Bet 365,Further details,7
Padraig Harrington,-,-,MC,70,-,-,15^,52,MC,14^,-,1^,-,71,-,MC,67,MC,-,89,-,32,-,-,5500,200/1,Bet 365,Further details,MC
Jacob Bridgeman,-,MC,39,70,-,-,-,MC,28,23,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,5500,200/1,Bet 365,Further details,21
