,Events,Av Score,M17,U17,O17,P17,M18,U18,O18,P18,M19,P19,U19,O19,P20,U20,M20,M21,P21,U21,O21,M22,P22,U22,O22,M23,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Sepp Straka,7,73.08,-,-,-,-,-,-,-,-,-,-,28,-,66,-,-,-,-,-,-,30,78,MC,MC,46,6700,400/1,Bet 365,Further details,7
Nicolai Hojgaard,3,73.13,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,53,-,7200,250/1,Bet 365,Further details,50
Patrick Rodgers,4,73.14,-,-,-,MC,-,41,-,-,-,-,-,-,-,-,-,-,-,31,-,-,-,31,-,-,6700,300/1,Bet 365,Further details,29
Taylor Montgomery,2,73.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,-,-,-,MC,-,-,7200,250/1,Bet 365,Further details,65
KyoungHoon Lee,8,73.17,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,MC,MC,-,MC,41,38,MC,23,6700,200/1,Bet 365,Further details,29
Padraig Harrington,11,73.19,-,-,MC,MC,-,-,MC,MC,-,MC,-,MC,-,-,-,-,4,-,72,MC,MC,-,MC,-,6700,400/1,Bet 365,Further details,50
Taylor Moore,1,73.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,7800,150/1,Bet 365,Further details,72
JT Poston,9,73.38,-,MC,-,-,-,-,-,-,-,60,-,-,75,MC,MC,-,MC,40,-,-,-,-,MC,34,6300,300/1,Bet 365,Further details,40
Alex Smalley,1,73.50,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6300,TBC,TBC,Further details,23
Davis Thompson,1,73.50,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,6300,600/1,Bet 365,Further details,MC
Luke Donald,2,73.50,-,-,-,MC,-,-,-,-,-,-,72,-,-,-,-,-,-,-,-,-,-,-,-,-,6400,1000/1,Bet 365,Further details,MC
Scott Stallings,4,73.60,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,-,26,6700,400/1,Bet 365,Further details,MC
Stephan Jaeger,2,73.75,-,60,-,-,-,-,-,-,-,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-,6700,175/1,Bet 365,Further details,50
Anirban Lahiri,6,73.93,-,-,MC,75,-,-,MC,MC,-,-,MC,-,-,-,-,-,-,-,-,-,MC,-,-,-,6800,300/1,Bet 365,Further details,MC
Sam Ryder,2,74.00,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,6300,500/1,Bet 365,Further details,MC
Rikuya Hoshino,7,74.17,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,MC,26,MC,-,60,MC,MC,-,6400,600/1,Bet 365,Further details,62
Maverick McNealy,4,74.50,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,75,-,-,-,6900,400/1,Bet 365,Further details,MC
Sihwan Kim,1,74.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,6100,1500/1,Bet 365,Further details,62
Kazuki Higa,2,74.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,6400,1000/1,Bet 365,Further details,76
Eric Cole,1,75.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,6800,TBC,TBC,Further details,15
Yannik Paul,1,75.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,6800,400/1,Bet 365,Further details,69
Y.E. Yang,5,75.70,-,-,-,MC,-,-,-,MC,-,MC,-,-,-,-,-,-,DQ,-,-,-,MC,-,-,-,6200,2500/1,Bet 365,Further details,MC
Shaun Micheel,6,75.75,-,-,-,MC,-,-,-,MC,-,MC,-,-,MC,-,-,-,MC,-,-,-,MC,-,-,-,6000,2500/1,Bet 365,Further details,MC
Rasmus Hojgaard,2,75.83,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,79,-,-,-,-,-,-,-,6500,300/1,Bet 365,Further details,MC
Pablo Larrazabal,4,75.88,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,MC,-,6200,500/1,Bet 365,Further details,65
Justin Suh,1,76.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,6500,400/1,Bet 365,Further details,26
Greg Koch,1,76.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,6000,2500/1,Bet 365,Further details,MC
Lee Hodges,1,76.50,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,6300,TBC,TBC,Further details,55
Alexander Beach,5,76.70,-,-,-,MC,-,-,-,-,-,MC,-,-,MC,-,-,-,MC,-,-,-,MC,-,-,-,6200,2500/1,Bet 365,Further details,MC
Wyatt Worthington II,1,77.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,6000,2500/1,Bet 365,Further details,MC
Michael Block,3,77.33,-,-,-,-,-,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,6200,2500/1,Bet 365,Further details,15
Adam Svensson,1,77.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,6600,300/1,Bet 365,Further details,40
Colin Inglis,1,77.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,6100,2500/1,Bet 365,Further details,MC
Kenny Pigman,1,77.50,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,2500/1,Bet 365,Further details,MC
Anthony Cordes,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,2500/1,Bet 365,Further details,MC
Benjamin Griffin,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6800,500/1,Bet 365,Further details,MC
Benjamin Taylor,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7000,750/1,Bet 365,Further details,69
Braden Shattuck,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,2500/1,Bet 365,Further details,MC
Chris French,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6200,2500/1,Bet 365,Further details,MC
Chris Sanger,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,2500/1,Bet 365,Further details,MC
David Micheluzzi,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,500/1,Bet 365,Further details,MC
