Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Parker Coody,-,MC,-,-,-,-,MC^,-,52^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,1000/1,Bet 365,Further details,64
Peter Kuest,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,750/1,Bet 365,Further details,14
William Knauth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,1500/1,Bet 365,Further details,MC
J.J. Killeen,-,-,-,-,-,-,-,-,-,-,-,-,-,63,-,-,-,-,-,-,-,-,MC,6000,2500/1,Bet 365,Further details,MC
Sunghoon Kang,-,MC,69,-,-,38,-,-,-,MC^^,MC,-,-,MC,-,-,-,34,20,42,1,47,MC,6000,600/1,Bet 365,Further details,14
Arjun Atwal,-,MC,MC,-,-,MC,-,-,-,11^,MC,-,-,56,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,NR
D.J. Trahan,-,-,44,-,-,MC,-,-,-,MC^^,MC,-,-,63,MC,MC,-,MC,-,MC,-,71,-,-,TBC,Bet 365,Further details,MC
George McNeill,-,-,61,-,-,62,-,-,-,-,MC,-,-,-,MC,-,-,-,-,MC,MC,MC,-,-,TBC,Bet 365,Further details,MC
Kevin Stadler,-,-,54,-,-,MC,-,-,-,MC^^,MC,-,-,-,-,-,-,-,-,-,-,MC,-,-,TBC,Bet 365,Further details,MC
Kyle Stanley,-,60,54,-,MC,-,71,-,-,MC^^,MC,-,-,-,-,84,-,41,-,-,-,-,-,-,TBC,Bet 365,Further details,MC
Richard S. Johnson,-,-,64,-,-,MC,-,-,-,-,MC,-,-,MC,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,MC
Ted Potter Jr.,-,-,59,-,-,MC,-,-,-,-,MC,-,-,-,27,MC,-,-,-,-,-,68,-,-,TBC,Bet 365,Further details,MC
