Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Zac Blair,4^^,MC,-,53,MC,24,-,26,-,MC,46,2,-,-,-,282,61,34,30,-,35,-,-,-,7500,Further details,66/1,Bet 365,Further details
Sam Ryder,MC^^,MC,26,-,MC,MC,-,-,-,MC,34,25,-,-,-,-,-,-,-,45,21,34,-,-,7500,Further details,66/1,Bet 365,Further details
Alex Fitzpatrick,11^^,-,-,-,18,51,4,-,58,55,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,7500,Further details,70/1,Bet 365,Further details
Jacob Bridgeman,19^^,MC,46,-,-,14,MC^,-,-,31,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,7500,Further details,70/1,Bet 365,Further details
Sam Bairstow,36,23,-,-,10,MC,-,MC,-,MC,-,6,-,-,-,-,-,-,-,-,-,-,-,-,7400,Further details,66/1,Bet 365,Further details
Alex Smalley,MC^^,13,20,MC,WD,-,-,-,-,MC,MC,37,-,-,-,-,-,-,-,-,-,-,-,-,7400,Further details,80/1,Bet 365,Further details
Troy Merritt,MC^^,9,40,-,45,MC,-,-,-,17,MC,59,-,-,-,-,-,MC,-,2,2,51,-,50,7400,Further details,80/1,Bet 365,Further details
Nate Lashley,38^^,MC,-,-,MC,42,-,-,-,25,MC,-,-,-,-,-,-,-,-,-,-,MC,-,-,7400,Further details,90/1,Bet 365,Further details
Luke List,19^^,30,-,MC,MC,MC,-,-,MC,67,MC,MC,-,49,-,-,MC,29,-,-,-,-,-,-,7400,Further details,90/1,Bet 365,Further details
Ryan Moore,-,MC,MC,-,69,60,-,-,-,44,MC,21,-,-,-,-,-,-,-,-,12,MC,MC,MC,7300,Further details,80/1,Bet 365,Further details
Charley Hoffman,11^^,-,-,MC,50,MC,-,-,-,MC,-,57,-,-,-,-,-,-,-,-,25,-,31,31,7300,Further details,90/1,Bet 365,Further details
Alejandro Tosti,MC^^,MC,63,73,17,-,-,-,-,WD,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,7300,Further details,90/1,Bet 365,Further details
Joseph Bramlett,-,MC,26,-,37,51,-,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,12,20,39,-,7300,Further details,80/1,Bet 365,Further details
Greyson Sigg,8^^,MC,13,-,MC,MC,-,56,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,15,26,MC,7300,Further details,80/1,Bet 365,Further details
Lanto Griffin,-,MC,66,-,MC^,51,-,-,-,MC,MC,10,-,-,-,-,-,-,26,-,58,-,-,-,7200,Further details,75/1,Bet 365,Further details
Henrik Norlander,19^^,64,20,-,-,MC,MC,-,23,MC,61,25,-,MC,-,-,41,-,-,-,-,-,31,MC,7200,Further details,100/1,Bet 365,Further details
Patton Kizzire,28^^,24,10,-,-,MC,-,-,-,20,MC,50,-,-,-,-,-,9,-,-,-,-,-,-,7200,Further details,80/1,Bet 365,Further details
Nick Hardy,28^^,MC,-,-,65,42,-,-,-,52,MC,59,-,-,-,-,-,-,30,-,-,-,13,63,7200,Further details,100/1,Bet 365,Further details
Martin Laird,MC^^,48,MC,-,37,MC,-,-,-,MC,MC,-,-,-,6,-,7,-,15,7,-,-,3,20,7200,Further details,100/1,Bet 365,Further details
Vincent Whaley,MC^^,41,-,4^,-,33,-,-,-,57,MC,MC,-,-,-,-,-,-,-,-,MC,9,31,-,7200,Further details,100/1,Bet 365,Further details
Brandon Wu,28^^,MC,MC,-,MC,62,-,70,-,44,MC,10,-,-,-,-,-,-,-,-,-,-,-,-,7100,Further details,75/1,Bet 365,Further details
Chad Ramey,2^^,MC,MC,-,MC,24,-,-,-,MC,MC,45,-,-,-,-,-,-,-,-,-,-,60,17,7100,Further details,110/1,Bet 365,Further details
Kevin Tway,11^^,9,43,-,24,68,-,-,-,MC,MC,45,-,-,42,-,-,37,23,-,35,30,22,MC,7100,Further details,100/1,Bet 365,Further details
Hayden Buckley,MC^^,52,59,-,5,MC,-,-,-,44,34,59,-,-,-,-,-,-,-,-,-,-,-,-,7100,Further details,90/1,Bet 365,Further details
Mats Ege,-,-,-,-,-,-,51,MC^,20^,47^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7100,Further details,100/1,Bet 365,Further details
Tyler Duncan,-,-,-,-,56,24,-,-,-,MC,MC,MC,-,-,-,-,-,-,-,64,-,43,-,-,7100,Further details,100/1,Bet 365,Further details
Chez Reavie,40^^,MC,32,-,MC,65,-,-,-,MC,MC,10,-,-,-,-,44,-,-,-,-,43,1,55,7000,Further details,90/1,Bet 365,Further details
Andy Sullivan,MC,56,-,-,MC,34,4,-,-,MC,MC,16,-,-,-,-,-,-,-,-,-,-,-,47,7000,Further details,125/1,Bet 365,Further details
David Lipsky,23^^,MC,MC,-,9,MC,-,-,-,WD,61,37,-,-,-,-,-,-,-,-,-,-,-,34,7000,Further details,110/1,Bet 365,Further details
Garrick Higgo,4^^,MC,MC,-,MC,42,-,-,-,MC,MC,63,-,-,-,-,-,-,-,-,-,-,-,-,7000,Further details,110/1,Bet 365,Further details
Parker Coody,MC^^,MC,36,-,61,MC,-,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,7000,Further details,125/1,Bet 365,Further details
Robby Shelton IV,MC^^,MC,26,-,9,MC,-,-,-,57,34,MC,-,-,-,-,-,-,-,-,59,23,-,-,7000,Further details,100/1,Bet 365,Further details
Scott Jamieson,42,17,-,-,MC,MC,12,-,-,42,49,MC,-,-,-,-,-,-,-,-,-,-,22,MC,7000,Further details,110/1,Bet 365,Further details
Seung-yul Noh,-,59,32,36^,MC^,-,MC^,17^,31^,68^,MC,6,-,7,-,-,57,MC,-,-,-,-,55,28,6900,Further details,150/1,Bet 365,Further details
