player_name,sg_total,sg_ott,sg_app,sg_arg,sg_putt,driving_dist,driving_acc
Cameron Smith,0.495,-0.438,-0.045,0.473,0.505,0.584,-0.071
Abraham Ancer,0.492,0.354,0.198,-0.182,0.123,-5.637,0.083
Austin Eckroat,0.485,0.442,0.115,-0.133,0.061,1.662,0.049
Max McGreevy,0.468,0.381,0.291,-0.052,-0.152,-3.208,0.07
Marc Leishman,0.464,-0.181,0.343,0.192,0.11,-1.545,-0.015
Seamus Power,0.446,0.135,0.161,0.144,0.006,0.605,0.026
Kurt Kitayama,0.439,0.406,0.291,0.053,-0.311,11.041,-0.027
Paul Casey,0.437,0.221,0.323,0.084,-0.191,0.534,0.047
Christiaan Bezuidenhout,0.434,-0.296,-0.048,0.281,0.496,-9.691,0.018
Jesper Svensson,0.425,0.473,-0.327,-0.014,0.293,13.225,-0.028
Matt Wallace,0.417,0.057,0.132,0.326,-0.099,3.662,-0.012
Gary Woodland,0.41,0.393,0.327,-0.221,-0.089,10.965,-0.004
Patrick Rodgers,0.387,0.016,-0.009,0.189,0.191,4.451,-0.011
Matt Fitzpatrick,0.371,0.126,-0.11,0.032,0.323,0.302,0.017
Nicolai Hojgaard,0.367,0.118,0.315,-0.104,0.038,10.478,-0.046
Louis Oosthuizen,0.356,-0.004,0.246,0.047,0.068,-7.767,0.059
Tom Hoge,0.352,-0.139,0.528,-0.073,0.036,-4.382,0.013
Harold Varner III,0.347,0.382,0.15,0.003,-0.188,6.706,0.003
Eric Cole,0.347,-0.277,0.178,0.241,0.205,-1.721,-0.027
Chan Kim,0.346,-0.021,0.324,0.144,-0.101,-0.691,0.022
Max Greyserman,0.339,-0.014,-0.075,0.07,0.358,9.162,-0.054
Eugenio Chacarra,0.331,0.453,0.041,-0.031,-0.132,8.05,-0.015
Joel Dahmen,0.327,0.316,0.383,-0.071,-0.301,-4.678,0.067
Jordan Smith,0.327,0.297,0.055,-0.13,0.105,0.187,0.042
Adrien Saddier,0.319,0.244,0.233,-0.086,-0.072,-0.817,0.028
Rickie Fowler,0.317,0.163,0.08,-0.007,0.081,1.065,0.014
Matt McCarty,0.316,0.143,-0.059,0.042,0.19,-4.893,0.05
Matthew Jordan,0.307,0.152,0.093,0.016,0.046,2.097,-0.008
Rasmus Hojgaard,0.306,0.044,0.133,-0.047,0.176,14.859,-0.063
Patrick Fishburn,0.289,0.192,0.065,-0.045,0.077,5.688,-0.022
Isaiah Salinda,0.279,0.467,-0.059,-0.032,-0.097,8.93,0.012
