player_name,sg_total,sg_ott,sg_app,sg_arg,sg_putt,driving_dist,driving_acc
Callum Tarren,-1.052,-0.334,-0.166,-0.159,-0.392,4.98,-0.077
Darius Van Driel,-1.059,-0.352,-0.485,-0.065,-0.157,-11.694,0.024
Bernd Wiesberger,-1.064,-0.52,-0.205,0.075,-0.414,-8.832,-0.008
Robin Williams,-1.084,-0.054,-0.683,-0.195,-0.152,6.481,-0.051
Graeme McDowell,-1.087,-0.469,-0.213,-0.081,-0.324,-13.816,0.029
Thomas Aiken,-1.09,-0.769,-0.293,-0.139,0.11,-24.534,0.074
Clement Sordet,-1.095,-0.25,-0.513,0.08,-0.412,-0.165,-0.024
Marcus Helligkilde,-1.101,-0.354,-0.412,-0.133,-0.201,2.011,-0.061
James Nicholas,-1.115,-0.278,-0.462,-0.161,-0.213,3.816,-0.068
David Law,-1.143,-0.239,-0.611,-0.109,-0.185,1.05,-0.031
Harrison Endycott,-1.147,-0.461,-0.499,-0.036,-0.151,-8.667,0.012
Roger Sloan,-1.158,-0.603,-0.388,-0.083,-0.084,-10.35,0.006
Darren Fichardt,-1.163,-0.206,-0.572,-0.154,-0.231,-16.266,0.067
Chesson Hadley,-1.172,-0.323,-0.502,-0.312,-0.034,0.116,-0.032
Rafael Campos,-1.187,-0.459,-0.46,-0.163,-0.104,2.749,-0.066
Sam Jones,-1.196,-0.099,-0.693,-0.29,-0.115,8.811,-0.073
Andy Ogletree,-1.211,-0.313,-0.679,-0.136,-0.082,1.603,-0.044
Matthis Besard,-1.219,-0.191,-0.841,-0.137,-0.05,-3.428,0.004
Richy Werenski,-1.228,-0.315,-0.747,-0.052,-0.114,-0.798,-0.032
Michael Lorenzo-Vera,-1.252,-0.35,-0.583,-0.099,-0.22,-2.375,-0.029
Peter Malnati,-1.276,-0.817,-0.499,0.215,-0.176,-2.87,-0.092
Carl Yuan,-1.277,-0.158,-0.654,-0.145,-0.321,6.747,-0.055
Hurly Long,-1.288,-0.318,-0.833,0.023,-0.161,-0.665,-0.049
Freddy Schott,-1.298,-0.135,-0.627,-0.41,-0.126,8.25,-0.055
Alfredo Garcia-Heredia,-1.303,-0.242,-0.529,-0.25,-0.282,1.202,-0.051
Ashun Wu,-1.32,-0.601,-0.597,0.037,-0.16,-11.804,0.003
Scott Piercy,-1.338,-0.313,-0.435,-0.165,-0.426,-9.043,0.027
Jannik De Bruyn,-1.345,-0.209,-0.758,-0.138,-0.24,0.696,-0.03
MJ Daffue,-1.349,-0.096,-0.693,-0.273,-0.286,7.507,-0.057
Ryan McCormick,-1.352,-0.424,-0.534,-0.247,-0.148,3.366,-0.064
Adri Arnaus,-1.361,-0.528,-0.725,-0.27,0.162,-2.112,-0.049
Pat Perez,-1.374,-0.8,-0.6,0.032,-0.006,-17.576,0.033
Dale Whitnell,-1.388,-0.484,-0.393,-0.248,-0.263,-6.14,-0.033
Mito Pereira,-1.411,-0.582,-0.489,-0.202,-0.137,5.301,-0.071
Adam Long,-1.425,-0.752,-0.6,0.041,-0.114,-14.92,0.019
Joel Girrbach,-1.433,0.016,-0.635,-0.307,-0.506,-9.177,0.085
Kristian K. Johannessen,-1.439,-0.237,-1.137,-0.121,0.055,-2.385,-0.026
Lee Westwood,-1.453,-0.504,-0.611,0.052,-0.39,-8.158,-0.024
Simon Forsstrom,-1.459,-0.351,-0.477,-0.228,-0.403,-4.431,-0.019
Parker Coody,-1.47,-0.457,-0.475,-0.254,-0.284,4.415,-0.067
Nick Watney,-1.47,-0.663,-0.346,-0.197,-0.264,-0.981,-0.081
Masahiro Kawamura,-1.472,-0.242,-0.685,-0.187,-0.358,-13.139,0.057
Nicolas Colsaerts,-1.504,-0.207,-0.672,-0.15,-0.474,3.771,-0.058
Wilson Furr,-1.51,-0.431,-0.741,-0.154,-0.184,6.896,-0.076
Pedro Figueiredo,-1.521,-0.975,-0.601,-0.119,0.175,-24.867,0.031
Jack Davidson,-1.539,-0.568,-0.531,-0.233,-0.208,-5.981,-0.032
Ross Fisher,-1.549,-0.17,-0.451,-0.449,-0.479,5.304,-0.039
Justin Harding,-1.553,-0.939,-0.643,-0.125,0.153,-8.165,-0.056
Blaine Hale Jr,-1.558,-0.417,-0.526,-0.372,-0.242,5.396,-0.085
Zander Lombard,-1.599,-0.565,-0.823,-0.17,-0.042,4.428,-0.061
Sebastian Friedrichsen,-1.602,-0.456,-0.7,-0.339,-0.108,-6.539,-0.007
Kevin Kisner,-1.622,-0.69,-0.842,-0.001,-0.089,-15.235,0.016
Frederik Kjettrup,-1.656,-0.955,-0.274,-0.332,-0.096,-11.841,-0.028
Jonas Blixt,-1.659,-0.238,-1.343,-0.002,-0.077,-4.159,-0.025
Santiago Tarrio,-1.665,-0.826,-0.347,-0.032,-0.459,-23.951,0.058
Daan Huizing,-1.68,-0.752,-0.78,-0.225,0.077,-12.413,-0.003
Soren Kjeldsen,-1.685,-0.954,-0.39,-0.087,-0.254,-27.909,0.068
Mikael Lindberg,-1.709,-0.01,-1.2,-0.255,-0.243,16.15,-0.08
Jason Dufner,-1.723,-0.512,-0.49,-0.146,-0.575,-9.349,-0.001
Aaron Baddeley,-1.744,-1.366,-0.601,0.269,-0.046,-17.321,-0.048
Brendon Todd,-1.746,-1.094,-1.23,0.21,0.369,-20.289,0.018
John Axelsen,-1.771,-0.487,-0.856,-0.21,-0.218,-4.908,-0.015
Renato Paratore,-1.774,-0.865,-0.911,-0.06,0.063,-2.271,-0.065
Rafa Cabrera Bello,-1.796,-0.518,-1.024,-0.171,-0.083,-9.319,-0.009
Lauri Ruuska,-1.821,-0.274,-0.878,-0.199,-0.47,8.884,-0.081
Louis De Jager,-1.827,-0.684,-0.873,-0.062,-0.209,5.811,-0.114
Robert Streb,-1.831,-0.722,-0.622,-0.139,-0.348,-6.3,-0.039
Alexander Levy,-1.834,-0.462,-1.051,-0.234,-0.088,-5.555,-0.007
Justin Walters,-1.849,-0.391,-0.838,-0.257,-0.362,-1.062,-0.027
Tom Lewis,-1.855,-0.373,-0.673,-0.224,-0.585,1.349,-0.041
James Morrison,-1.858,-0.68,-1.02,-0.065,-0.093,-19.907,0.056
Luke Donald,-1.859,-1.334,-0.685,0.136,0.023,-20.113,-0.015
Matthias Schwab,-1.865,-1.119,-0.634,-0.028,-0.084,-10.106,-0.033
Jimmy Walker,-1.871,-0.636,-0.684,-0.149,-0.402,0.959,-0.075
Will Enefer,-1.882,-0.452,-0.732,-0.405,-0.293,-0.703,-0.03
Gunner Wiebe,-1.893,-0.651,-0.867,-0.296,-0.079,-7.805,-0.028
Kalle Samooja,-1.893,-0.741,-0.64,-0.214,-0.298,-4.382,-0.043
Oliver Wilson,-1.904,-0.82,-1.105,-0.021,0.042,-4.718,-0.069
Ryan Brehm,-1.92,-0.23,-0.831,-0.432,-0.428,8.266,-0.073
Ryan Palmer,-1.936,-0.353,-0.941,-0.161,-0.481,-6.309,-0.011
Sebastian Garcia Rodriguez,-1.968,-0.646,-0.812,-0.231,-0.279,-2.695,-0.057
Alexander Knappe,-1.974,-0.383,-1.341,-0.315,0.066,2.742,-0.066
Ockie Strydom,-1.986,-0.397,-0.895,-0.281,-0.414,-1.627,-0.041
Paul Barjon,-1.995,-0.106,-1.051,-0.604,-0.235,9.14,-0.049
Chase Hanna,-2.025,-0.749,-1.163,-0.195,0.083,-1.157,-0.065
Lorenzo Scalise,-2.045,-0.595,-0.924,-0.266,-0.259,-7.469,-0.015
Matthew Baldwin,-2.076,-0.574,-0.521,-0.31,-0.671,-9.628,0.003
Benjamin Rusch,-2.102,-0.812,-1.113,0.011,-0.189,-12.7,-0.015
Julien Brun,-2.143,-1.34,-0.837,-0.027,0.061,-13.971,-0.052
Nick Bachem,-2.148,-0.633,-1.092,-0.081,-0.343,0.642,-0.074
Cody Gribble,-2.166,-0.472,-0.938,-0.209,-0.547,-2.297,-0.028
Garrick Porteous,-2.168,-0.235,-1.126,-0.529,-0.278,2.631,-0.021
Oliver Bekker,-2.211,-0.363,-0.996,-0.209,-0.643,8.386,-0.078
Anthony Kim,-2.355,-1.037,-0.906,-0.136,-0.275,-4.32,-0.108
Stephen Gallacher,-2.469,-0.762,-1.214,-0.274,-0.218,-7.279,-0.044
Martin Trainer,-2.562,-1.133,-1.375,-0.093,0.04,-1.852,-0.099
Sung Kang,-2.615,-0.948,-1.17,-0.248,-0.249,-10.004,-0.052
Daniel Gavins,-2.647,-1.603,-1.026,-0.041,0.023,-8.292,-0.135
Marc Warren,-3.202,-0.919,-1.582,-0.479,-0.221,-6.709,-0.042
Hudson Swafford,-3.539,-1.41,-1.206,-0.631,-0.291,-3.775,-0.097
Erik Barnes,-4.174,-1.78,-1.814,-0.272,-0.308,-2.728,-0.131
