Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Tommy Gainey,-,-,MC,16,MC,MC^,MC,-,-,MC^,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,6100,1000/1,Bet 365,Further details,MC
Jim Herman,MC,-,63,MC,-,72,71,-,-,-,-,-,-,-,26,MC,72,-,-,MC,-,-,42,MC,6100,1000/1,Bet 365,Further details,MC
Nick Watney,MC,56,MC,MC,MC,MC,MC,-,-,-,-,-,-,-,-,-,64,35,-,MC,10,46,30,70,6000,2000/1,Bet 365,Further details,MC
Ben Crane,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,62,WD,32,-,MC,46,-,-,-,-,6000,2500/1,Bet 365,Further details,56
D.A. Points,-,-,MC,MC,-,-,-,-,-,-,-,-,-,22,-,MC,-,MC,MC,-,-,MC,-,-,6000,4000/1,Bet 365,Further details,MC
Derek Ernst,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,41,MC,57,-,-,-,-,-,-,-,-,6000,1500/1,Bet 365,Further details,MC
Derek Lamely,-,-,MC,MC,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,6000,2500/1,Bet 365,Further details,MC
Kevin Stadler,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,MC,-,6000,4000/1,Bet 365,Further details,MC
Morgan Deneen,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,4000/1,Bet 365,Further details,MC
Ricky Barnes,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,MC,33,MC,MC,57,MC,69,62,23,-,-,6000,2500/1,Bet 365,Further details,MC
Tom Johnson,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,4000/1,Bet 365,Further details,30
Kyle Stanley,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,33,-,-,22,-,-,MC,46,MC,MC,6000,2500/1,Bet 365,Further details,MC
Brian Davis,-,MC^,-,MC,-,-,-,-,-,-,-,-,-,29,33,MC,-,-,43,-,-,-,-,-,-,TBC,Bet 365,Further details,NR
David Hearn,-,-,-,MC,-,MC,-,-,-,-,-,-,-,MC,21,68,MC,MC,54,86,52,14,MC,-,-,TBC,Bet 365,Further details,NR
George McNeill,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,MC,MC,-,-,-,MC,MC,-,-,-,TBC,Bet 365,Further details,NR
J.J. Henry,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,16,MC,61,67,-,MC,-,-,-,-,-,TBC,Bet 365,Further details,NR
Matt Every,-,-,-,MC,-,-,-,-,-,-,-,-,-,MC,-,-,WD,MC,MC,-,MC,MC,-,-,-,TBC,Bet 365,Further details,NR
Omar Uresti,-,-,-,MC,-,MC^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,NR
Richard S. Johnson,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,NR
Robert Garrigus,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,12,MC,-,26,65,MC,-,-,-,-,-,TBC,Bet 365,Further details,NR
Mark Hensby,-,47^,-,21^,-,-,-,-,21^,16^,-,23^,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,NR
Bo Van Pelt,MC^,MC^,-,44,-,MC^,-,MC^,MC^,-,-,-,-,-,-,65,-,-,-,-,62,-,MC,-,-,TBC,Bet 365,Further details,NR
Cyril Bouniol,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,MC
Blake Hathcoat,37^,MC^,-,MC^,65^,39^,MC^,-,-,MC^,MC^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,MC
Jacob Bergeron,MC^,MC^,-,-,MC^,MC^,-,WD^,MC^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,MC
Henry Chung,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,NR
