Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Adam Scott,-,-,14,22,-,-,30,29,MC,12,42,-,-,45,9,4,18,MC,MC,7,38,35,14,MC,6900,Further details,80/1,Bet 365,Further details
Dean Burmester,-,-,1^^,-,-,3^^,14^^,-,12,-,-,18^^,-,-,-,-,-,-,56,MC,-,-,-,-,6800,Further details,100/1,Bet 365,Further details
Keegan Bradley,MC,-,-,22,55,-,-,21,18,2,-,43,-,MC,4,27,MC,60,MC,MC,MC,-,7,MC,6800,Further details,66/1,Bet 365,Further details
Siwoo Kim,-,17,-,30,18,-,13,16,MC,56,-,15,-,-,-,-,-,13,MC,MC,MC,40,MC,39,6800,Further details,90/1,Bet 365,Further details
Austin Eckroat,-,-,33,MC,17,11^^,-,63,18,MC,-,39,-,-,-,-,-,-,-,MC,-,-,-,10,6700,Further details,200/1,Bet 365,Further details
Denny McCarthy,-,-,2,45,28,-,-,6,MC,24,-,39,-,-,-,42,MC,-,-,-,-,-,7,20,6700,Further details,110/1,Bet 365,Further details
Harris English,-,-,MC,22,28,-,-,34,18,MC,-,MC,-,-,48,-,37,46,-,58,4,3,61,8,6700,Further details,125/1,Bet 365,Further details
Thomas Detry,17,2,-,-,28,8^^,MC,-,4,56,-,41,-,-,-,-,-,-,-,-,49,MC,-,-,6700,Further details,150/1,Bet 365,Further details
Sergio Garcia,-,-,2^^,MC,-,40^^,14^^,-,-,-,-,5^^,-,45,35,18,5,21,MC,52,MC,19,MC,27,6700,Further details,125/1,Bet 365,Further details
Billy Horschel,12,7,MC,-,1,MC^^,-,52,8,24,-,15,-,4,23,25,32,MC,-,32,38,MC,MC,43,6600,Further details,150/1,Bet 365,Further details
Daniel Berger,MC,45,-,-,50,MC^^,13,36,-,45,MC,-,-,-,28,-,37,MC,6,49,34,7,MC,-,6600,Further details,250/1,Bet 365,Further details
Nicolai Hojgaard,-,-,75,16,MC,MC^^,-,-,68,MC,35,-,-,-,-,-,-,-,-,-,-,-,-,-,6600,Further details,200/1,Bet 365,Further details
Taylor Moore,12,2,-,20,58,MC^^,-,38,12,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,MC,6600,Further details,250/1,Bet 365,Further details
Akshay Bhatia,17,11,1,35,18,-,-,42,MC,MC,60,22,-,-,-,-,-,-,-,-,-,57,-,-,6500,Further details,150/1,Bet 365,Further details
Kurt Kitayama,-,36,-,35,33,23^^,-,34,26,-,-,MC,-,-,-,-,-,-,-,-,MC,-,MC,MC,6500,Further details,175/1,Bet 365,Further details
Ryan Fox,MC,78,MC,39,-,4^^,MC,4,75,32,7,-,-,-,-,-,-,-,41,MC,MC,-,MC,43,6500,Further details,125/1,Bet 365,Further details
Sepp Straka,MC,-,-,16,5,11^^,-,8,MC,5,-,5,-,-,-,-,-,-,-,28,-,-,MC,MC,6500,Further details,80/1,Bet 365,Further details
Tom Hoge,-,14,-,-,18,MC^^,41,38,23,17,-,45,-,-,-,MC,MC,-,-,43,-,46,MC,MC,6500,Further details,175/1,Bet 365,Further details
Aaron Rai,MC,7,58,-,MC,23^^,4,-,39,32,14,-,-,-,-,-,-,MC,-,-,-,-,-,-,6400,Further details,175/1,Bet 365,Further details
JT Poston,-,-,-,30,5,-,-,60,MC,12,-,22,-,-,-,-,-,MC,-,-,MC,40,-,MC,6400,Further details,200/1,Bet 365,Further details
