Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2014,2015,2016,2017,2018,2019,2020*,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
JT Poston,45,-,-,-,30,5,-,-,60,MC,12,-,-,-,-,-,-,-,52,-,MC,65,37,38,7100,Further details,100/1,Bet 365,Further details
Mackenzie Hughes,26,3,14,-,-,39,-,41,6,MC,-,7,-,-,-,-,45,MC,-,48,6,MC,37,MC,7100,Further details,100/1,Bet 365,Further details
Rickie Fowler,68,-,-,MC,30,18,-,-,43,63,37,-,-,MC,MC,MC,2,8,14,22,MC,11,64,9,7000,Further details,110/1,Bet 365,Further details
Lucas Glover,MC,11,-,25,20,33,-,-,16,43,12,-,-,69,68,33,45,52,52,-,38,37,60,MC,7000,Further details,100/1,Bet 365,Further details
Kurt Kitayama,19,-,36,-,35,33,23^^,-,34,26,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,7000,Further details,100/1,Bet 365,Further details
Justin Rose,MC,-,-,-,MC,44,-,-,52,6,32,-,-,MC,2,-,-,6,13,MC,MC,-,-,-,6900,Further details,110/1,Bet 365,Further details
Akshay Bhatia,MC,17,11,1,35,18,-,-,42,MC,MC,60,-,-,-,-,-,-,-,-,-,-,-,MC,6900,Further details,100/1,Bet 365,Further details
Chris Kirk,26,-,-,-,16,10,-,-,43,MC,MC,-,-,4,36,MC,MC,52,-,MC,-,26,53,MC,6900,Further details,125/1,Bet 365,Further details
Thomas Detry,62,17,2,-,-,28,8^^,MC,-,4,56,-,-,-,-,-,-,-,-,-,-,-,-,48,6800,Further details,125/1,Bet 365,Further details
Victor Perez,-,MC,17,45,-,43,MC^^,-,46,MC,50,3,-,-,-,-,-,-,-,-,MC,MC,-,-,6800,Further details,175/1,Bet 365,Further details
Taylor Moore,31,12,2,-,20,58,MC^^,-,38,12,MC,-,-,-,-,-,-,-,-,-,-,-,MC,-,6800,Further details,125/1,Bet 365,Further details
Eric Cole,MC,33,-,MC,52,33,MC^^,-,68,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,24,6700,Further details,200/1,Bet 365,Further details
Austin Eckroat,45,-,-,33,MC,17,11^^,-,63,18,MC,-,-,-,-,-,-,-,-,-,-,-,-,30,6700,Further details,150/1,Bet 365,Further details
Taylor Pendrith,MC,MC,36,MC,-,11,11^^,1,10,MC,-,21,-,-,-,-,-,-,-,-,-,-,-,60,6700,Further details,150/1,Bet 365,Further details
Adam Schenk,19,33,-,5,12,49,-,13,64,MC,WD,-,-,-,-,-,-,-,65,39,-,-,26,7,6600,Further details,150/1,Bet 365,Further details
Adam Svensson,MC,49,57,51,-,44,-,-,47,43,24,51,-,-,-,-,-,-,-,-,-,-,45,MC,6600,Further details,200/1,Bet 365,Further details
Adam Hadwin,MC,5,-,-,53,42,10^^,-,52,60,-,MC,-,-,57,11,MC,74,52,35,54,MC,18,MC,6600,Further details,150/1,Bet 365,Further details
Andrew Putnam,53,MC,-,14,-,18,MC^^,-,29,53,MC,-,-,-,68,-,-,-,17,58,MC,-,MC,5,6500,Further details,175/1,Bet 365,Further details
Lee Hodges,35,26,-,MC,MC,58,MC^^,-,24,12,12,-,-,-,-,-,-,-,-,-,-,-,-,12,6500,Further details,200/1,Bet 365,Further details
