,Events,Av Score,M19,P19,U19,O19,P20,U20,M20,M21,P21,U21,O21,M22,P22,U22,O22,M23,P23,U23,O23,M24,P24,U24,O24,2025 Odds,Bookmaker,New Account Offer
Tyrrell Hatton,23,71.86,56,48,21,6,MC,MC,MC,18,38,MC,MC,52,13,56,11,34,15,27,20,9,63,26,MC,45/1,Bet 365,Further details
Billy Horschel,22,71.88,56,23,32,MC,43,38,38,50,23,MC,53,43,68,MC,21,52,MC,43,MC,-,8,41,2,125/1,Bet 365,Further details
Robert MacIntyre,15,71.95,-,-,-,6,66,56,-,12,49,35,8,23,77,-,34,-,MC,-,71,-,8,MC,50,50/1,Bet 365,Further details
Aaron Rai,6,71.95,-,-,-,-,-,-,-,-,MC,-,19,-,-,-,MC,-,-,-,-,-,39,19,75,140/1,Bet 365,Further details
Matt McCarty,1,72.00,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,300/1,Bet 365,Further details
Joaquin Niemann,19,72.05,-,MC,-,MC,MC,23,-,40,30,31,59,35,23,47,53,16,MC,32,MC,22,39,-,58,30/1,Bet 365,Further details
Sam Burns,15,72.06,-,29,-,-,-,-,-,-,-,MC,76,MC,20,27,42,29,MC,32,MC,MC,MC,9,31,100/1,Bet 365,Further details
Thriston Lawrence,6,72.10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,-,62,MC,74,-,MC,-,4,300/1,Bet 365,Further details
Nicolai Hojgaard,8,72.17,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,53,-,50,-,23,16,68,50,66,140/1,Bet 365,Further details
Denny McCarthy,11,72.18,-,-,-,-,58,-,-,-,59,-,-,-,48,7,-,-,29,20,MC,45,MC,32,MC,175/1,Bet 365,Further details
Austin Eckroat,6,72.20,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,MC,18,74,66,225/1,Bet 365,Further details
Daniel Berger,12,72.21,-,71,49,-,13,34,-,MC,75,7,8,50,MC,MC,-,-,-,-,-,-,-,21,-,100/1,Bet 365,Further details
Sepp Straka,14,72.23,-,-,28,-,66,-,-,-,-,-,-,30,78,MC,MC,46,7,MC,2,16,MC,56,22,66/1,Bet 365,Further details
Lucas Glover,13,72.25,-,16,MC,20,MC,17,MC,-,-,-,MC,30,23,-,-,-,-,-,-,20,43,MC,MC,200/1,Bet 365,Further details
Davis Thompson,5,72.29,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,MC,MC,-,-,-,9,66,125/1,Bet 365,Further details
Danny Willett,16,72.35,MC,41,12,6,MC,MC,25,MC,64,-,33,12,-,-,53,MC,MC,-,68,45,-,-,-,350/1,Bet 365,Further details
Tom Hoge,15,72.35,-,-,43,-,58,-,-,-,64,46,-,39,9,MC,MC,MC,58,MC,MC,-,23,MC,72,250/1,Bet 365,Further details
Max Homa,20,72.35,-,64,-,-,MC,MC,MC,MC,MC,MC,40,48,13,47,MC,43,55,MC,10,3,35,MC,43,160/1,Bet 365,Further details
Sergio Garcia,18,72.40,MC,MC,52,67,MC,MC,-,MC,MC,19,19,23,MC,MC,68,MC,-,27,-,MC,-,12,-,80/1,Bet 365,Further details
Christiaan Bezuidenhout,16,72.40,-,-,-,MC,MC,55,38,40,30,31,53,44,MC,-,68,-,MC,-,49,-,MC,32,MC,200/1,Bet 365,Further details
Sungjae Im,19,72.43,-,MC,-,MC,MC,22,2,MC,17,35,-,8,-,MC,81,16,MC,MC,20,MC,MC,MC,7,90/1,Bet 365,Further details
Davis Riley,5,72.50,-,-,-,-,-,MC,-,-,-,-,-,-,13,31,-,-,MC,-,MC,-,-,-,-,300/1,Bet 365,Further details
Matthieu Pavon,6,72.67,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,12,MC,5,50,300/1,Bet 365,Further details
Patton Kizzire,6,72.69,18,MC,MC,MC,-,-,-,-,-,-,-,-,75,MC,-,-,-,-,-,-,-,-,-,350/1,Bet 365,Further details
Akshay Bhatia,5,72.69,-,-,-,-,-,-,-,-,-,57,-,-,-,-,-,-,-,-,-,35,MC,16,MC,55/1,Bet 365,Further details
Wyndham Clark,12,72.71,-,-,-,-,MC,-,-,-,75,MC,-,-,-,MC,76,-,MC,1,33,MC,MC,56,MC,70/1,Bet 365,Further details
Nicolas Echavarria,3,72.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,-,-,-,54,-,200/1,Bet 365,Further details
Charl Schwartzel,11,72.86,MC,-,-,-,58,-,25,26,MC,19,-,10,60,-,-,50,-,-,MC,MC,-,-,-,250/1,Bet 365,Further details
JT Poston,15,72.87,-,60,-,-,75,MC,MC,-,MC,40,-,-,-,-,MC,34,40,MC,41,30,MC,32,MC,250/1,Bet 365,Further details
Bubba Watson,14,72.88,12,MC,MC,51,71,31,57,26,80,50,-,39,30,-,-,MC,-,-,-,MC,-,-,-,400/1,Bet 365,Further details
Cameron Davis,8,72.92,-,-,-,-,-,-,-,-,59,-,-,46,48,-,-,-,4,MC,-,12,MC,MC,-,200/1,Bet 365,Further details
Phil Mickelson,21,72.92,18,71,52,MC,71,MC,55,21,1,62,MC,-,-,MC,MC,2,58,MC,MC,43,MC,MC,60,100/1,Bet 365,Further details
Brian Campbell,1,73.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56,-,500/1,Bet 365,Further details
Stephan Jaeger,6,73.05,-,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-,50,-,-,MC,76,21,MC,300/1,Bet 365,Further details
Maverick McNealy,5,73.07,-,-,-,-,-,-,-,-,MC,-,-,-,75,-,-,-,MC,-,-,-,23,-,MC,110/1,Bet 365,Further details
Adam Schenk,9,73.08,-,-,-,-,-,-,-,-,-,-,-,-,41,24,-,-,MC,MC,MC,12,MC,MC,MC,350/1,Bet 365,Further details
Zach Johnson,18,73.19,58,54,58,MC,MC,8,51,MC,MC,MC,-,MC,MC,-,MC,34,58,-,55,MC,-,-,MC,750/1,Bet 365,Further details
Nick Taylor,11,73.19,-,-,43,-,MC,-,29,-,-,-,-,-,-,MC,-,-,MC,MC,MC,MC,MC,MC,MC,200/1,Bet 365,Further details
J.J Spaun,5,73.29,-,54,-,-,-,-,-,-,-,MC,-,23,MC,-,-,-,MC,-,-,-,-,-,-,125/1,Bet 365,Further details
Jose Luis Ballester,1,73.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,500/1,Bet 365,Further details
Bernhard Langer,5,73.79,62,-,-,-,-,-,29,MC,-,-,-,MC,-,-,-,MC,-,-,-,-,-,-,-,1000/1,Bet 365,Further details
Rasmus Hojgaard,6,73.89,-,-,-,-,-,MC,-,-,79,-,-,-,-,-,-,-,MC,-,MC,-,68,-,60,150/1,Bet 365,Further details
Mike Weir,7,74.00,MC,-,MC,-,-,-,51,MC,-,-,-,MC,-,-,-,MC,-,-,-,MC,-,-,-,2500/1,Bet 365,Further details
Michael Kim,4,74.25,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,-,-,-,-,150/1,Bet 365,Further details
Kevin Yu,2,74.25,-,-,MC,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,300/1,Bet 365,Further details
Nick Dunlap,5,74.40,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,MC,-,MC,MC,MC,-,200/1,Bet 365,Further details
Hiroshi Tai,1,74.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,1000/1,Bet 365,Further details
Joe Highsmith,1,74.50,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,300/1,Bet 365,Further details
Jhonattan Vegas,4,74.80,-,MC,MC,-,-,-,-,-,-,57,-,-,MC,-,-,-,-,-,-,-,-,-,-,250/1,Bet 365,Further details
Fred Couples,6,75.93,MC,-,-,-,-,-,MC,MC,-,-,-,MC,-,-,-,50,-,-,-,MC,-,-,-,2500/1,Bet 365,Further details
Jose Maria Olazabal,6,76.44,MC,-,-,-,-,-,MC,50,-,-,-,MC,-,-,-,MC,-,-,-,45,-,-,-,2500/1,Bet 365,Further details
Vijay Singh,6,76.92,MC,-,-,-,-,-,WD,MC,-,-,-,MC,-,-,-,MC,-,-,-,58,-,-,-,2500/1,Bet 365,Further details
Angel Cabrera,1,78.50,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1000/1,Bet 365,Further details
Evan Beck,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1000/1,Bet 365,Further details
Justin Hastings,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500/1,Bet 365,Further details
Noah Kent,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1250/1,Bet 365,Further details
Rafael Campos,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,400/1,Bet 365,Further details
