Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Davis Thompson,23^^,MC,2,-,17,MC,27,9,-,2,1,46,-,-,-,-,-,-,-,-,-,-,-,-,6900,Further details,100/1,Bet 365,Further details
Justin Rose,-,-,52,6,32,-,MC,MC,68,-,-,MC,-,MC,MC,23,6,22,54,2,20,46,-,MC,6900,Further details,150/1,Bet 365,Further details
Louis Oosthuizen,2^^,22^^,-,-,-,-,WD^^,-,13^^,-,-,4^^,-,19,-,36,2,MC,MC,28,20,3,MC,23,6800,Further details,60/1,Bet 365,Further details
Ryan Fox,4^^,MC,4,75,32,7,-,56,-,67,17,57,-,-,-,-,49,-,MC,39,16,67,MC,52,6800,Further details,110/1,Bet 365,Further details
SiWoo Kim,-,13,16,MC,56,-,15,32,31,-,-,26,-,-,-,-,-,-,MC,67,MC,-,15,MC,6800,Further details,110/1,Bet 365,Further details
An Byeong-Hun,-,4,3,43,-,-,22,MC,-,-,-,MC,-,-,-,26,MC,59,MC,51,32,26,-,23,6700,Further details,150/1,Bet 365,Further details
Nicolai Hojgaard,MC^^,-,-,68,MC,35,-,50,-,66,-,39,-,-,-,-,-,-,-,MC,-,-,53,23,6700,Further details,100/1,Bet 365,Further details
Adam Scott,-,30,29,MC,12,42,-,32,39,-,-,2,-,2,3,5,10,43,22,17,MC,46,15,33,6700,Further details,55/1,Bet 365,Further details
Dean Burmester,3^^,14^^,-,12,-,-,18^^,69,25^^,-,-,17^^,-,-,-,-,-,-,-,-,-,40,11,-,6700,Further details,140/1,Bet 365,Further details
Russell Henley,-,-,10,23,-,-,27,7,48,-,-,-,-,-,73,MC,20,MC,37,MC,-,MC,62,MC,6700,Further details,110/1,Bet 365,Further details
Rickie Fowler,-,-,43,63,37,-,MC,MC,20,31,-,MC,-,31,MC,2,30,46,22,28,6,53,-,23,6600,Further details,200/1,Bet 365,Further details
Abraham Ancer,9^^,10^^,-,-,-,-,24^^,-,18^^,-,-,26^^,-,-,-,-,-,-,-,MC,MC,59,11,49,6600,Further details,175/1,Bet 365,Further details
Christiaan Bezuidenhout,3,-,16,MC,17,-,4,32,23,-,-,WD,-,-,-,-,-,-,-,-,MC,53,68,49,6600,Further details,125/1,Bet 365,Further details
Keegan Bradley,-,-,21,18,2,-,43,32,39,-,-,-,-,34,15,19,MC,18,-,79,MC,MC,MC,MC,6600,Further details,200/1,Bet 365,Further details
Adrian Meronk,26^^,10^^,-,MC,-,-,2^^,MC,32^^,-,-,42^^,-,-,-,-,-,-,-,-,-,-,42,23,6500,Further details,250/1,Bet 365,Further details
Jordan L Smith,24,23,-,39,71,34,-,-,-,MC,2,MC,-,-,-,-,-,-,-,MC,-,-,47,41,6500,Further details,300/1,Bet 365,Further details
Tom McKibbin,7,23,-,-,-,8,-,41,6,2,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6500,Further details,150/1,Bet 365,Further details
Billy Horschel,MC^^,-,52,8,24,-,15,41,55,-,-,MC,-,-,MC,MC,30,MC,MC,-,MC,53,21,MC,6500,Further details,200/1,Bet 365,Further details
Rasmus Hojgaard,MC^^,-,-,68,-,MC,20,-,4,-,-,21,-,-,-,-,-,-,-,-,-,-,-,MC,6500,Further details,150/1,Bet 365,Further details
JT Poston,-,-,60,MC,12,-,22,32,55,-,30,-,-,-,-,-,-,-,-,-,-,-,MC,41,6400,Further details,250/1,Bet 365,Further details
Ewen Ferguson,60,-,-,-,-,WD,-,-,27,29,1,MC,-,-,-,-,-,-,-,-,-,-,-,MC,6400,Further details,200/1,Bet 365,Further details
Denny McCarthy,-,-,6,MC,24,-,39,32,31,-,7,MC,-,-,-,-,-,-,-,-,-,-,-,MC,6400,Further details,275/1,Bet 365,Further details
Keita Nakajima,11,-,-,MC,-,6,-,-,-,-,20,MC,-,-,-,-,-,-,-,-,-,-,MC,MC,6400,Further details,350/1,Bet 365,Further details
Tom Hoge,MC^^,41,38,23,17,-,45,MC,3,-,-,MC,-,-,-,-,-,-,-,-,-,-,MC,MC,6400,Further details,200/1,Bet 365,Further details
Kurt Kitayama,23^^,-,34,26,-,-,MC,MC,31,-,-,34,-,-,-,-,-,-,-,-,MC,MC,72,60,6300,Further details,275/1,Bet 365,Further details
Eric Cole,MC^^,-,68,MC,MC,MC,45,MC,48,6,7,46,-,-,-,-,-,-,-,-,-,-,-,-,6300,Further details,400/1,Bet 365,Further details
Adam Hadwin,10^^,-,52,60,-,MC,3,MC,27,-,-,34,-,-,-,-,-,-,MC,35,57,MC,-,-,6300,Further details,250/1,Bet 365,Further details
Sebastian Soderberg,2,3,-,68,-,-,2,-,WD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6300,Further details,300/1,Bet 365,Further details
Harris English,-,-,34,18,MC,-,MC,41,63,-,-,34,-,54,15,MC,68,46,-,-,-,46,MC,MC,6300,Further details,150/1,Bet 365,Further details
Henrik Stenson,51^^,44^^,-,-,-,-,15^^,-,25^^,-,-,27^^,-,-,2,39,40,1,11,35,20,MC,MC,13,6200,Further details,400/1,Bet 365,Further details
Victor Perez,MC^^,-,46,MC,50,3,12,MC,44,-,-,10,-,-,-,-,-,-,-,-,-,MC,34,41,6200,Further details,200/1,Bet 365,Further details
Sam Horsfield,40^^,47^^,-,-,-,-,24^^,-,2^^,-,-,23^^,-,-,-,-,-,-,-,-,-,67,MC,-,6200,Further details,400/1,Bet 365,Further details
Tiger Woods,-,-,-,MC,-,-,-,MC,-,-,-,-,-,3,6,69,MC,-,-,6,MC,-,MC,-,6200,Further details,250/1,Bet 365,Further details
Thorbjorn Olesen,36^^,MC,16,53,-,27,-,-,-,MC,61,39,-,9,MC,64,-,MC,62,12,57,-,-,MC,6200,Further details,350/1,Bet 365,Further details
Taylor Moore,MC^^,-,38,12,MC,-,MC,MC,68,10,-,MC,-,-,-,-,-,-,-,-,-,-,-,MC,6200,Further details,400/1,Bet 365,Further details
Laurie Canter,-,-,-,-,7,1,-,-,37,MC,-,MC,-,-,-,-,-,-,37,-,-,-,79,17,6100,Further details,500/1,Bet 365,Further details
David Puig,40^^,27^^,-,MC,-,-,3^^,55,51^^,-,-,27^^,-,-,-,-,-,-,-,-,-,-,-,-,6100,Further details,450/1,Bet 365,Further details
Stephan Jaeger,-,20,21,76,-,-,MC,21,31,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,Further details,500/1,Bet 365,Further details
Chris Kirk,-,-,43,MC,MC,-,MC,26,63,44,-,-,-,-,-,19,-,MC,-,-,-,MC,42,MC,6100,Further details,400/1,Bet 365,Further details
Matt Wallace,36^^,4,20,43,-,27,-,-,15,MC,-,MC,-,-,-,-,-,-,-,MC,51,40,-,MC,6100,Further details,225/1,Bet 365,Further details
Phil Mickelson,38^^,22^^,-,MC,-,-,37^^,MC,40^^,-,-,27^^,-,MC,1,23,20,2,MC,24,MC,MC,MC,MC,6100,Further details,350/1,Bet 365,Further details
Emiliano Grillo,-,-,64,MC,64,-,27,41,55,-,-,MC,-,-,-,-,-,12,MC,MC,MC,12,MC,6,6000,Further details,400/1,Bet 365,Further details
Matthew Southgate,18,MC,-,-,MC,MC,MC,-,WD,MC,4,MC,-,-,-,MC,-,12,6,67,-,-,-,23,6000,Further details,300/1,Bet 365,Further details
Romain Langasque,MC,35,-,-,2,MC,63,-,MC,-,9,3,-,-,-,-,65,-,-,-,63,MC,-,33,6000,Further details,200/1,Bet 365,Further details
Padraig Harrington,-,19^,8^,MC,17^,-,-,-,1^,-,-,MC,-,39,54,MC,20,36,MC,MC,MC,72,MC,64,6000,Further details,350/1,Bet 365,Further details
