Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2019,2020,2021,2022,2023 DraftKings,New Account Offer,2023 Odds,Bookmaker,New Account Offer,2023 Result
Takumi Kanaya,2^,-,-,-,7^,1^,-,16^,16^,3^,-,27^,-,-,41,7,53,7200,Further details,55/1,Bet 365,Further details,31
Cameron Champ,-,MC,-,-,-,-,-,MC,-,-,9,18,-,-,8,-,8,7100,Further details,66/1,Bet 365,Further details,59
Taylor Montgomery,MC,-,37,-,-,-,-,MC,-,-,-,35,-,-,-,-,-,7100,Further details,75/1,Bet 365,Further details,16
Samuel Stevens,-,-,-,-,-,-,-,-,-,-,MC,46,-,-,-,-,-,7100,Further details,70/1,Bet 365,Further details,59
Sam Ryder,7,38,31,-,-,-,-,14,-,-,51,28,-,-,-,7,36,7000,Further details,66/1,Bet 365,Further details,64
Nate Lashley,57,51,-,-,-,-,-,30,-,-,MC,42,-,WD,-,-,-,7000,Further details,90/1,Bet 365,Further details,41
Dylan Wu,5,51,-,-,-,-,-,14,-,-,MC,MC,-,-,-,-,-,7000,Further details,75/1,Bet 365,Further details,59
Hayden Buckley,-,-,52,-,-,-,-,-,-,-,MC,64,-,-,-,-,5,6900,Further details,100/1,Bet 365,Further details,72
Brandon Wu,57,58,37,-,-,-,-,-,-,-,62,-,-,-,-,-,29,6900,Further details,90/1,Bet 365,Further details,51
KyoungHoon Lee,MC,MC,-,-,-,-,-,14,-,-,MC,7,-,-,-,18,59,6900,Further details,66/1,Bet 365,Further details,41
Matthew Nesmith,MC,62,58,-,-,-,-,MC,-,-,25,42,-,-,-,48,9,6800,Further details,110/1,Bet 365,Further details,15
Keita Nakajima,5^,1^,-,-,35^,4^,3^,-,8^,MC^,-,10^,-,-,-,28,12,6800,Further details,75/1,Bet 365,Further details,51
Davis Riley,-,MC,43,-,-,-,-,-,-,-,MC,28,-,-,-,-,67,6800,Further details,90/1,Bet 365,Further details,31
Mackenzie Hughes,30,MC,58,-,-,-,-,52,-,-,MC,-,-,-,41,4,23,6700,Further details,90/1,Bet 365,Further details,48
David Lipsky,43,45,-,-,-,-,-,30,-,-,51,MC,-,-,-,-,40,6700,Further details,110/1,Bet 365,Further details,51
Harry Hall,MC,MC,-,-,-,-,-,45,-,-,MC,26,-,-,-,-,-,6700,Further details,125/1,Bet 365,Further details,21
Andrew Novak,MC,33,-,-,-,-,-,MC,-,-,MC,MC,-,-,-,-,-,6600,Further details,125/1,Bet 365,Further details,51
Kevin Yu,37,MC,-,-,-,-,-,MC,-,-,MC,MC,-,-,-,-,-,6600,Further details,125/1,Bet 365,Further details,59
William Gordon,MC,MC,-,-,-,-,-,MC,-,-,MC,MC,-,-,-,-,-,6600,Further details,150/1,Bet 365,Further details,21
Zac Blair,13,MC,-,-,-,-,-,52,-,-,MC,42,-,-,-,-,-,6500,Further details,200/1,Bet 365,Further details,38
Aaron Baddeley,7,MC,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,6500,Further details,150/1,Bet 365,Further details,21
Ryutaro Nagano,29^,4^,-,-,2^,15^,19^,-,5^,14^,-,41^,-,-,-,39,-,6500,Further details,200/1,Bet 365,Further details,21
Shugo Imahira,MC^,25^,-,-,28^,4^,63^,4^,-,27^,4^,18^,-,59,66,18,78,6400,Further details,300/1,Bet 365,Further details,68
Yuki Inamori,9^,5^,-,-,MC^,36^,-,20^,11^,8^,1^,18^,-,-,-,35,-,6400,Further details,200/1,Bet 365,Further details,16
Justin Lower,43,MC,-,-,-,-,-,45,-,-,MC,MC,-,-,-,-,-,6400,Further details,150/1,Bet 365,Further details,41
Benjamin Taylor,71,MC,-,-,-,-,-,30,-,-,73,28,-,-,-,-,-,6300,Further details,350/1,Bet 365,Further details,77
David Lingmerth,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6300,Further details,250/1,Bet 365,Further details,73
Tyson Alexander,20,MC,-,-,-,-,-,30,-,-,MC,MC,-,-,-,-,-,6300,Further details,400/1,Bet 365,Further details,76
Satoshi Kodaira,MC,-,-,-,MC^,36^,-,30,-,-,MC,-,-,37,35,57,16,6200,Further details,350/1,Bet 365,Further details,12
Trevor Werbylo,WD,MC,-,-,-,-,-,MC,-,-,MC,56,-,-,-,-,-,6200,Further details,750/1,Bet 365,Further details,68
Robby Shelton IV,MC,MC,-,-,-,-,-,19,-,-,MC,MC,-,-,-,-,-,6200,Further details,200/1,Bet 365,Further details,4
Kaito Onishi,64,-,MC^,MC^,70^,61^,-,-,24^,-,-,48^,-,-,-,-,76,6100,Further details,1000/1,Bet 365,Further details,64
Ryo Ishikawa,5^,MC^,-,-,16^,19^,11^,6^,-,MC^,-,2^,-,51,63,-,-,6100,Further details,250/1,Bet 365,Further details,4
Taiga Semikawa,2^,2^,-,-,MC^,19^,-,6^,MC^,13^,12^,36^,-,-,-,-,-,6100,Further details,150/1,Bet 365,Further details,73
Mikumu Horikawa,22^,25^,-,-,13^,MC^,-,20^,16^,51^,MC^,3^,-,72,66,-,16,6000,Further details,1000/1,Bet 365,Further details,31
Aguri Iwasaki,MC^,MC^,-,-,MC,MC,79^,39^,MC,-,54^,1^,-,-,-,-,67,6000,Further details,1500/1,Bet 365,Further details,73
Young-han Song,11^,13^,-,-,1^,19^,25^,2^,2^,-,2^,51^,-,-,-,-,-,6000,Further details,150/1,Bet 365,Further details,31
Kensei Hirata,1^,MC^,-,-,24^,28^,9^,33^,26^,23^,39^,8^,-,-,-,-,-,6000,Further details,1000/1,Bet 365,Further details,6
