Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Will Zalatoris,-,-,41,MC,42,WD,-,MC,MC,-,-,MC,-,-,-,-,-,-,-,-,-,8,1,-,7000,Further details,100/1,Bet 365,Further details
Thomas Detry,56,-,41,14,55,-,-,26,-,-,9,MC,-,-,-,-,-,-,-,-,-,-,-,61,6900,Further details,100/1,Bet 365,Further details
Max Greyserman,MC,MC,-,21,-,31,26,21,13,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,6900,Further details,100/1,Bet 365,Further details
Maverick McNealy,17,7,-,-,-,44,MC,-,MC,3,-,45,-,-,-,-,-,-,-,-,-,-,31,-,6900,Further details,90/1,Bet 365,Further details
Cameron Davis,56,-,50,MC,48,1,-,26,-,19,-,MC,-,-,-,-,-,-,-,-,-,60,13,6,6800,Further details,110/1,Bet 365,Further details
Tom Hoge,17,-,45,MC,3,-,-,MC,72,MC,-,-,-,-,-,12,34,MC,MC,-,-,-,MC,43,6800,Further details,90/1,Bet 365,Further details
Harris English,MC,-,MC,41,63,-,-,34,50,-,-,-,-,1,MC,45,26,10,MC,-,-,4,-,52,6800,Further details,110/1,Bet 365,Further details
Matthieu Pavon,-,-,MC,5,16,-,-,MC,50,-,58,-,-,-,-,-,-,-,-,-,-,-,-,-,6700,Further details,225/1,Bet 365,Further details
Eric Cole,MC,MC,45,MC,48,6,7,46,31,-,-,7,-,-,-,-,-,-,-,-,-,-,-,31,6700,Further details,100/1,Bet 365,Further details
Nick Dunlap,-,-,12,MC,66,10,MC,-,1,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6700,Further details,125/1,Bet 365,Further details
Justin Rose,32,-,MC,MC,68,-,-,MC,2,-,-,MC,-,-,-,-,-,-,-,11,-,54,MC,20,6600,Further details,125/1,Bet 365,Further details
Benjamin Griffin,MC,2,MC,-,67,31,5,39,MC,MC,-,7,-,-,-,-,-,-,-,-,-,-,-,24,6600,Further details,110/1,Bet 365,Further details
JT Poston,12,-,22,32,55,-,30,-,MC,MC,-,MC,-,-,-,-,-,MC,18,-,30,-,20,24,6600,Further details,125/1,Bet 365,Further details
Stephan Jaeger,-,-,MC,21,31,MC,-,-,MC,-,26,MC,-,-,-,-,-,-,MC,-,-,-,46,20,6500,Further details,150/1,Bet 365,Further details
Denny McCarthy,24,-,39,32,31,-,7,MC,MC,-,-,33,-,-,-,-,-,-,18,-,-,-,20,66,6500,Further details,125/1,Bet 365,Further details
Jhonattan Vegas,-,27,-,-,-,25,20,-,-,1,-,61,-,-,32,MC,-,-,-,-,-,-,MC,-,6500,Further details,125/1,Bet 365,Further details
Victor Perez,50,3,12,MC,44,-,-,10,MC,-,4,33,-,-,-,-,-,-,-,-,65,61,-,-,6400,Further details,125/1,Bet 365,Further details
Erik Van Rooyen,-,42,-,MC,-,6,-,39,-,MC,17,MC,-,-,-,-,-,-,-,-,20,-,-,-,6400,Further details,125/1,Bet 365,Further details
Taylor Moore,MC,-,MC,MC,68,10,-,MC,MC,12,-,52,-,-,-,-,-,-,-,-,-,-,31,5,6400,Further details,140/1,Bet 365,Further details
Adam Hadwin,-,MC,3,MC,27,-,-,34,MC,MC,-,28,-,-,-,-,-,-,-,-,72,-,69,16,6300,Further details,150/1,Bet 365,Further details
Mark Hubbard,65,42,-,50,-,52,32,MC,17,-,-,MC,-,-,-,45,MC,47,-,-,-,-,MC,66,6300,Further details,200/1,Bet 365,Further details
Austin Eckroat,MC,-,39,74,27,-,-,MC,66,MC,-,6,-,-,-,-,-,-,-,-,-,-,-,-,6300,Further details,150/1,Bet 365,Further details
Emiliano Grillo,64,-,27,41,55,-,-,MC,43,24,43,59,-,-,-,-,-,-,-,-,-,-,31,20,6200,Further details,200/1,Bet 365,Further details
Chris Kirk,MC,-,MC,26,63,44,-,-,31,-,-,-,-,-,-,-,-,72,6,-,-,-,MC,16,6200,Further details,150/1,Bet 365,Further details
Mackenzie Hughes,-,7,MC,MC,36,-,-,46,16,19,-,28,-,-,-,-,-,-,MC,-,44,-,46,58,6200,Further details,150/1,Bet 365,Further details
Brendon Todd,50,-,MC,67,36,MC,12,46,31,-,-,12,-,18,-,-,MC,-,-,-,15,-,67,43,6100,Further details,200/1,Bet 365,Further details
Patrick Rodgers,45,-,MC,-,16,31,34,-,5,37,-,33,-,-,-,29,-,MC,-,-,-,-,MC,52,6100,Further details,175/1,Bet 365,Further details
Seamus Power,-,MC,27,MC,20,-,17,65,-,37,-,28,-,-,-,-,-,27,12,-,-,-,MC,66,6100,Further details,175/1,Bet 365,Further details
Nick Taylor,-,MC,27,MC,42,-,-,57,MC,-,30,MC,-,-,-,-,-,-,30,-,35,-,MC,24,6000,Further details,250/1,Bet 365,Further details
Jake Knapp,-,-,MC,MC,48,31,52,-,24,WD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,250/1,Bet 365,Further details
Peter Malnati,37,-,33,MC,70,74,MC,-,65,MC,-,MC,-,-,19,-,MC,72,30,-,-,-,MC,-,6000,Further details,1000/1,Bet 365,Further details
