Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2024 Odds,Bookmaker,New Account Offer
Samuel Stevens,-,23,22,-,6,67,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,24,90/1,Bet 365,Further details
Adam Svensson,25,MC,46,-,39,-,53,-,-,-,-,-,-,-,-,-,-,-,43,-,-,7,41,30,100/1,Bet 365,Further details
Benjamin Griffin,11,MC,22,-,24,8,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,30,45/1,Bet 365,Further details
Brendon Todd,-,MC,75,-,-,57,MC,-,-,-,-,-,-,20,44,MC,-,-,-,21,41,48,21,30,175/1,Bet 365,Further details
Keith Mitchell,MC,MC,-,-,MC,-,MC,-,-,-,-,-,-,-,-,-,-,25,16,MC,14,7,MC,30,75/1,Bet 365,Further details
Kyounghoon Lee,46,5,63,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,MC,MC,19,48,28,30,250/1,Bet 365,Further details
Ryo Hisatsune,25,-,46,-,-,29,17,-,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,225/1,Bet 365,Further details
Charley Hoffman,-,MC,65,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,14,-,-,42,175/1,Bet 365,Further details
Michael Kim,MC,5,-,-,30,12,11,-,-,-,-,-,-,-,-,MC,20,MC,MC,-,65,-,MC,42,80/1,Bet 365,Further details
Nick Hardy,8,MC,-,-,30,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,14,MC,41,42,150/1,Bet 365,Further details
William Gordon,35,MC,-,-,MC,47,30,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,-,28,42,350/1,Bet 365,Further details
Ben Kohles,46,MC,56,-,-,57,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,-,52,400/1,Bet 365,Further details
Erik van Rooyen,43,46,-,-,64,-,-,-,24,42,-,-,-,-,-,-,-,-,-,-,MC,20,-,52,150/1,Bet 365,Further details
Chandler Phillips,MC,MC,33,-,20,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,80/1,Bet 365,Further details
Mark Hubbard,MC,14,41,-,-,3,35,-,-,-,-,-,-,-,60,56,MC,-,-,MC,32,MC,MC,57,110/1,Bet 365,Further details
Greyson Sigg,11,23,-,-,-,9,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,48,66,150/1,Bet 365,Further details
Luke List,MC,41,16,-,54,-,MC,-,-,-,-,-,-,-,-,MC,13,MC,-,MC,MC,-,-,66,300/1,Bet 365,Further details
Webb Simpson,-,MC,-,-,-,-,MC,-,-,-,-,-,-,-,13,13,13,4,-,3,4,61,MC,66,200/1,Bet 365,Further details
Alejandro Tosti,43,9,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,70,TBC,Bet 365,Further details
Joel Dahmen,40,WD,41,-,14,MC,35,-,-,-,-,-,-,-,-,-,-,73,22,12,-,MC,-,72,200/1,Bet 365,Further details
Lanto Griffin,54,29,-,-,60,12,68,-,-,-,-,-,-,-,-,-,-,58,-,7,41,-,-,72,TBC,Bet 365,Further details
Justin Lower,MC,MC,56,-,2,5,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64,-,74,125/1,Bet 365,Further details
Seamus Power,11,MC,13,-,-,23,WD,-,-,-,-,-,-,-,-,-,49,54,MC,-,MC,3,-,74,66/1,Bet 365,Further details
Norman Xiong,63,29,-,-,MC,47,MC,-,MC^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79,TBC,Bet 365,Further details
Aaron Baddeley,MC,MC,-,-,64,70,MC,-,-,-,-,-,-,-,-,-,-,MC,-,-,41,-,7,-,750/1,Bet 365,Further details
Adam Schenk,-,46,67,-,MC,-,53,-,-,-,-,-,-,-,-,-,-,39,MC,MC,MC,MC,67,-,300/1,Bet 365,Further details
Aldrich Potgieter,-,-,-,-,-,-,8,-,2,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,250/1,Bet 365,Further details
Anders Albertson,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,67,-,TBC,Bet 365,Further details
Ben Polland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4000/1,Bet 365,Further details
Braden Thornberry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500/1,Bet 365,Further details
Brian Campbell,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,225/1,Bet 365,Further details
Bud Cauley,MC,34,-,-,-,-,25,-,-,-,-,-,-,MC,-,-,MC,-,-,MC,-,-,-,-,125/1,Bet 365,Further details
Cristobal Del Solar,-,-,-,-,-,-,51,27,42^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,600/1,Bet 365,Further details
Daniel Berger,35,39,-,-,20,62,2,-,-,-,-,-,-,-,13,42,45,14,-,38,7,-,-,-,55/1,Bet 365,Further details
Danny Walker,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,400/1,Bet 365,Further details
Frankie Capan III,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,200/1,Bet 365,Further details
Harry Higgs,-,-,-,-,30,-,34,11,-,-,-,-,-,-,-,-,-,-,-,57,32,MC,MC,-,350/1,Bet 365,Further details
Henrik Norlander,8,MC,-,-,30,57,17,-,-,-,-,-,-,-,-,MC,20,-,-,9,MC,55,-,-,175/1,Bet 365,Further details
Isaiah Salinda,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,300/1,Bet 365,Further details
Jackson Suber,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,350/1,Bet 365,Further details
James Hahn,-,-,-,-,-,MC,MC,-,-,-,-,-,-,46,26,28,36,2,MC,MC,41,-,-,-,1000/1,Bet 365,Further details
Jeremy Paul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,400/1,Bet 365,Further details
Jesper Svensson,27,50,-,-,44,7,-,-,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,125/1,Bet 365,Further details
John Pak,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,750/1,Bet 365,Further details
Kaito Onishi,-,-,77,-,-,58^,28^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,1000/1,Bet 365,Further details
Kelly Walsh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details
Kevin Roy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,200/1,Bet 365,Further details
Kevin Velo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,600/1,Bet 365,Further details
Kris Ventura,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,300/1,Bet 365,Further details
Lee Hodges,8,MC,16,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,110/1,Bet 365,Further details
Luke Clanton,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40/1,Bet 365,Further details
Mac Meissner,25,-,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80/1,Bet 365,Further details
Mackenzie Hughes,-,-,-,-,-,67,5,-,6,-,-,-,-,-,-,-,27,MC,77,MC,19,-,MC,-,60/1,Bet 365,Further details
Mao Matsuyama,MC^,-,-,-,MC^,58^,MC^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2500/1,Bet 365,Further details
Mason Andersen,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1000/1,Bet 365,Further details
Matthew Riedel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details
Max Mcgreevy,11,-,-,-,-,1^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,-,100/1,Bet 365,Further details
Michael Thorbjornsen,MC,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,70/1,Bet 365,Further details
Nicholas Lindheim,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,32,MC,-,-,-,-,-,TBC,Bet 365,Further details
Noah Goodwin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500/1,Bet 365,Further details
Patrick Fishburn,MC,34,37,-,12,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80/1,Bet 365,Further details
Paul Peterson,-,MC^,4^,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,600/1,Bet 365,Further details
Quade Cummins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,200/1,Bet 365,Further details
Ricky Castillo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,400/1,Bet 365,Further details
Rikuya Hoshino,67,50,9,-,37,28,-,-,-,-,-,-,-,-,-,-,-,-,67,45,-,MC,-,-,250/1,Bet 365,Further details
Ryan Gerard,-,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,125/1,Bet 365,Further details
Sam Ryder,40,MC,-,-,30,5,MC,-,-,-,-,-,-,-,-,-,-,58,MC,28,MC,63,MC,-,275/1,Bet 365,Further details
Steven Fisk,-,-,-,-,-,-,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,300/1,Bet 365,Further details
Taylor Dickson,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,350/1,Bet 365,Further details
Taylor Moore,-,29,11,-,MC,-,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100/1,Bet 365,Further details
Thomas Rosenmueller,-,-,-,-,-,-,-,-,MC^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,275/1,Bet 365,Further details
Tim Widing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,300/1,Bet 365,Further details
Tom Kim,-,MC,2,-,-,-,MC^,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,18/1,Bet 365,Further details
Trevor Cone,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,350/1,Bet 365,Further details
Tyler Loree,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details
Will Chandler,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details
William Mouw,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,300/1,Bet 365,Further details
Yuta Sugiura,MC^,-,6,-,34^,52^,43^,14^,62^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,600/1,Bet 365,Further details
Alex Smalley,25,65,-,-,39,29,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,MC,175/1,Bet 365,Further details
Andrew Novak,MC,MC,16,-,-,2,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,12,MC,66/1,Bet 365,Further details
Ben Martin,-,-,-,-,-,-,-,-,-,-,-,-,-,38,51,50,36,7,MC,45,-,-,32,MC,350/1,Bet 365,Further details
Brandt Snedeker,-,-,-,-,-,MC,MC,-,-,-,-,-,-,-,-,2,MC,-,16,12,MC,36,-,MC,600/1,Bet 365,Further details
C.T. Pan,MC,23,6,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,MC,-,-,MC,125/1,Bet 365,Further details
Camilo Villegas,MC,54,-,-,MC,47,MC,-,-,-,-,-,-,-,44,MC,MC,-,-,-,-,MC,-,MC,1000/1,Bet 365,Further details
Carson Young,11,MC,37,-,2,62,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,200/1,Bet 365,Further details
Chad Ramey,21,23,46,-,60,29,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,54,MC,350/1,Bet 365,Further details
Chan Kim,46,MC,54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,MC,125/1,Bet 365,Further details
David Lipsky,MC,41,-,-,6,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,4,MC,175/1,Bet 365,Further details
David Skinns,MC,66,76,-,58,42,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,MC,600/1,Bet 365,Further details
Doug Ghim,25,2,27,-,20,MC,42,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,-,-,MC,80/1,Bet 365,Further details
Gary Woodland,-,9,33,-,-,-,MC,-,-,-,-,-,-,-,3,13,6,7,80,-,-,-,MC,MC,100/1,Bet 365,Further details
Hayden Buckley,MC,MC,-,-,MC,65,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,2,MC,TBC,Bet 365,Further details
J.J Spaun,25,34,6,-,30,-,MC,-,-,-,-,-,-,-,-,-,MC,47,-,MC,MC,MC,12,MC,90/1,Bet 365,Further details
Jacob Bridgeman,46,29,-,-,14,12,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,150/1,Bet 365,Further details
Joe Highsmith,6,16,-,-,5,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,90/1,Bet 365,Further details
Kensei Hirata,17^,-,46,-,47^,25^,16^,17^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,275/1,Bet 365,Further details
Lucas Glover,3,-,-,-,24,42,30,-,-,-,-,-,-,-,76,50,-,-,-,-,-,5,MC,MC,80/1,Bet 365,Further details
Matt Kuchar,-,14,37,-,30,-,MC,-,-,-,-,-,-,8,3,13,-,-,1,MC,MC,7,7,MC,75/1,Bet 365,Further details
Matthias Schmid,5,3,-,-,MC,61,-,-,-,59,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,150/1,Bet 365,Further details
Nate Lashley,61,29,16,-,55,MC,MC,-,-,-,-,-,-,-,-,-,-,39,-,53,MC,MC,7,MC,350/1,Bet 365,Further details
Rico Hoey,21,3,22,-,45,17,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,MC,100/1,Bet 365,Further details
Ryan Palmer,-,MC,-,-,MC,-,-,-,-,-,-,-,-,8,17,13,MC,58,-,4,41,12,32,MC,600/1,Bet 365,Further details
Takumi Kanaya,4^,-,37,-,10^,9^,16^,3^,-,-,-,-,-,-,-,-,-,-,MC,-,MC,MC,-,MC,100/1,Bet 365,Further details
Vincent Norrman,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,500/1,Bet 365,Further details
Vincent Whaley,67,16,-,-,55,5,8,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,17,-,MC,125/1,Bet 365,Further details
Zach Johnson,-,-,-,-,-,-,MC,-,-,-,-,-,-,8,64,9,6,14,MC,28,62,MC,75,MC,300/1,Bet 365,Further details
