Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Austin Eckroat,-,63,18,MC,-,39,74,27,-,-,MC,66,-,-,-,16,-,MC,7200,Further details,80/1,Bet 365,Further details
Dylan Wu,30,16,-,MC,MC,-,-,-,10,MC,31,MC,-,-,-,-,MC,5,7100,Further details,110/1,Bet 365,Further details
Sam Ryder,MC,26,-,MC,MC,-,-,-,MC,34,25,38,-,34,MC,25,MC,7,7100,Further details,80/1,Bet 365,Further details
Chesson Hadley,MC,10,-,MC,51,-,MC,-,MC,32,MC,24,-,MC,MC,58,10,27,7100,Further details,100/1,Bet 365,Further details
Pierceson Coody,MC,54,-,5,35,-,-,-,63,30,2,-,-,-,-,-,-,-,7100,Further details,90/1,Bet 365,Further details
Ryo Hisatsune,13,MC,18,MC,35,-,-,-,31,52,MC,MC,-,-,-,-,-,-,7100,Further details,90/1,Bet 365,Further details
Michael Kim,MC,20,-,MC,14,-,-,-,52,MC,MC,24,-,MC,MC,39,-,MC,7100,Further details,100/1,Bet 365,Further details
Matthias Schmid,MC,MC,-,MC,MC,-,-,15,52,32,MC,57,-,-,-,-,-,20,7000,Further details,110/1,Bet 365,Further details
Hayden Buckley,52,59,-,5,MC,-,-,-,44,34,59,7,-,-,-,-,26,-,7000,Further details,90/1,Bet 365,Further details
Andrew Putnam,-,29,53,MC,-,45,-,44,-,MC,MC,21,-,-,MC,MC,11,-,7000,Further details,110/1,Bet 365,Further details
Cameron Champ,MC,-,-,-,MC,-,-,-,MC,MC,MC,50,-,MC,-,1,16,-,7000,Further details,100/1,Bet 365,Further details
Hayden Springer,MC,MC,-,MC,MC,-,54^,-,10,7,37,MC,-,-,-,-,-,-,7000,Further details,100/1,Bet 365,Further details
Daniel Berger,13,36,-,45,MC,-,21,-,MC,MC,MC,WD,-,15,-,-,-,-,7000,Further details,125/1,Bet 365,Further details
Patton Kizzire,24,10,-,-,MC,-,-,-,20,MC,50,8,-,34,46,39,38,MC,7000,Further details,140/1,Bet 365,Further details
Gary Woodland,-,38,60,45,51,-,MC,-,MC,-,67,50,-,-,-,11,-,MC,7000,Further details,110/1,Bet 365,Further details
Martin Laird,48,MC,-,37,MC,-,-,-,MC,MC,-,21,-,42,-,-,MC,2,6900,Further details,125/1,Bet 365,Further details
Nate Lashley,MC,-,-,MC,42,-,-,-,25,MC,-,38,-,MC,-,MC,MC,57,6900,Further details,125/1,Bet 365,Further details
Alex Smalley,13,20,MC,WD,-,-,-,-,MC,MC,37,33,-,-,-,-,-,-,6900,Further details,125/1,Bet 365,Further details
Benjamin James,-,-,-,-,-,-,MC,-,44,-,-,-,-,-,-,-,-,-,6900,Further details,125/1,Bet 365,Further details
Chandler Phillips,MC,50,-,12,10,-,-,-,67,44,MC,-,-,-,-,-,-,-,6900,Further details,125/1,Bet 365,Further details
Santiago de la Fuente,-,-,-,-,-,-,MC,-,-,-,-,MC,-,-,-,-,-,-,6900,Further details,140/1,Bet 365,Further details
Charley Hoffman,-,-,MC,50,MC,-,-,-,MC,-,57,8,-,MC,MC,-,-,MC,6900,Further details,150/1,Bet 365,Further details
Carson Young,30,32,-,MC,14,-,-,-,MC,5,MC,MC,-,-,-,-,-,MC,6900,Further details,125/1,Bet 365,Further details
Kevin Streelman,MC,36,-,50,57,-,-,-,57,46,MC,-,-,34,-,-,-,2,6800,Further details,175/1,Bet 365,Further details
Zac Blair,MC,-,53,MC,24,-,26,-,MC,46,2,MC,-,-,-,-,-,13,6800,Further details,150/1,Bet 365,Further details
Justin Lower,24,MC,-,MC,MC,-,50,-,25,73,67,-,-,-,-,-,MC,43,6800,Further details,150/1,Bet 365,Further details
Alejandro Tosti,MC,63,73,17,-,-,-,-,WD,MC,MC,53,-,-,-,-,-,-,6800,Further details,160/1,Bet 365,Further details
