Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Vincent Norrman,-,48,-,MC,MC,MC,24,-,1,25,50,58,-,-,-,-,-,-,-,-,-,-,-,-,6700,175/1,Bet 365,Further details,49
Mark Hubbard,75,9,30,6,-,MC,MC,6,-,10,MC,MC,-,-,-,-,45,MC,47,-,-,-,-,MC,6600,175/1,Bet 365,Further details,66
Matt Kuchar,MC,-,62,20,MC,MC,-,67,-,-,43,38,-,-,-,-,-,-,-,-,43,25,-,MC,6600,150/1,Bet 365,Further details,61
J.J Spaun,MC,63,30,-,-,MC,33,-,-,10,37,38,-,-,-,-,-,-,-,-,-,-,-,42,6600,125/1,Bet 365,Further details,24
Lee Hodges,55,29,12,25,-,MC,MC,-,12,MC,1,-,-,-,-,-,-,-,-,-,-,-,-,13,6500,110/1,Bet 365,Further details,31
Patrick Rodgers,29,57,30,-,32,MC,-,MC,MC,2,37,MC,-,-,-,-,29,-,MC,-,-,-,-,MC,6500,125/1,Bet 365,Further details,52
Nick Hardy,MC,48,MC,-,20,38,MC,21,-,63,13,27,-,-,-,-,-,-,-,-,-,-,-,-,6500,175/1,Bet 365,Further details,49
Kurt Kitayama,4,29,MC,-,MC,MC,-,-,54,60,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,6400,150/1,Bet 365,Further details,52
Adam Schenk,MC,2,7,-,MC,MC,7,4,-,MC,-,64,-,-,-,-,-,-,-,MC,-,-,-,31,6400,175/1,Bet 365,Further details,6
Andrew Putnam,MC,29,5,-,43,45,-,-,42,55,-,27,-,-,-,-,MC,-,-,2,24,-,-,5,6400,125/1,Bet 365,Further details,24
Seamus Power,MC,-,41,-,MC,MC,-,13,WD,MC,-,-,-,-,-,-,-,-,27,12,-,-,-,MC,6300,125/1,Bet 365,Further details,66
Tom Hoge,58,52,65,-,MC,60,MC,-,19,MC,20,-,-,-,-,-,12,34,MC,MC,-,-,-,MC,6300,150/1,Bet 365,Further details,43
Sam Stevens,72,29,41,-,43,MC,74,MC,-,39,10,MC,-,-,-,-,-,-,-,-,-,-,-,-,6300,200/1,Bet 365,Further details,37
Nick Taylor,MC,MC,-,1,MC,-,-,MC,19,MC,-,-,-,-,-,-,-,-,-,30,-,35,-,MC,6200,175/1,Bet 365,Further details,24
Davis Riley,MC,MC,54,-,-,45,33,-,35,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,31,6200,250/1,Bet 365,Further details,43
Brandon Wu,MC,-,MC,9,-,MC,MC,-,MC,-,57,58,-,-,-,-,-,-,-,-,-,-,-,MC,6200,300/1,Bet 365,Further details,37
Taylor Montgomery,65,-,41,-,MC,-,-,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,300/1,Bet 365,Further details,37
Hayden Buckley,26,MC,MC,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61,6100,250/1,Bet 365,Further details,52
Benjamin Griffin,MC,52,MC,-,-,MC,33,-,25,MC,20,MC,-,-,-,-,-,-,-,-,-,-,-,-,6100,300/1,Bet 365,Further details,24
Mackenzie Hughes,MC,-,MC,MC,49,WD,-,-,MC,-,30,MC,-,-,-,-,-,-,-,MC,-,44,-,46,6000,300/1,Bet 365,Further details,58
Sam Ryder,MC,MC,56,-,-,MC,40,MC,MC,-,7,38,-,-,-,-,-,-,-,MC,-,-,-,51,6000,300/1,Bet 365,Further details,31
Matthew NeSmith,23,48,MC,-,-,MC,MC,35,-,28,MC,62,-,-,MC,-,-,MC,-,-,-,-,-,MC,6000,300/1,Bet 365,Further details,58
