Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Doc Redman,-,-,-,-,-,-,31,-,MC,41,MC,MC,-,-,-,-,-,-,-,-,-,MC,-,MC,6600,200/1,Bet 365,Further details,MC
Brian Stuard,-,-,-,-,-,-,65,MC,MC,70,-,-,-,-,29,24,MC,-,27,MC,20,66,MC,9,6500,300/1,Bet 365,Further details,MC
Austin Cook,-,-,-,-,-,-,MC,36,53,MC,-,-,-,-,-,-,-,-,-,-,75,61,MC,72,6500,275/1,Bet 365,Further details,MC
Benjamin Silverman,-,-,-,-,-,-,-,-,1^,MC,MC*,-,-,-,-,-,-,-,-,MC,36,-,-,-,6500,250/1,Bet 365,Further details,MC
Henrik Norlander,-,-,-,-,-,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,MC,MC,-,6500,275/1,Bet 365,Further details,MC
Vincent Norrman,-,-,-,-,-,-,MC,54,44,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6500,300/1,Bet 365,Further details,63
Jimmy Walker,-,-,-,-,-,-,MC,MC,13,MC,MC,-,-,67,-,-,-,43,21,33,MC,21,58,MC,6500,225/1,Bet 365,Further details,49
Seung-yul Noh,-,-,-,-,-,-,-,WD^,44,65,WD^,-,-,56,MC,33,MC,65,43,-,-,MC,MC,MC,6500,300/1,Bet 365,Further details,MC
Augusto Nunez,-,5^,-,-,-,-,41,MC,31,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6400,300/1,Bet 365,Further details,71
Brent Grant,-,-,-,-,-,-,MC,MC,25,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6400,250/1,Bet 365,Further details,WD
Cameron Percy,-,MC,-,-,-,-,-,-,MC,WD,-,-,-,-,71,-,-,-,-,-,-,61,MC,-,6400,300/1,Bet 365,Further details,12
Harrison Endycott,18,MC,-,-,-,-,MC,22,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6400,300/1,Bet 365,Further details,26
Paul Haley II,-,-,-,-,-,-,MC,69,63,58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6400,300/1,Bet 365,Further details,MC
Tyson Alexander,-,-,-,-,-,-,31,MC,MC,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6400,350/1,Bet 365,Further details,78
Robert Streb,-,-,-,-,-,-,MC,MC,MC,-,MC,MC,-,-,18,-,59,26,MC,MC,MC,MC,13,72,6400,300/1,Bet 365,Further details,MC
Chad Ramey,-,-,-,-,-,38,54,-,-,70,MC,MC,-,-,-,-,-,-,-,-,-,-,-,MC,6400,400/1,Bet 365,Further details,MC
Martin Trainer,-,-,-,-,-,-,-,MC,MC,20,-,-,-,-,-,-,-,-,-,-,MC,MC,MC,48,6300,400/1,Bet 365,Further details,MC
Jonas Blixt,-,-,-,-,-,-,-,MC^,MC^,20,7^,-,-,-,MC,-,31,MC,MC,-,36,-,-,-,6300,250/1,Bet 365,Further details,MC
Nicolas Echavarria,-,-,-,-,-,-,12,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6300,400/1,Bet 365,Further details,MC
Zac Blair,-,-,-,-,-,-,48,MC,MC,MC,-,-,-,-,-,-,22,MC,MC,-,-,MC,-,-,6300,300/1,Bet 365,Further details,49
Brice Garnett,-,-,-,-,-,-,20,MC,MC,MC,-,-,-,-,-,75,MC,-,-,MC,MC,11,25,MC,6300,600/1,Bet 365,Further details,55
Fabian Gomez,-,34^,-,-,-,-,-,-,3^,65,MC^,-,-,-,64,-,70,MC,MC,MC,-,64,-,MC,6300,300/1,Bet 365,Further details,MC
Kyle Westmoreland,-,-,-,-,-,-,MC,MC,MC,29,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,6300,500/1,Bet 365,Further details,MC
Sunghoon Kang,-,-,-,-,-,-,-,MC,-,29,MC*,-,-,MC,-,-,-,10,52,MC,51,-,MC,MC,6300,500/1,Bet 365,Further details,MC
Scott Brown,-,-,-,-,-,-,-,56^,72,MC,-,-,-,-,-,75,MC,10,57,46,20,MC,MC,-,6300,400/1,Bet 365,Further details,MC
J.B. Holmes,-,-,-,-,-,-,-,-,MC,MC,MC,67,-,56,MC,MC,-,-,-,49,-,-,46,-,6200,500/1,Bet 365,Further details,71
Rory Sabbatini,-,-,-,-,-,-,MC,MC,MC,MC,MC,-,-,62,MC,33,11,MC,MC,17,36,35,MC,48,6200,300/1,Bet 365,Further details,MC
Andrew Landry,-,-,-,-,-,-,-,68,-,WD,MC,-,-,-,-,-,-,-,-,MC,MC,-,MC,-,6200,300/1,Bet 365,Further details,MC
Scott Harrington,-,-,-,-,-,-,MC,MC,69,MC,-,-,-,-,-,-,-,-,-,-,-,MC,53,-,6200,500/1,Bet 365,Further details,26
Trevor Werbylo,-,-,-,-,-,-,MC,41,53,58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6200,500/1,Bet 365,Further details,49
