,Events,Av Score,M17,U17,O17,P17,M18,U18,O18,P18,M19,P19,U19,O19,P20,U20,M20,M21,P21,U21,O21,M22,P22,U22,O22,M23,P23,U23,2023 DraftKings,2023 Odds,Bookmaker,2023 Result
Kalle Samooja,2,74.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,MC,-,-,-,-,5700,750/1,Bet 365,MC
Marco Penge,1,74.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,5600,2500/1,Bet 365,MC
Mateo Fernandez De Oliveira,2,74.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,MC,5500,2500/1,Bet 365,MC
Pablo Larrazabal,6,74.79,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,MC,-,65,MC,6300,450/1,Bet 365,MC
Kazuki Higa,3,74.88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,76,-,5800,1500/1,Bet 365,MC
Oliver Farr,1,75.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,5600,2500/1,Bet 365,MC
Rasmus Hojgaard,3,75.50,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,79,-,-,-,-,-,-,-,MC,-,6900,175/1,Bet 365,MC
Darren Clarke,5,75.80,-,-,MC,-,-,-,MC,-,-,-,-,MC,-,-,-,-,-,-,MC,-,-,-,MC,-,-,-,5600,2000/1,Bet 365,MC
Harrison Crowe,1,76.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,5800,2500/1,Bet 365,MC
John Daly,7,76.07,-,-,MC,MC,-,-,-,MC,-,MC,-,-,-,-,-,-,MC,-,-,-,MC,-,MC,-,-,-,5500,4000/1,Bet 365,MC
Ockie Strydom,1,76.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,5900,2500/1,Bet 365,MC
Sami Valimaki,2,77.00,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,MC,-,-,-,-,-,-,-,-,-,5800,750/1,Bet 365,68
Alejandro Canizares,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5700,1000/1,Bet 365,MC
Alex Fitzpatrick,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5500,750/1,Bet 365,17
Alex Maguire,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5700,1000/1,Bet 365,MC
Brandon Robinson Thompson,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5500,1000/1,Bet 365,59
Christo Lamprecht,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5600,1500/1,Bet 365,74
Connor McKinney,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5500,1500/1,Bet 365,MC
Dan Bradbury,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5700,750/1,Bet 365,MC
Ewen Ferguson,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,200/1,Bet 365,MC
Graeme Robertson,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5500,4000/1,Bet 365,MC
