Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Dylan Frittelli,MC,MC,MC,-,MC,-,-,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,6300,250/1,Bet 365,Further details,MC
Jens Dantorp,MC,47,2,-,MC,MC,-,MC,-,MC,45,MC,-,-,-,-,-,-,-,-,-,-,-,-,6300,350/1,Bet 365,Further details,3
Paul Haley II,MC,MC,MC,-,5,-,MC,MC,MC,83,MC,MC,-,-,MC,-,-,-,-,-,-,-,-,-,6300,350/1,Bet 365,Further details,MC
Robin Sciot-Siegrist,49,52,22,-,MC,-,-,-,62,MC,35,MC,-,-,-,-,-,-,-,-,-,-,-,-,6300,300/1,Bet 365,Further details,MC
Wesley Bryan,MC,-,MC,-,-,-,MC,-,-,-,MC,24,-,-,-,-,-,-,-,-,-,-,-,MC,6300,200/1,Bet 365,Further details,31
Matthias Schwab,MC,MC,MC,-,70,-,MC,-,MC,83,MC,MC,-,-,-,-,-,-,-,-,-,3,-,MC,6300,400/1,Bet 365,Further details,MC
Santiago Tarrio Ben,70,16,50,-,MC,20,MC,-,MC,77,MC,MC,-,-,-,-,-,-,-,-,-,-,-,MC,6300,350/1,Bet 365,Further details,MC
James Morrison,52,MC,7,-,39,-,59,-,MC,28,MC,MC,-,-,-,-,-,-,-,-,-,-,-,26,6200,500/1,Bet 365,Further details,25
Ryan Brehm,-,-,64,-,-,-,MC,-,MC,81,MC,24,-,-,-,-,-,-,48,-,-,MC,23,-,6200,300/1,Bet 365,Further details,MC
Tyson Alexander,MC,MC,MC,-,MC,-,MC,-,MC,MC,MC,33,-,-,-,-,-,-,-,-,-,-,-,-,6200,400/1,Bet 365,Further details,MC
Alexander Knappe,MC,MC,MC,-,MC,MC,44,-,MC,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,6200,400/1,Bet 365,Further details,MC
Frederik Schott,MC,40,MC,-,55,14,-,-,MC,MC,10,MC,-,-,-,-,-,-,-,-,-,-,-,-,6200,350/1,Bet 365,Further details,MC
Trevor Werbylo,30,-,MC,-,-,-,MC,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,6200,300/1,Bet 365,Further details,55
Wil Besseling,MC,26,MC,-,MC,-,-,-,MC,WD,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6200,400/1,Bet 365,Further details,MC
Nicolai von Dellingshausen,-,32,MC,-,MC,59,52,-,MC,MC,45,MC,-,-,-,-,-,-,-,-,-,-,-,MC,6200,350/1,Bet 365,Further details,MC
Martin Trainer,MC,-,MC,-,-,-,72,-,-,MC,MC,62,-,-,-,-,-,-,-,-,MC,MC,MC,39,6100,400/1,Bet 365,Further details,31
Ricky Barnes,MC,-,MC,-,-,-,MC,-,-,-,MC,MC,-,22,62,8,18,59,16,37,MC,MC,DQ,60,6100,TBC,Bet 365,Further details,MC
Brandon Matthews,MC,-,MC,-,-,-,MC,-,-,MC,68,MC,-,-,-,-,-,-,-,-,-,-,-,-,6100,350/1,Bet 365,Further details,MC
Kyle Westmoreland,MC,-,MC,-,MC,5^,MC,-,-,78,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,6100,350/1,Bet 365,Further details,47
Martin Leth Simonsen,MC,MC,MC,-,MC,MC,-,-,MC,57,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,6100,TBC,Bet 365,Further details,MC
Brian Stuard,MC,-,MC,-,-,-,MC,-,-,MC,51,33,-,-,37,72,22,-,MC,MC,-,MC,MC,MC,6100,500/1,Bet 365,Further details,MC
Greg Chalmers,MC,-,70,-,-,-,-,-,-,-,MC,66,-,-,42,42,53,1,18,-,-,MC,34,MC,6100,600/1,Bet 365,Further details,MC
Matt Ryan,41^,48^,-,-,15^,MC^,-,MC^,52^,WD^,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,6100,TBC,Bet 365,Further details,MC
Nick Watney,MC,MC,MC,-,-,-,MC,-,MC,56,MC,MC,-,-,-,8,-,-,MC,-,-,MC,43,MC,6100,400/1,Bet 365,Further details,MC
Michael Gligic,39,-,MC,-,-,-,MC,-,-,MC,MC,62,-,-,-,-,-,-,-,-,-,25,59,31,6000,500/1,Bet 365,Further details,50
Sebastian Garcia Rodriguez,-,MC,MC,-,MC,MC,MC,-,MC,23,MC,MC,-,-,-,-,-,-,-,-,-,-,-,44,6000,600/1,Bet 365,Further details,50
Ethan Cairns,-,-,-,-,-,-,-,-,-,61^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,TBC,Bet 365,Further details,MC
Michael Duncan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,750/1,Bet 365,Further details,MC
