Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2011,2012,2013,2014,2015,2016,2018,2019,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Ryan Moore,7,MC,-,MC,-,-,MC,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6500,250/1,Bet 365,Further details,33
Kevin Roy,MC,-,-,29,33,-,MC,50,MC,-,MC^,MC^^,-,-,-,-,-,MC,-,-,-,-,-,6500,250/1,Bet 365,Further details,18
Austin Cook,MC,-,-,MC,MC,-,MC,13,MC,-,-,MC^^,-,-,-,-,-,-,-,-,-,-,MC,6500,250/1,Bet 365,Further details,39
Kelly Kraft,MC,63,MC,55,-,MC,MC,16,MC,-,MC,MC^^,-,-,-,-,-,-,-,-,-,-,15,6400,500/1,Bet 365,Further details,MC
Michael Gligic,MC,-,-,MC,MC,-,MC,68,WD,-,71^,13^^,-,-,-,-,-,-,-,-,-,-,24,6400,500/1,Bet 365,Further details,39
Sunghoon Kang,29,MC^,-,MC,69,-,-,38,-,-,-,MC^^,-,-,-,-,-,-,-,-,-,-,51,6400,500/1,Bet 365,Further details,MC
Scott Brown,MC,-,-,MC,33,-,-,64,-,-,30^,MC^^,-,MC,-,-,-,-,-,-,-,-,51,6400,500/1,Bet 365,Further details,MC
Harrison Endycott,MC,-,-,26,-,MC,65,58,MC,-,-,MC^^,-,-,-,-,-,-,-,21,9,-,-,6400,300/1,Bet 365,Further details,MC
Paul Haley II,58,-,-,MC,21,-,MC,35,MC,-,-,MC^^,-,-,2,-,-,-,-,-,-,-,-,6400,250/1,Bet 365,Further details,MC
Trevor Cone,MC,-,-,74,70,-,65,MC,MC,-,-,MC^^,-,-,-,-,-,-,-,-,-,-,-,6400,500/1,Bet 365,Further details,70
Jose de Jesus Rodriguez,MC^,37^,-,-,7^,-,-,MC^,MC^,-,MC^,MC^,-,11,MC,36,5,-,MC,-,-,-,-,6400,500/1,Bet 365,Further details,MC
Ricky Barnes,-,MC,-,-,33,-,-,7,MC,-,-,MC^^,-,-,-,-,-,-,-,-,-,-,MC,6400,500/1,Bet 365,Further details,MC
Mateo Fernandez de Oliveira,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,6300,600/1,Bet 365,Further details,MC
Nick Watney,MC,MC,MC,-,57,MC,-,-,MC,-,-,19^^,-,-,-,-,-,-,-,-,-,-,-,6300,600/1,Bet 365,Further details,MC
Kyle Westmoreland,29,-,-,MC,39,-,MC,50,MC,-,-,MC^^,-,-,-,-,-,-,-,-,-,-,-,6300,500/1,Bet 365,Further details,MC
Scott Harrington,MC,-,-,26,29,-,MC,46,MC,-,-,MC^^,-,-,-,-,-,-,-,-,-,-,-,6300,500/1,Bet 365,Further details,MC
William McGirt,MC,-,-,29,57,-,-,MC,-,-,-,MC^^,-,-,-,-,-,-,-,-,-,-,-,6300,500/1,Bet 365,Further details,MC
Jose Toledo,-,1^,-,-,18^,-,-,-,36^,-,2^,-,-,-,MC,15,22,16,13,-,17,28,-,6300,TBC,Bet 365,Further details,MC
Ryan Brehm,MC,MC,MC,14,MC,MC,65,MC,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6300,500/1,Bet 365,Further details,NR
Greg Chalmers,70,-,-,MC,33,-,-,56,-,-,-,MC^^,-,-,-,-,-,-,-,-,-,-,MC,6300,600/1,Bet 365,Further details,MC
Fabian Gomez,65,MC^,-,MC,MC,-,-,MC,MC^,-,60^,35^^,-,-,35,-,-,-,-,-,-,-,MC,6300,500/1,Bet 365,Further details,MC
Wesley Bryan,MC,MC^,-,-,6,-,MC,MC,-,-,MC,33^^,-,-,-,-,-,-,-,-,-,-,33,6200,500/1,Bet 365,Further details,MC
Alvaro Ortiz,-,79^,13^,-,16^,-,-,MC^,35^,-,-,-,-,-,-,MC,-,-,-,21,MC,1,42,6200,500/1,Bet 365,Further details,MC
Brian Stuard,70,-,-,MC,MC,-,MC,MC,MC,-,-,MC^^,-,45,6,-,-,-,-,-,-,-,42,6200,500/1,Bet 365,Further details,MC
Geoff Ogilvy,74,-,-,80,11,-,-,MC,-,-,-,MC^^,-,-,-,-,-,-,-,-,-,-,-,6200,750/1,Bet 365,Further details,39
Kyle Stanley,WD,MC^,-,60,54,-,MC,-,71,-,-,MC^^,-,-,-,-,-,-,-,-,-,-,-,6200,600/1,Bet 365,Further details,MC
Raul Pereda,-,9^,-,-,11^,-,MC^,7^,MC^,-,5^,-,-,-,-,-,-,-,-,-,-,-,-,6200,TBC,Bet 365,Further details,60
Ben Crane,MC,-,-,MC,68,-,-,58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,6200,1000/1,Bet 365,Further details,MC
Richy Werenski,20,MC,-,MC,21,-,27,MC,MC,-,MC,MC^^,-,-,-,-,-,-,-,-,-,-,MC,6200,500/1,Bet 365,Further details,46
Camilo Villegas,MC,MC^,-,MC,48,-,-,64,25^,-,MC^,MC^,-,-,-,-,-,-,-,-,-,-,MC,6200,500/1,Bet 365,Further details,MC
D.A. Points,MC,-,-,-,MC,-,-,38,-,-,-,MC^^,-,-,-,-,-,-,-,-,-,-,67,6100,1500/1,Bet 365,Further details,MC
J.B. Holmes,MC,MC,67,71,-,-,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,600/1,Bet 365,Further details,MC
Kyle Reifers,-,-,-,-,-,-,-,MC^,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,6100,750/1,Bet 365,Further details,MC
Derek Lamely,-,-,-,-,21,-,-,MC^,-,-,-,MC^^,-,-,-,-,-,-,-,-,-,-,-,6100,1500/1,Bet 365,Further details,66
Roberto Lebrija,-,3^,-,-,MC^,-,-,-,-,-,22^,-,-,-,-,-,-,-,-,-,-,-,-,6100,TBC,Bet 365,Further details,MC
Sebastian Vazquez,-,2^,-,-,4^,-,-,-,-,-,5^,-,-,MC,-,15,19,12,1,-,9,-,-,6100,750/1,Bet 365,Further details,55
