Player,Masters,12,11,10,9,8,7,6,5,4,3,2,1,-,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Michael Gligic,-,-,MC,MC,MC,MC,-,-,MC,MC,-,MC,68,-,-,-,-,-,-,-,-,-,-,MC,MC,6100,350/1,Bet 365,Further details,WD
Davis Love III,-,-,-,-,-,-,-,-,-,-,-,67^,-,-,-,-,-,-,44,-,-,-,MC,MC,-,6000,2500/1,Bet 365,Further details,WD
J.B. Holmes,-,-,-,-,MC,MC,MC,67,71,-,-,MC,-,-,11,MC,-,64,-,13,-,MC,71,MC,-,6000,1000/1,Bet 365,Further details,MC
J.J. Wood,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,2500/1,Bet 365,Further details,MC
Brian Gay,-,-,-,-,-,WD,MC,38^,MC,26^,-,15^,41^,-,23,4,61,56,-,MC,6,MC,77,MC,-,6000,1000/1,Bet 365,Further details,NR
Kelly Kraft,-,-,61,-,MC,MC,63,MC,55,-,MC,MC,16,-,-,MC,-,-,-,72,MC,-,MC,44,MC,6000,500/1,Bet 365,Further details,MC
Kyle Stanley,-,-,MC,-,MC,WD,MC^,-,60,54,-,MC,-,-,MC,-,79,MC,-,60,-,-,52,14,MC,6000,500/1,Bet 365,Further details,71
Nick Watney,-,-,-,MC,MC,MC,MC,MC,-,57,MC,-,-,-,-,-,-,-,MC,-,MC,20,MC,MC,MC,6000,1000/1,Bet 365,Further details,MC
Brian Stuard,-,-,65,MC,MC,70,-,-,MC,MC,-,MC,MC,-,-,-,-,-,64,55,MC,36,4,MC,MC,6000,500/1,Bet 365,Further details,MC
Aaron Baddeley,-,-,7,50,MC,37,-,-,MC,34,72,-,46,-,-,-,15,67,20,29,5,16,30,-,18,-,TBC,Bet 365,Further details,NR
Bill Haas,-,-,-,MC,MC,WD,-,-,71,11,-,-,24,-,-,-,-,-,-,-,-,75,-,-,63,-,TBC,Bet 365,Further details,NR
Seung-yul Noh,-,-,-,WD^,44,65,WD^,-,MC,29,-,-,38,-,-,13,46,16,50,MC,MC,-,-,54,63,-,TBC,Bet 365,Further details,NR
Jonathan Byrd,-,-,MC,MC,MC,MC,-,-,MC,48,-,MC,16,-,-,-,MC,-,-,-,-,MC,MC,-,-,-,TBC,Bet 365,Further details,NR
Sean O'Hair,-,-,-,37^,MC,65,-,-,MC,61,-,19,29,-,-,-,-,MC,MC,-,-,2,-,MC,-,-,TBC,Bet 365,Further details,NR
Chris Stroud,-,-,-,-,-,MC,-,-,MC,15,-,-,38,-,MC,24,MC,-,MC,72,MC,WD,MC,-,-,-,TBC,Bet 365,Further details,NR
Cameron Percy,-,-,-,-,MC,WD,-,-,12,MC,-,16,68,-,-,-,37,-,15,MC,62,MC,-,DQ,-,-,TBC,Bet 365,Further details,NR
Satoshi Kodaira,-,-,-,MC,53,29,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,TBC,Bet 365,Further details,64
Dylan Wu,-,-,MC,32,MC,29,-,-,10,48,35,58,16,-,-,-,-,-,-,-,-,-,-,-,MC,-,TBC,Bet 365,Further details,39
Hank Lebioda,-,-,-,MC,MC,15,-,-,MC,21,-,58,64,-,-,-,-,-,-,-,-,-,17,MC,MC,-,TBC,Bet 365,Further details,MC
