Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Davis Riley,-,-,28^^,30,66,-,1,-,MC,-,48,57,-,-,-,-,-,-,-,-,-,-,-,-,7300,Further details,90/1,Bet 365,Further details
Joel Dahmen,-,67,28^^,62,59,-,56,10,-,-,-,25,-,-,-,-,-,-,MC,2,MC,-,-,MC,7300,Further details,110/1,Bet 365,Further details
Seonghyeon Kim,-,36,MC^^,4,50,63,61,MC,-,56,-,MC,-,-,-,-,-,-,-,-,-,-,-,MC,7300,Further details,90/1,Bet 365,Further details
Greyson Sigg,-,9,8^^,MC,13,-,MC,MC,-,56,-,MC,-,-,-,-,-,-,-,-,-,-,16,13,7200,Further details,100/1,Bet 365,Further details
Jhonattan Vegas,-,23,MC^^,MC,-,-,-,27,-,-,-,25,-,MC,-,3,44,-,-,-,37,11,-,-,7200,Further details,80/1,Bet 365,Further details
Justin Lower,-,4,28^^,24,MC,-,MC,MC,-,50,-,25,-,-,-,-,-,-,-,-,-,-,51,-,7200,Further details,110/1,Bet 365,Further details
Christopher Gotterup,-,MC,11^^,24,1,MC,MC,-,MC,-,61,67,-,-,-,-,-,-,-,-,-,-,4,-,7200,Further details,100/1,Bet 365,Further details
Alejandro Tosti,-,33,MC^^,MC,63,73,17,-,-,-,-,WD,-,-,-,-,-,-,-,-,-,-,-,-,7200,Further details,90/1,Bet 365,Further details
KyoungHoon Lee,-,40,11^^,59,-,WD,32,MC,-,-,-,MC,-,-,-,-,-,-,-,-,MC,-,-,MC,7200,Further details,90/1,Bet 365,Further details
Rico Hoey,-,33,MC^^,MC,MC,-,-,MC,-,MC,-,6,-,-,-,-,-,-,-,-,-,-,-,-,7100,Further details,110/1,Bet 365,Further details
Benjamin Silverman,-,MC,MC^^,MC,16,-,32,35,-,-,-,17,-,-,-,-,-,-,-,65,MC,-,-,-,7100,Further details,125/1,Bet 365,Further details
