Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Kevin Roy,MC,-,MC,46,-,-,-,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,6100,600/1,Bet 365,Further details,MC
Scott Harrington,29,-,MC,MC,-,-,-,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,MC,MC,-,6100,1000/1,Bet 365,Further details,69
Nick Watney,11,-,53,MC,-,-,-,-,-,-,-,MC,-,60,4,59,7,MC,MC,58,72,MC,MC,MC,6100,600/1,Bet 365,Further details,MC
Richy Werenski,23,MC,MC,MC,-,-,-,-,-,-,MC,MC,-,-,-,-,-,-,20,MC,MC,73,60,MC,6100,1500/1,Bet 365,Further details,MC
Caleb Surratt,65,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6100,TBC,Bet 365,Further details,MC
Robert Garrigus,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,6,28,64,49,MC,8,-,-,-,-,6100,TBC,Bet 365,Further details,MC
Arjun Atwal,49,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,6000,100/1,Bet 365,Further details,MC
Ben Crane,49,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,68,MC,25,MC,-,MC,-,-,-,6000,1000/1,Bet 365,Further details,MC
Michael Herrera,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,2500/1,Bet 365,Further details,MC
Kyle Stanley,-,-,-,-,-,-,-,-,-,-,MC,-,-,2,MC,MC,67,25,14,51,MC,MC,18,MC,6000,750/1,Bet 365,Further details,MC
Brandon Matthews,MC,WD,MC,MC,-,-,-,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,6000,1250/1,Bet 365,Further details,MC
Kyle Westmoreland,MC,MC,27,MC,-,-,-,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,6000,1500/1,Bet 365,Further details,MC
Trevor Cone,MC,-,-,54,-,-,-,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,6000,1000/1,Bet 365,Further details,MC
Brent Grant,35,MC,MC,54,-,-,-,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,MC,6000,1000/1,Bet 365,Further details,25
Martin Trainer,MC,-,-,54,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,MC,WD,MC,6000,1500/1,Bet 365,Further details,MC
Michael Block,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,82,MC,-,-,MC,-,MC,-,MC,6000,2000/1,Bet 365,Further details,MC
Harrison Kingsley,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,TBC,Bet 365,Further details,MC
Spencer Levin,-,-,-,-,-,-,-,-,-,-,-,-,-,43,-,MC,11,MC,MC,-,-,-,-,-,6000,TBC,Bet 365,Further details,MC
Grayson Murray,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,75,62,55,79,-,-,TBC,Bet 365,Further details,WD^
Greg Chalmers,65,-,-,MC^,7,MC,-,-,-,-,-,-,-,33,MC,-,MC,-,MC,-,-,-,-,-,-,TBC,Bet 365,Further details,NR
Tommy Gainey,WD,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,MC^
Vaughn Taylor,MC,-,-,MC,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,NR
Kevin Chappell,MC,-,-,MC,-,-,-,-,-,-,-,MC,-,52,MC,47,MC,-,MC,-,-,-,-,46,-,TBC,Bet 365,Further details,NR
Sunghoon Kang,MC,-,-,MC,-,-,-,-,-,-,-,MC,-,MC,-,-,-,MC,MC,69,20,16,-,MC,-,TBC,Bet 365,Further details,NR
