Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Tom Kim,24,-,62,52,WD,-,-,MC,30,18,-,52,-,-,-,-,-,-,-,-,-,-,-,23,7000,Further details,66/1,Bet 365,Further details
JT Poston,10,-,66,55,45,-,-,-,30,5,-,-,-,-,-,-,-,-,24,MC,MC,26,9,MC,7000,Further details,60/1,Bet 365,Further details
Rickie Fowler,35,-,41,36,68,-,-,MC,30,18,-,-,-,1,73,38,-,4,-,21,4,MC,21,14,6900,Further details,50/1,Bet 365,Further details
Keegan Bradley,MC,-,-,36,MC,MC,-,-,22,55,-,-,-,MC,-,-,-,-,-,76,MC,18,2,35,6900,Further details,66/1,Bet 365,Further details
Andrew Putnam,44,-,-,8,53,MC,-,14,-,18,MC^^,-,-,-,-,-,MC,-,-,82,-,43,MC,-,6800,Further details,90/1,Bet 365,Further details
Kurt Kitayama,39,-,-,MC,19,-,36,-,35,33,23^^,-,-,-,-,-,-,-,-,-,-,-,15,MC,6800,Further details,80/1,Bet 365,Further details
Taylor Moore,31,-,-,48,31,12,2,-,20,58,MC^^,-,-,-,-,-,-,-,-,-,-,-,64,27,6700,Further details,100/1,Bet 365,Further details
Adam Hadwin,4,-,-,52,MC,5,-,-,53,42,10^^,-,-,-,-,-,MC,61,-,16,38,MC,-,MC,6700,Further details,90/1,Bet 365,Further details
Lucas Glover,35,-,35,30,MC,11,-,25,20,33,-,-,-,MC,27,MC,28,8,52,MC,31,MC,MC,MC,6700,Further details,80/1,Bet 365,Further details
Austin Eckroat,-,38,1,36,45,-,-,33,MC,17,11^^,-,-,-,-,-,-,-,-,-,-,-,-,64,6600,Further details,100/1,Bet 365,Further details
Justin Rose,-,-,64,MC,MC,-,-,-,MC,44,-,-,-,-,-,5,-,3,-,-,3,-,-,-,6600,Further details,100/1,Bet 365,Further details
Mackenzie Hughes,31,MC,-,30,26,3,14,-,-,39,-,41,-,-,-,-,-,MC,31,59,MC,MC,9,MC,6600,Further details,100/1,Bet 365,Further details
Brendon Todd,31,-,MC,6,MC,33,-,5,-,58,-,-,-,MC,-,MC,-,MC,MC,-,18,-,-,8,6500,Further details,100/1,Bet 365,Further details
Jake Knapp,-,1,4,57,45,-,MC,-,55,62,-,8,-,-,-,-,-,-,-,-,-,-,-,-,6500,Further details,140/1,Bet 365,Further details
Matthieu Pavon,-,-,28,52,MC,5,-,-,12,49,30,-,-,-,-,-,-,-,-,-,-,-,-,-,6500,Further details,100/1,Bet 365,Further details
Cameron Davis,49,-,-,18,MC,-,21,-,12,49,-,-,-,-,-,-,-,-,-,-,MC,26,MC,59,6400,Further details,100/1,Bet 365,Further details
Eric Cole,10,-,MC,21,MC,33,-,MC,52,33,MC^^,-,-,-,-,-,-,-,-,-,-,-,-,MC,6400,Further details,90/1,Bet 365,Further details
Patrick Rodgers,MC,6,-,25,MC,MC,74,WD,-,5,-,-,-,-,-,-,2,MC,MC,34,-,37,-,MC,6400,Further details,125/1,Bet 365,Further details
Emiliano Grillo,44,33,-,8,54,-,-,-,MC,64,-,-,-,-,-,-,-,61,42,9,-,14,-,23,6300,Further details,150/1,Bet 365,Further details
Adam Svensson,10,-,MC,MC,MC,49,57,51,-,44,-,-,-,-,-,-,-,-,-,-,MC,-,MC,27,6300,Further details,250/1,Bet 365,Further details
Webb Simpson,-,-,-,30,MC,54,-,45,-,42,-,-,-,4,32,38,2,MC,MC,21,18,-,MC,64,6300,Further details,200/1,Bet 365,Further details
Seamus Power,31,-,-,21,64,26,-,MC,-,12,-,MC,-,-,-,-,-,-,49,27,13,54,MC,18,6200,Further details,200/1,Bet 365,Further details
Nick Taylor,39,-,-,12,26,64,-,-,MC,49,10^^,-,-,-,-,-,MC,MC,8,MC,54,26,15,-,6200,Further details,150/1,Bet 365,Further details
Kevin Tway,-,-,-,32,-,MC,-,37^,-,3,11^^,9,-,-,-,65,-,-,5,MC,-,72,MC,MC,6200,Further details,400/1,Bet 365,Further details
Gary Woodland,39,-,MC,-,72,MC,21,-,MC,64,MC^^,-,-,-,61,18,4,24,-,MC,WD,5,MC,14,6100,Further details,400/1,Bet 365,Further details
Matt Kuchar,MC,-,MC,-,MC,49,-,MC,-,-,MC^^,MC,-,-,-,-,-,-,-,-,-,-,49,23,6100,Further details,250/1,Bet 365,Further details
Lee Hodges,24,-,MC,12,35,26,-,MC,MC,58,MC^^,-,-,-,-,-,-,-,-,-,-,-,MC,MC,6100,Further details,250/1,Bet 365,Further details
Ben Kohles,-,WD,MC,3,MC,MC,-,78,-,MC,28^^,2,-,-,MC,MC,-,-,-,-,-,-,59,-,6000,Further details,300/1,Bet 365,Further details
Nick Dunlap,MC,-,53,48,MC,-,11,-,MC,69,-,30,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,250/1,Bet 365,Further details
Grayson Murray,MC,-,-,25,42,-,-,MC,51,39,-,-,-,-,-,-,-,-,63,59,-,MC,-,-,6000,Further details,400/1,Bet 365,Further details
Peter Malnati,-,-,9,-,68,1,36,-,MC,49,19^^,-,-,-,-,MC,-,MC,MC,34,MC,43,51,-,6000,Further details,250/1,Bet 365,Further details
