Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
David Lipsky,WD,-,-,-,-,-,-,4,MC,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,MC,6500,275/1,Bet 365,Further details,62
Adam Schenk,MC,-,-,-,-,-,-,67,MC,20,37,23,-,-,-,-,-,-,-,53,MC,47,-,MC,6400,250/1,Bet 365,Further details,50
Adam Long,MC,-,-,-,-,-,-,48,MC,73,48,42,-,-,-,-,-,-,-,-,MC,MC,MC,75,6400,400/1,Bet 365,Further details,50
Benjamin Taylor,21,-,-,-,-,-,-,4,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,6400,350/1,Bet 365,Further details,58
Danny Willett,WD,-,-,-,-,-,-,-,MC,-,41,-,-,-,-,-,-,-,-,-,33,MC,-,-,6400,250/1,Bet 365,Further details,18
Chez Reavie,-,-,-,-,-,-,35,41,MC,-,-,MC,-,MC,-,-,-,7,MC,73,MC,10,MC,10,6400,300/1,Bet 365,Further details,MC
Matthew NeSmith,MC,-,-,-,-,-,-,-,MC,MC,55,MC,-,-,-,-,-,-,-,-,-,-,20,55,6400,350/1,Bet 365,Further details,MC
Patton Kizzire,35,-,-,-,-,-,-,76,11,MC,-,MC,-,-,-,-,-,52,70,-,-,-,-,61,6400,300/1,Bet 365,Further details,MC
Justin Lower,MC,-,-,-,-,-,-,-,41,MC,MC,50,-,-,-,-,-,-,-,-,-,-,-,-,6300,400/1,Bet 365,Further details,MC
Danny Lee,21,-,-,-,-,-,-,48,16,MC,-,57,-,MC,-,-,69,MC,MC,MC,MC,MC,52,21,6300,500/1,Bet 365,Further details,MC
Nate Lashley,MC,-,-,-,-,-,-,7,MC,-,WD,61,-,-,-,-,-,-,-,-,-,MC,57,-,6300,400/1,Bet 365,Further details,20
Stewart Cink,MC,-,-,-,-,-,-,20,41,-,-,65,-,67,27,MC,-,45,28,-,-,-,MC,-,6300,400/1,Bet 365,Further details,MC
Peter Malnati,MC,-,-,-,-,-,-,MC,MC,20,4,MC,-,-,-,-,-,MC,64,MC,44,MC,MC,26,6300,350/1,Bet 365,Further details,20
Callum Tarren,2,-,-,-,-,-,-,-,MC,25,65,MC,-,-,-,-,-,-,-,-,-,-,-,-,6300,350/1,Bet 365,Further details,MC
