Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Padraig Harrington,60,53,-,7^,5^,10,-,-,-,33^,-,5^,-,18,MC,MC,MC,13,MC,MC,MC,-,4,MC,6700,400/1,Bet 365,Further details,50
Alexander Noren,-,61,MC,-,52,15,MC,-,-,MC,MC,-,-,66,MC,-,-,49,67,MC,54,22,55,MC,6700,350/1,Bet 365,Further details,MC
Stephan Jaeger,14,-,44,27,-,-,-,MC,-,18,27,11,-,-,-,-,-,-,-,-,-,-,-,-,6700,175/1,Bet 365,Further details,50
Brendan Steele,5^,-,-,2^^,-,36^^,-,-,26^^,27^^,-,-,-,-,-,58,12,MC,MC,MC,-,22,77,9,6600,300/1,Bet 365,Further details,MC
Harold Varner III,27^,-,-,24^^,-,16^^,29,-,11^^,9^^,-,-,-,-,-,-,-,MC,-,-,36,29,49,48,6600,225/1,Bet 365,Further details,29
Callum Shinkwin,-,-,-,-,-,-,-,-,MC^^,-,9,MC,-,-,-,-,-,-,-,-,-,-,-,-,6600,600/1,Bet 365,Further details,MC
Mark Hubbard,42,-,35,MC,29,MC,-,11,MC^^,18,27,-,-,-,-,-,-,-,-,-,-,51,-,-,6600,500/1,Bet 365,Further details,75
Hayden Buckley,MC,MC,MC,-,-,10,-,5,26^^,-,43,-,-,-,-,-,-,-,-,-,-,-,-,-,6600,250/1,Bet 365,Further details,26
Nick Hardy,MC,MC,MC,MC,13,28,-,MC,1^^,-,68,-,-,-,-,-,-,-,-,-,-,-,-,-,6600,400/1,Bet 365,Further details,MC
Matt Wallace,29,-,MC,7,1,28,-,MC,MC^^,MC,MC,-,-,-,-,-,-,-,-,19,3,77,55,-,6600,400/1,Bet 365,Further details,65
Adam Svensson,49,24,13,-,52,-,MC,41,-,-,27,-,-,-,-,-,-,-,-,-,-,-,-,-,6600,300/1,Bet 365,Further details,40
Joel Dahmen,-,MC,60,61,50,-,-,MC,11^^,-,MC,-,-,-,-,-,-,-,-,-,71,10,55,MC,6600,400/1,Bet 365,Further details,69
Callum Tarren,MC,MC,MC,-,-,MC,-,MC,MC^^,MC,64,-,-,-,-,-,-,-,-,-,-,-,-,-,6600,600/1,Bet 365,Further details,29
Adri Arnaus,-,-,30,2,MC,-,-,-,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,30,6500,750/1,Bet 365,Further details,MC
Adam Schenk,42,31,MC,2,-,MC,-,31,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,41,6500,500/1,Bet 365,Further details,MC
Ryan Fox,-,14,27,-,17,MC,26,WD,-,-,-,-,-,-,-,-,-,-,54,27,MC,-,-,54,6500,250/1,Bet 365,Further details,23
Thorbjorn Olesen,6,-,-,-,-,-,-,-,32^^,-,40,3,-,27,40,30,-,MC,44,56,64,-,-,-,6500,450/1,Bet 365,Further details,MC
Justin Suh,5,24,6,45,31,-,-,73,23^^,-,59,MC,-,-,-,-,-,-,-,-,-,-,-,-,6500,400/1,Bet 365,Further details,26
Nick Taylor,-,MC,MC,10,31,15,-,41,2^^,-,-,-,-,-,-,-,68,-,-,-,-,MC,-,-,6500,300/1,Bet 365,Further details,MC
Rasmus Hojgaard,-,-,-,-,-,-,-,-,16,MC,47,-,-,-,-,-,-,-,-,-,-,-,79,-,6500,300/1,Bet 365,Further details,MC
Kevin Kisner,-,MC,75,MC,31,-,MC,WD,-,-,-,-,-,-,-,-,MC,18,7,12,MC,19,MC,MC,6500,750/1,Bet 365,Further details,MC
Zach Johnson,12,68,-,MC,-,-,34,54,MC^^,-,MC,-,-,70,8,69,MC,33,48,19,54,MC,MC,MC,6500,500/1,Bet 365,Further details,58
