Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,New Account Offer,2023 Odds,Bookmaker,New Account Offer,2023 Result
Carl Yuan,-,-,20,MC,MC,MC,-,-,MC,MC,-,63,-,-,-,-,-,-,-,-,7200,Further details,80/1,Bet 365,Further details,NR
Santiago Tarrio Ben,-,-,-,50,MC,MC,58,MC,13,-,3,-,-,-,-,-,-,-,-,-,7200,Further details,60/1,Bet 365,Further details,MC
Augusto Nunez,-,-,41,MC,31,48,-,-,71,15,-,MC,-,-,2,60,-,-,-,-,7200,Further details,50/1,Bet 365,Further details,26
Tano Goya,-,-,MC,26,53,55,-,-,55,11,-,MC,-,-,-,-,-,-,-,-,7200,Further details,80/1,Bet 365,Further details,35
Kevin Chappell,-,-,-,MC,-,MC,-,-,29,15,-,-,-,-,-,-,-,MC,-,15,7100,Further details,100/1,Bet 365,Further details,16
Seung-yul Noh,-,-,-,WD^,44,65,WD^,-,MC,29,-,-,-,-,-,-,-,-,-,36,7100,Further details,110/1,Bet 365,Further details,38
Brice Garnett,-,-,20,MC,MC,MC,-,-,55,48,-,MC,-,-,MC,1,39,61,9,58,7100,Further details,80/1,Bet 365,Further details,8
Paul Haley II,-,-,MC,69,63,58,-,-,MC,21,-,MC,-,-,-,-,-,-,-,-,7100,Further details,110/1,Bet 365,Further details,35
Russell Knox,-,-,67,54,-,41,MC,MC,MC,-,MC,MC,-,-,-,-,-,-,-,-,7100,Further details,75/1,Bet 365,Further details,58
Harrison Endycott,-,-,MC,22,MC,MC,-,-,26,-,MC,65,-,-,-,-,-,-,-,-,7000,Further details,70/1,Bet 365,Further details,58
Chris Stroud,-,-,-,-,-,MC,-,-,MC,15,-,-,-,-,-,-,2,MC,-,-,7000,Further details,125/1,Bet 365,Further details,38
Carson Young,-,-,MC,MC,MC,WD,-,-,29,3,-,MC,-,-,-,-,-,-,-,-,7000,Further details,125/1,Bet 365,Further details,38
Kevin Roy,-,-,MC,MC,MC,MC,-,-,29,33,-,MC,-,-,-,-,-,-,-,-,7000,Further details,110/1,Bet 365,Further details,50
Matthias Schmid,-,-,MC,6,MC,MC,-,-,MC,33,-,MC,-,-,-,-,-,-,-,-,7000,Further details,125/1,Bet 365,Further details,MC
Jason Dufner,-,-,-,MC,MC,WD,32,-,74,44,-,36,-,-,-,-,-,-,-,28,6900,Further details,140/1,Bet 365,Further details,58
Austin Cook,-,-,MC,36,53,MC,-,-,MC,MC,-,MC,-,41,MC,-,-,-,-,58,6900,Further details,125/1,Bet 365,Further details,13
Jonas Blixt,-,-,-,MC^,MC^,20,7^,-,MC,64,-,-,-,-,-,-,22,-,-,-,6900,Further details,125/1,Bet 365,Further details,MC
Austin Eckroat,-,-,31,MC,MC,MC,-,-,MC,MC,-,MC,-,-,-,-,-,-,-,-,6900,Further details,100/1,Bet 365,Further details,5
Brent Grant,-,-,MC,MC,25,20,-,-,WD,40,-,MC,-,-,-,-,-,-,-,-,6900,Further details,125/1,Bet 365,Further details,8
Ryan Moore,-,-,MC,MC,-,7,MC,-,MC,-,-,MC,-,-,-,-,-,-,-,-,6900,Further details,80/1,Bet 365,Further details,MC
Rafael Campos,-,-,-,MC^,12^,54^,MC^,-,-,48,-,-,-,MC,3,MC,MC,MC,2,28,6800,Further details,150/1,Bet 365,Further details,38
Scott Brown,-,-,-,56^,72,MC,-,-,MC,33,-,-,-,-,-,-,-,56,43,28,6800,Further details,125/1,Bet 365,Further details,64
Richy Werenski,-,-,MC,MC,MC,20,MC,-,MC,21,-,27,-,33,-,45,-,-,-,-,6800,Further details,125/1,Bet 365,Further details,MC
Tyson Alexander,-,-,31,MC,MC,48,-,-,78,MC,MC,65,-,-,-,-,-,-,-,-,6800,Further details,125/1,Bet 365,Further details,26
Angel Hidalgo Portillo,-,-,-,MC,8,28,-,MC,10,-,75,-,-,-,-,-,-,-,-,-,6800,Further details,125/1,Bet 365,Further details,MC
Sang-moon Bae,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,59,28,67,-,6800,Further details,110/1,Bet 365,Further details,72
Michael Gligic,-,-,MC,MC,MC,MC,-,-,MC,MC,-,MC,-,-,-,-,-,MC,4,36,6700,Further details,200/1,Bet 365,Further details,68
Trevor Werbylo,-,-,MC,41,53,58,-,-,49,40,-,27,-,-,-,-,-,-,-,-,6700,Further details,150/1,Bet 365,Further details,64
Erik Compton,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,-,-,-,-,-,6700,Further details,110/1,Bet 365,Further details,29
Scott Harrington,-,-,MC,MC,69,MC,-,-,26,29,-,MC,-,28,25,-,-,14,63,-,6700,Further details,150/1,Bet 365,Further details,46
Grayson Murray,-,-,-,37^,WD^,MC,-,-,MC,15,-,-,-,-,-,-,12,MC,69,MC,6700,Further details,150/1,Bet 365,Further details,MC
Kelly Kraft,-,-,61,-,MC,MC,63,MC,55,-,MC,MC,-,-,-,3,5,14,MC,MC,6700,Further details,125/1,Bet 365,Further details,16
Jonathan Byrd,-,-,MC,MC,MC,MC,-,-,MC,48,-,MC,-,-,30,54,4,28,63,36,6600,Further details,225/1,Bet 365,Further details,16
Bill Haas,-,-,-,MC,MC,WD,-,-,71,11,-,-,-,-,-,-,-,MC,MC,44,6600,Further details,200/1,Bet 365,Further details,24
Geoff Ogilvy,-,-,-,-,MC^,74,-,-,80,11,-,-,-,-,-,22,-,-,-,-,6600,Further details,175/1,Bet 365,Further details,MC
William McGirt,-,-,-,-,MC,MC,-,-,29,57,-,-,-,-,-,-,-,-,-,-,6600,Further details,200/1,Bet 365,Further details,MC
Kyle Westmoreland,-,-,MC,MC,MC,29,-,-,MC,39,-,MC,-,-,-,-,-,-,-,-,6600,Further details,160/1,Bet 365,Further details,50
Sunghoon Kang,-,-,-,MC,-,29,MC^,-,MC,69,-,-,-,-,-,-,-,-,-,MC,6600,Further details,275/1,Bet 365,Further details,38
Brian Stuard,-,-,65,MC,MC,70,-,-,MC,MC,-,MC,-,-,-,-,MC,33,69,7,6500,Further details,150/1,Bet 365,Further details,MC
Wesley Bryan,-,-,-,MC,-,MC,MC^,-,-,6,-,MC,-,-,-,-,-,-,-,15,6500,Further details,140/1,Bet 365,Further details,MC
Ryan Brehm,-,35,41,MC,MC,MC,MC,MC,14,MC,MC,65,-,41,-,35,-,33,34,-,6500,Further details,140/1,Bet 365,Further details,MC
Trevor Cone,-,-,MC,MC,MC,MC,-,-,74,70,-,65,-,-,-,-,-,-,-,-,6500,Further details,225/1,Bet 365,Further details,MC
Brandon Matthews,-,-,MC,MC,MC,MC,-,-,55,40,-,MC,-,-,-,-,-,-,-,-,6500,Further details,175/1,Bet 365,Further details,35
Fabian Gomez,-,-,-,-,3^,65,MC^,-,MC,MC,-,-,-,-,-,22,MC,41,56,MC,6500,Further details,160/1,Bet 365,Further details,MC
Martin Trainer,-,-,-,MC,MC,20,-,-,MC,64,-,MC,-,-,MC,-,-,MC,56,7,6400,Further details,275/1,Bet 365,Further details,22
Greg Chalmers,-,-,-,-,-,70,-,-,MC,33,-,-,-,MC,-,MC,-,-,MC,28,6400,Further details,200/1,Bet 365,Further details,56
D.J. Trahan,-,-,-,-,-,-,-,-,-,44,-,-,-,-,MC,60,10,52,52,50,6400,Further details,250/1,Bet 365,Further details,MC
Thomas Longbella,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6400,Further details,250/1,Bet 365,Further details,MC
Derek Ernst,-,-,-,-,-,-,-,-,-,21,-,-,-,-,-,-,-,-,-,MC,6400,Further details,400/1,Bet 365,Further details,MC
Max Mcgreevy,-,-,MC,MC,-,MC,MC,MC,MC,33,MC,MC,-,-,-,-,-,-,-,MC,6400,Further details,250/1,Bet 365,Further details,50
Ben Crane,-,-,-,-,MC,MC,-,-,MC,68,-,-,-,-,-,45,33,-,-,-,6300,Further details,350/1,Bet 365,Further details,58
Justin Hicks,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6300,Further details,500/1,Bet 365,Further details,MC
Chris Nido,-,-,-,-,-,-,-,-,-,MC,-,MC,-,-,-,-,-,-,-,-,6300,Further details,250/1,Bet 365,Further details,50
David Hearn,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,50,18,33,13,MC,6300,Further details,250/1,Bet 365,Further details,MC
George McNeill,-,-,-,-,-,-,-,-,-,61,-,-,-,-,-,13,7,41,MC,MC,6300,Further details,400/1,Bet 365,Further details,62
Ricky Barnes,-,-,-,-,-,-,MC,-,-,33,-,-,-,-,-,60,MC,41,MC,MC,6300,Further details,275/1,Bet 365,Further details,7
Camilo Villegas,-,-,-,64^,MC,MC,MC^,-,MC,48,-,-,-,-,-,-,-,-,MC,58,6200,Further details,300/1,Bet 365,Further details,64
Justin Kim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6200,Further details,600/1,Bet 365,Further details,MC
Stephen Stallings Jr.,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,33,-,-,6200,Further details,750/1,Bet 365,Further details,62
Dominic Bozzelli,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,39,56,MC,MC,6200,Further details,500/1,Bet 365,Further details,MC
J.J. Henry,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,65,MC,65,MC,MC,6200,Further details,1250/1,Bet 365,Further details,MC
Richard S. Johnson,-,-,-,-,-,-,-,-,-,64,-,-,-,-,8,MC,-,MC,52,MC,6200,Further details,TBC,Bet 365,Further details,MC
Tommy Gainey,-,-,-,MC^,MC^,MC,-,-,-,MC,-,-,-,-,MC,22,MC,73,-,MC,6200,Further details,300/1,Bet 365,Further details,MC
Robert Garrigus,-,-,-,MC^,MC,MC,-,-,-,MC,-,-,-,-,-,MC,-,WD,MC,36,6100,Further details,1500/1,Bet 365,Further details,MC
D.A. Points,-,-,-,-,-,MC,-,-,-,MC,-,-,-,-,-,MC,MC,-,-,62,6100,Further details,1500/1,Bet 365,Further details,38
Kevin Stadler,-,-,-,-,-,-,-,-,-,54,-,-,-,-,-,-,-,-,-,65,6100,Further details,750/1,Bet 365,Further details,MC
Arjun Atwal,-,-,-,-,MC,MC,-,-,MC,MC,-,-,-,-,-,MC,MC,70,MC,-,6100,Further details,1000/1,Bet 365,Further details,MC
Cougar Collins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,Further details,750/1,Bet 365,Further details,MC
Bo Van Pelt,-,-,-,-,MC^,MC,-,-,-,MC,-,-,-,-,-,-,-,MC,56,MC,6100,Further details,400/1,Bet 365,Further details,MC
Ted Potter Jr.,-,-,-,-,-,MC,-,-,-,59,-,-,-,MC,MC,-,-,-,MC,MC,6100,Further details,TBC,Bet 365,Further details,MC
John Rollins,-,-,-,-,-,-,-,-,-,MC,-,-,-,68,-,MC,MC,MC,MC,-,6000,Further details,1000/1,Bet 365,Further details,MC
Kyle Maxwell,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,1000/1,Bet 365,Further details,MC
Omar Uresti,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,73,74,-,MC,-,6000,Further details,TBC,Bet 365,Further details,MC
Rhadames Pena,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,-,MC,-,6000,Further details,1250/1,Bet 365,Further details,MC
Brian Davis,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,MC,MC,MC,-,MC,6000,Further details,TBC,Bet 365,Further details,MC
Hiram Silfa,-,-,-,-,-,-,-,-,-,MC,-,-,-,MC,MC,MC,MC,MC,MC,MC,6000,Further details,1500/1,Bet 365,Further details,MC
Juan Jose Guerra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,MC,6000,Further details,1500/1,Bet 365,Further details,MC
Jeff Overton,-,-,-,MC^,MC^,MC^,-,-,-,WD,-,-,-,-,-,-,-,-,-,-,-,Further details,TBC,Bet 365,Further details,MC
Matt Every,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,35,MC,MC,MC,-,-,Further details,TBC,Bet 365,Further details,MC
Akshay Bhatia,-,-,-,4^,7^,MC^,MC^,-,49,2,-,MC,-,-,-,-,-,MC,-,-,-,Further details,TBC,Bet 365,Further details,24
