Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Davis Thompson,63,MC^^,-,MC,70,MC,-,56,-,MC,MC,24,-,-,-,-,-,-,-,-,-,-,-,6900,110/1,Bet 365,Further details,31
MJ Daffue,-,26^^,MC,47,MC,-,MC,MC,38,-,-,24,-,-,-,-,-,-,-,-,-,-,-,6900,100/1,Bet 365,Further details,35
Zac Blair,-,MC^^,-,47,-,-,MC,-,-,-,2,MC,-,-,-,-,MC,56,MC,MC,-,-,-,6900,175/1,Bet 365,Further details,MC
Harry Higgs,-,MC^^,MC,-,MC,-,MC,-,12,-,-,52,-,-,-,-,-,-,-,-,-,MC,MC,6900,150/1,Bet 365,Further details,57
Adam Long,59,-,18,MC,50,-,MC,MC,57,-,MC,MC,-,-,-,-,-,-,-,-,53,23,13,6800,175/1,Bet 365,Further details,MC
Satoshi Kodaira,MC,MC^,49,-,43,-,MC^,WD^,-,52^,-,40,-,-,-,-,-,-,-,-,MC,MC,30,6800,400/1,Bet 365,Further details,57
Seung-yul Noh,-,19^^,46,-,74,-,-,-,38,-,-,70,-,19,MC,-,50,WD,-,-,-,-,43,6800,175/1,Bet 365,Further details,63
Carl Yuan,-,MC^^,55,-,MC,-,-,-,18,-,MC,14,-,-,-,-,-,-,-,-,-,-,-,6800,150/1,Bet 365,Further details,MC
Russell Knox,MC,MC^^,-,MC,MC,-,72,-,MC,-,49,47,-,MC,MC,-,-,-,-,-,-,-,-,6800,350/1,Bet 365,Further details,57
Erik Van Rooyen,MC,26^^,33,MC,MC,-,MC,-,MC,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,6800,300/1,Bet 365,Further details,MC
Joel Dahmen,MC,11^^,-,MC,-,69,68,MC,-,MC,MC,MC,-,-,-,-,-,-,MC,2,MC,-,-,6800,150/1,Bet 365,Further details,MC
Austin Smotherman,67,MC^^,5,MC,MC,-,21,-,50,-,MC,MC,-,-,-,-,-,-,-,-,-,-,MC,6800,200/1,Bet 365,Further details,51
Dylan Frittelli,WD,26^^,MC,MC,MC,-,MC,-,-,-,-,MC,-,-,-,-,-,-,-,-,1,MC,30,6700,200/1,Bet 365,Further details,MC
Vincent Whaley,-,-,-,-,79,9^,-,MC^,72,-,-,40,-,-,-,-,-,-,-,-,-,MC,43,6700,225/1,Bet 365,Further details,MC
Jonathan Byrd,-,MC^^,55,-,43,-,-,-,12,-,-,MC,-,54,33,52,MC,-,5,MC,MC,MC,43,6700,200/1,Bet 365,Further details,MC
Augusto Nunez,-,35^^,69,-,34,MC^,47^,-,MC,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,6700,150/1,Bet 365,Further details,MC
Jimmy Walker,25,MC^^,15,14,74,MC,40,-,-,-,MC,MC,-,30,-,-,-,-,-,-,-,-,-,6700,175/1,Bet 365,Further details,42
Matthias Schmid,-,26^^,MC,-,MC,-,21,MC,MC,-,18,MC,-,-,-,-,-,-,-,-,-,-,-,6700,150/1,Bet 365,Further details,MC
Kevin Chappell,-,MC^^,24,-,MC,-,-,-,MC,-,-,-,-,45,-,52,8,-,-,-,-,-,MC,6700,175/1,Bet 365,Further details,MC
Grayson Murray,52^,33^^,MC,-,MC,1^,MC^,3^,MC,-,41^,32^,-,-,-,-,-,-,MC,-,-,-,MC,6700,175/1,Bet 365,Further details,6
Martin Laird,MC,-,MC,MC,34,-,-,-,MC,-,MC,70,-,-,-,-,-,-,-,-,37,28,30,6600,225/1,Bet 365,Further details,MC
James Hahn,41,-,49,MC,50,-,-,-,57,-,MC,MC,-,-,MC,-,-,-,-,-,-,-,67,6600,350/1,Bet 365,Further details,35
Troy Merritt,MC,13^^,-,MC,MC,-,MC,MC,-,-,MC,17,-,-,-,20,MC,56,60,43,MC,MC,-,6600,225/1,Bet 365,Further details,17
Ryan Gerard,-,MC^^,33,MC,MC,-,MC^,-,43,56,-,56,-,-,-,-,-,-,-,-,-,-,-,6600,175/1,Bet 365,Further details,26
William Mouw,-,-,-,-,-,-,-,-,-,23^,21^,17^,-,-,-,-,-,-,-,-,-,-,-,6600,225/1,Bet 365,Further details,13
