Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Ryan Fox,35,-,MC,MC,78,MC,39,-,4^^,MC,4,75,-,-,-,-,-,-,-,-,-,-,-,21,7300,Further details,80/1,Bet 365,Further details
Cameron Davis,-,18,MC,-,21,-,12,49,-,-,38,MC,-,-,-,-,-,-,-,-,MC,45,7,MC,7300,Further details,90/1,Bet 365,Further details
Lee Hodges,MC,12,35,26,-,MC,MC,58,MC^^,-,24,12,-,-,-,-,-,-,-,-,-,-,35,29,7200,Further details,90/1,Bet 365,Further details
Kevin Yu,9,-,MC,MC,-,39,-,MC,28^^,MC,4,-,-,-,-,-,-,-,-,-,-,-,-,-,7200,Further details,80/1,Bet 365,Further details
Patrick Rodgers,-,25,MC,MC,74,WD,-,5,-,-,29,MC,-,-,-,74,-,MC,MC,-,14,MC,35,57,7200,Further details,90/1,Bet 365,Further details
Ryo Hisatsune,MC,18,MC,33,-,78,MC,-,-,13,MC,18,-,-,-,-,-,-,-,-,-,-,-,-,7100,Further details,110/1,Bet 365,Further details
Doug Ghim,16,-,16,67,MC,MC,-,43,28^^,MC,-,35,-,-,-,-,-,-,-,MC,MC,14,MC,-,7100,Further details,110/1,Bet 365,Further details
Emiliano Grillo,-,8,54,-,-,-,MC,64,-,-,64,MC,-,-,-,-,55,24,3,19,MC,8,63,1,7100,Further details,100/1,Bet 365,Further details
Robert MacIntyre,60,32,MC,33,MC,-,-,-,8^^,MC,13,8,-,-,-,-,-,-,-,-,-,-,-,-,7000,Further details,90/1,Bet 365,Further details
Brendon Todd,MC,6,MC,33,-,5,-,58,-,-,60,78,-,-,5,43,MC,-,-,-,MC,8,3,57,7000,Further details,100/1,Bet 365,Further details
Eric Cole,MC,21,MC,33,-,MC,52,33,MC^^,-,68,MC,-,-,-,-,-,-,-,-,-,-,-,MC,7000,Further details,100/1,Bet 365,Further details
Greyson Sigg,56,-,MC,45,45,MC,-,9,8^^,MC,13,-,-,-,-,-,-,-,-,-,-,-,MC,MC,6900,Further details,125/1,Bet 365,Further details
Luke List,MC,56,MC,-,MC,-,39,-,19^^,30,-,MC,-,MC,-,-,-,MC,-,-,-,MC,-,57,6900,Further details,110/1,Bet 365,Further details
Christopher Gotterup,35,MC,-,61,57,MC,-,MC,11^^,24,1,MC,-,-,-,-,-,-,-,-,-,-,-,-,6900,Further details,110/1,Bet 365,Further details
Samuel Stevens,MC,18,MC,64,57,14,-,40,4^^,62,10,-,-,-,-,-,-,-,-,-,-,-,-,29,6800,Further details,110/1,Bet 365,Further details
Webb Simpson,-,30,MC,54,-,45,-,42,-,-,24,-,-,-,-,-,3,5,MC,-,MC,-,27,-,6800,Further details,125/1,Bet 365,Further details
