Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2018,2019,2021,2022,2023,2024,2025 Odds,Bookmaker,New Account Offer
Anders Albertson,MC,-,-,-,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1000/1,Bet 365,Further details
Andrew Putnam,MC,-,-,-,-,-,30,MC,32,-,25,-,-,-,-,-,-,-,-,-,-,MC,24,-,55/1,Bet 365,Further details
Antoine Rozner,-,-,-,-,MC,-,-,MC,48,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,70/1,Bet 365,Further details
Beau Hossler,-,-,-,-,-,-,-,12,15,69,32,-,-,-,-,-,-,-,-,-,-,-,10,-,30/1,Bet 365,Further details
Ben Martin,-,-,-,-,-,-,59,MC,-,40^,MC,-,-,21,-,-,-,-,-,-,-,MC,46,-,150/1,Bet 365,Further details
Blades Brown,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,300/1,Bet 365,Further details
Braden Thornberry,-,-,-,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,400/1,Bet 365,Further details
Brian Campbell,-,-,-,-,-,-,WD,51,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,125/1,Bet 365,Further details
Danny Walker,-,-,-,-,-,-,MC,MC,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,300/1,Bet 365,Further details
Erich Fortlage,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4000/1,Bet 365,Further details
Frankie Capan III,-,-,-,-,-,-,45,12,56,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,80/1,Bet 365,Further details
Gerardo Gomez,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2500/1,Bet 365,Further details
Harry Higgs,34,11,-,-,-,-,MC,34,63,-,-,-,-,-,-,-,MC,-,3,-,-,-,MC,-,200/1,Bet 365,Further details
Hayden Buckley,MC,-,-,-,-,-,-,MC,WD,-,-,-,-,-,-,-,-,-,-,-,-,61,-,-,400/1,Bet 365,Further details
Isaiah Salinda,-,-,-,-,-,-,MC,MC,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,150/1,Bet 365,Further details
Jackson Suber,-,-,-,-,-,-,6,MC,56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100/1,Bet 365,Further details
Jeremy Paul,-,-,-,-,-,-,45,64,MC,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,150/1,Bet 365,Further details
