Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2018,2019,2021,2022,2023,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer,2024 Result
Callum Tarren,-,-,-,-,-,-,MC,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,61,MC,5600,200/1,Bet 365,Further details,MC
Tyson Alexander,-,-,-,-,-,-,WD,MC,56,-,53,-,-,-,-,-,-,-,16,-,-,-,MC,5600,400/1,Bet 365,Further details,MC
David Lipsky,-,-,-,-,-,-,MC,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,6,60,5500,200/1,Bet 365,Further details,MC
Nicolas Echavarria,-,-,-,-,-,25,66,65,MC,-,MC,-,-,-,-,-,-,-,MC,-,-,-,66,5500,250/1,Bet 365,Further details,24
Kevin Dougherty,-,-,-,-,-,-,-,MC,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5500,200/1,Bet 365,Further details,38
Pierceson Coody,-,-,-,-,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5500,200/1,Bet 365,Further details,WD
Ryan McCormick,-,-,-,-,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5500,225/1,Bet 365,Further details,38
"Blaine Hale, Jr.",-,-,-,-,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5400,250/1,Bet 365,Further details,MC
David Skinns,-,-,-,-,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,51,-,5400,225/1,Bet 365,Further details,MC
Josh Teater,-,-,-,-,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5400,200/1,Bet 365,Further details,MC
Martin Trainer,-,-,-,-,-,-,74,-,MC^,MC^,8^,-,-,-,-,-,MC,27,-,-,-,11,MC,5400,250/1,Bet 365,Further details,19
Omar Morales,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,5400,250/1,Bet 365,Further details,MC
Scott Piercy,-,-,-,-,-,-,-,-,MC^,MC^,MC^,-,-,-,-,-,-,-,-,-,-,33,39,5300,300/1,Bet 365,Further details,MC
James Hahn,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,49,5300,300/1,Bet 365,Further details,33
Preston Stanley,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5300,300/1,Bet 365,Further details,MC
Rico Hoey,-,MC,-,-,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5300,300/1,Bet 365,Further details,MC
Roberto Diaz,-,-,-,-,-,-,-,31^,52^,-,20^,-,-,-,MC,36,-,-,-,-,-,MC,-,5300,300/1,Bet 365,Further details,MC
Brandt Snedeker,-,-,-,-,-,-,MC,MC,78,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,5200,500/1,Bet 365,Further details,MC
Philip Knowles,-,-,-,-,-,-,-,-,WD^,16^,-,-,-,-,-,-,-,-,-,-,48,-,-,5200,400/1,Bet 365,Further details,NR
Scott Gutschewski,-,-,-,-,-,-,-,MC,MC,-,-,-,-,3,-,-,-,-,-,-,-,MC,-,5200,400/1,Bet 365,Further details,MC
Stuart Macdonald,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5200,200/1,Bet 365,Further details,24
